next_wave_family,rows,semantic_pair_count,motif_count,skeleton_count,source_seed_count
raw_multi_axis_probe,512,3,4,212,1
vol_liquidity_interaction,384,4,3,83,1
positioning_context_interaction,384,4,3,167,1
listing_state_interaction,384,1,2,145,1
basis_context_interaction,320,4,3,125,1
vol_liquidity_deep,165,1,5,44,1
basis_crowding_deep,135,1,3,36,1
listing_lifecycle_deep,114,1,3,42,1
positioning_flow_recovery,114,1,3,42,1
