company_numeric_shard,rows,family_count,semantic_pair_count,motif_count
a7ls10_s000,64,1,1,3
a7ls10_s001,64,1,2,3
a7ls10_s002,64,1,1,3
a7ls10_s003,64,1,2,3
a7ls10_s004,64,1,2,3
a7ls10_s005,64,1,1,3
a7ls10_s006,64,1,1,3
a7ls10_s007,64,2,2,4
a7ls10_s008,64,2,2,5
a7ls10_s009,64,1,1,2
a7ls10_s010,64,1,1,2
a7ls10_s011,64,1,1,2
a7ls10_s012,64,1,1,1
a7ls10_s013,64,1,1,1
a7ls10_s014,64,2,2,3
a7ls10_s015,64,1,1,3
a7ls10_s016,64,1,2,3
a7ls10_s017,64,1,1,3
a7ls10_s018,64,1,2,3
a7ls10_s019,64,1,1,3
a7ls10_s020,64,2,3,5
a7ls10_s021,64,1,1,3
a7ls10_s022,64,2,2,7
a7ls10_s023,64,1,1,4
a7ls10_s024,64,1,2,4
a7ls10_s025,64,1,1,4
a7ls10_s026,64,1,1,4
a7ls10_s027,64,1,1,4
a7ls10_s028,64,1,2,4
a7ls10_s029,64,1,1,3
a7ls10_s030,64,2,2,7
a7ls10_s031,64,1,1,5
a7ls10_s032,64,1,1,5
a7ls10_s033,64,2,2,7
a7ls10_s034,64,1,1,3
a7ls10_s035,64,1,2,3
a7ls10_s036,64,1,1,3
a7ls10_s037,64,1,1,3
a7ls10_s038,64,1,2,3
a7ls10_s039,16,1,1,1
