label_families_seen,horizons_seen,rows
L0_raw_forward_return;L1_cross_sectional_relative_return,4;8,7
L0_raw_forward_return;L1_cross_sectional_relative_return,24,6
L1_cross_sectional_relative_return,24,3
L0_raw_forward_return,24,3
L3_liquidity_tier_relative_return,24,3
L0_raw_forward_return,4,1
L0_raw_forward_return;L1_cross_sectional_relative_return,24;4;8,1
L0_raw_forward_return;L1_cross_sectional_relative_return,24;8,1
L0_raw_forward_return;L1_cross_sectional_relative_return;L3_liquidity_tier_relative_return,24;8,1
L0_raw_forward_return;L1_cross_sectional_relative_return;L3_liquidity_tier_relative_return,4;8,1
L0_raw_forward_return;L1_cross_sectional_relative_return,8,1
L0_raw_forward_return;L1_cross_sectional_relative_return;L3_liquidity_tier_relative_return,24;4;8,1
L0_raw_forward_return;L1_cross_sectional_relative_return;L5_vol_adjusted_return,24;8,1
L0_raw_forward_return;L1_cross_sectional_relative_return;L3_liquidity_tier_relative_return,8,1
L3_liquidity_tier_relative_return,1,1
L3_liquidity_tier_relative_return,24;4,1
L3_liquidity_tier_relative_return,24;8,1
L3_liquidity_tier_relative_return,8,1
L5_vol_adjusted_return,1,1
L5_vol_adjusted_return,8,1
