info_axis,stability_tier,rows
vol_liquidity,S1_good_numeric_probe,6
listing_x_vol_liquidity,S2_control_clean_probe,5
vol_liquidity,S3_multi_label_diagnostic,2
vol_liquidity,S2_control_clean_probe,2
listing_lifecycle,S2_control_clean_probe,2
listing_x_vol_liquidity,S1_good_numeric_probe,2
vol_x_basis,S2_control_clean_probe,2
volatility,S2_control_clean_probe,2
listing_x_basis_regime,S0_strong_tradeable_probe,1
listing_lifecycle,S4_single_view_weak,1
listing_x_vol_liquidity,S0_strong_tradeable_probe,1
listing_x_basis_regime,S1_good_numeric_probe,1
positioning_x_basis,S4_single_view_weak,1
positioning_flow,S2_control_clean_probe,1
positioning_x_vol,S4_single_view_weak,1
vol_liquidity,S0_strong_tradeable_probe,1
positioning_x_basis,S2_control_clean_probe,1
vol_liquidity,S4_single_view_weak,1
vol_liquidity_x_basis,S1_good_numeric_probe,1
vol_liquidity_x_basis,S0_strong_tradeable_probe,1
vol_x_basis,S4_single_view_weak,1
volatility,S4_single_view_weak,1
