"stage","shard","offset","limit","process_id","runtime","report","log","script","launched_at"
"A7FF-10S00","00","0","96","8328","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff10_company_numeric_probe_shard_00","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\reports\CRYPTO_A7FF10S00_COMPANY_NUMERIC_PROBE_20260530.md","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff10_company_parallel\a7ff10s00.log","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff10_company_parallel\run_a7ff10s00.ps1","2026-05-30T03:21:53.8143828+08:00"
"A7FF-10S01","01","96","96","6944","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff10_company_numeric_probe_shard_01","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\reports\CRYPTO_A7FF10S01_COMPANY_NUMERIC_PROBE_20260530.md","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff10_company_parallel\a7ff10s01.log","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff10_company_parallel\run_a7ff10s01.ps1","2026-05-30T03:21:53.8295795+08:00"
"A7FF-10S02","02","192","96","14632","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff10_company_numeric_probe_shard_02","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\reports\CRYPTO_A7FF10S02_COMPANY_NUMERIC_PROBE_20260530.md","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff10_company_parallel\a7ff10s02.log","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff10_company_parallel\run_a7ff10s02.ps1","2026-05-30T03:21:53.8426143+08:00"
"A7FF-10S03","03","288","96","8796","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff10_company_numeric_probe_shard_03","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\reports\CRYPTO_A7FF10S03_COMPANY_NUMERIC_PROBE_20260530.md","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff10_company_parallel\a7ff10s03.log","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff10_company_parallel\run_a7ff10s03.ps1","2026-05-30T03:21:53.8567026+08:00"
