family_id,preflight_count,cluster_count,median_control_ratio,median_ic
F1a_aggtrades_flow_microstructure,8,8,0.12116469500789159,0.02227366499218925
F1b_taker_flow_market_panel,8,8,0.24727629794100553,0.0137988017748899
F2a_basis_funding_independent,8,8,0.3437551975363241,0.01212628266897085
