label_family,label_horizon_h,decision_class,rows
L5_vol_adjusted_return,24,pre_may_unstable,587
L3_liquidity_tier_relative_return,8,pre_may_unstable,534
L0_raw_forward_return,8,pre_may_unstable,528
L1_cross_sectional_relative_return,8,pre_may_unstable,528
L5_vol_adjusted_return,8,pre_may_unstable,526
L1_cross_sectional_relative_return,4,pre_may_unstable,513
L0_raw_forward_return,4,pre_may_unstable,513
L3_liquidity_tier_relative_return,4,pre_may_unstable,510
L5_vol_adjusted_return,4,pre_may_unstable,503
L1_cross_sectional_relative_return,24,pre_may_unstable,503
L0_raw_forward_return,24,pre_may_unstable,503
L3_liquidity_tier_relative_return,24,pre_may_unstable,470
L1_cross_sectional_relative_return,1,pre_may_unstable,392
L0_raw_forward_return,1,pre_may_unstable,392
L3_liquidity_tier_relative_return,1,pre_may_unstable,384
L7_ranked_future_return,24,control_dominated,375
L5_vol_adjusted_return,1,pre_may_unstable,354
L7_ranked_future_return,1,pre_may_unstable,296
L7_ranked_future_return,4,pre_may_unstable,296
L7_ranked_future_return,8,control_dominated,289
L7_ranked_future_return,8,pre_may_unstable,255
L5_vol_adjusted_return,1,control_dominated,249
L7_ranked_future_return,24,pre_may_unstable,239
L7_ranked_future_return,4,control_dominated,228
L3_liquidity_tier_relative_return,1,control_dominated,227
L0_raw_forward_return,1,control_dominated,219
L1_cross_sectional_relative_return,1,control_dominated,219
L3_liquidity_tier_relative_return,24,control_dominated,177
L7_ranked_future_return,1,control_dominated,174
L1_cross_sectional_relative_return,24,control_dominated,144
L0_raw_forward_return,24,control_dominated,143
L5_vol_adjusted_return,4,control_dominated,138
L3_liquidity_tier_relative_return,4,control_dominated,130
L1_cross_sectional_relative_return,4,control_dominated,128
L0_raw_forward_return,4,control_dominated,125
L5_vol_adjusted_return,8,control_dominated,121
L0_raw_forward_return,8,control_dominated,119
L1_cross_sectional_relative_return,8,control_dominated,119
L3_liquidity_tier_relative_return,8,control_dominated,112
L7_ranked_future_return,4,rank_label_diagnostic_clue,110
L7_ranked_future_return,1,rank_label_diagnostic_clue,100
L7_ranked_future_return,8,rank_label_diagnostic_clue,99
L7_ranked_future_return,1,one_bar_lag_fragile,77
L5_vol_adjusted_return,24,control_dominated,60
L5_vol_adjusted_return,1,one_bar_lag_fragile,42
L1_cross_sectional_relative_return,1,one_bar_lag_fragile,35
L0_raw_forward_return,1,one_bar_lag_fragile,35
L3_liquidity_tier_relative_return,1,one_bar_lag_fragile,34
L7_ranked_future_return,24,rank_label_diagnostic_clue,32
L7_ranked_future_return,4,one_bar_lag_fragile,13
L0_raw_forward_return,4,one_bar_lag_fragile,8
L3_liquidity_tier_relative_return,4,one_bar_lag_fragile,7
L1_cross_sectional_relative_return,4,one_bar_lag_fragile,6
L5_vol_adjusted_return,4,one_bar_lag_fragile,6
L7_ranked_future_return,8,one_bar_lag_fragile,4
L5_vol_adjusted_return,1,non_l7_numeric_clue,2
L3_liquidity_tier_relative_return,1,cost_fragile,1
L3_liquidity_tier_relative_return,1,non_l7_numeric_clue,1
L0_raw_forward_return,24,non_l7_numeric_clue,1
L1_cross_sectional_relative_return,1,non_l7_numeric_clue,1
L0_raw_forward_return,4,non_l7_numeric_clue,1
L0_raw_forward_return,1,cost_fragile,1
L3_liquidity_tier_relative_return,8,one_bar_lag_fragile,1
L7_ranked_future_return,24,one_bar_lag_fragile,1
