label_family,rows,unique_blueprints,premay_unstable_rows,control_dominated_rows,rank_label_rows,non_l7_rows,median_control_ratio,median_cost10,cost10_positive_rate,non_l7_share
L0_raw_forward_return,2588,647,1936,606,0,2,8.232801631962623,-0.0020235852663702,0.07032457496136012,0.3333333333333333
L5_vol_adjusted_return,2588,647,1970,568,0,2,7.525970579813862,-0.00653192015552375,0.4702472952086553,0.3333333333333333
L1_cross_sectional_relative_return,2588,647,1936,610,0,1,8.180285628038853,-0.0020235852663702,0.07032457496136012,0.16666666666666666
L3_liquidity_tier_relative_return,2588,647,1898,646,0,1,8.980960871684635,-0.00198449886355565,0.07805255023183925,0.16666666666666666
L7_ranked_future_return,2588,647,1086,1066,341,0,2.527296817679738,0.0121469286723596,0.7148377125193199,0.0
