source_shard,path,rows,available
S00,runtime\a7ff53e_numeric_response_execution_s00\a7ff53e_s00_label_response_metrics.csv,3000,True
S01P,runtime\a7ff55d_selector_repair_inputs_s01p\a7ff55d_s01p_label_response_metrics.csv,1800,True
