candidate_id,track_id,clue_role,original_label_family,translation_label_family,label_horizon_h,decision,control_ratio_premay_max,cost5_recent_oriented,cost10_recent_oriented,cost20_recent_oriented,robust_median_tstat_floor,premay_all_positive,lag_ok
a7ag1_0df4e5bbcb9cedae02,G1_neutralized_alpha_diagnostic,neutralized_vol_adjusted_diagnostic,L5_vol_adjusted_return,L1_cross_sectional_relative_return,1,HOLD_A7AG3_COST5_PROXY_FRAGILE,0.9320304050513403,-0.0003682078026107146,-0.0013682078026107146,-0.0033682078026107147,1.7755954228598447,True,True
a7ag1_0df4e5bbcb9cedae02,G1_neutralized_alpha_diagnostic,neutralized_vol_adjusted_diagnostic,L5_vol_adjusted_return,L2_BTC_ETH_beta_residual_return,1,HOLD_A7AG3_CONTROL_DOMINATED,1.111444424126002,-0.00042406537488155435,-0.0014240653748815544,-0.003424065374881554,1.9614582399334373,True,True
a7ag1_0df4e5bbcb9cedae02,G1_neutralized_alpha_diagnostic,neutralized_vol_adjusted_diagnostic,L5_vol_adjusted_return,L5_vol_adjusted_return,1,A7AG3_NUMERIC_REPLAY_CLUE,0.8693403596110361,0.09084400631118085,0.08984400631118085,0.08784400631118085,2.4159591517613483,True,True
a7ag1_0df4e5bbcb9cedae02,G1_neutralized_alpha_diagnostic,neutralized_vol_adjusted_diagnostic,L5_vol_adjusted_return,L6_downside_avoidance,1,HOLD_A7AG3_PRE_MAY_UNSTABLE,1.9612640502834977,-0.0018923491418456283,-0.0028923491418456283,-0.004892349141845628,-5.33124112307883,False,False
a7ag1_78173f7f9eab25811b,G1_neutralized_alpha_diagnostic,neutralized_vol_adjusted_diagnostic,L5_vol_adjusted_return,L0_raw_forward_return,1,HOLD_A7AG3_CONTROL_DOMINATED,1.6295830070590684,-0.0004935164163087538,-0.0014935164163087538,-0.003493516416308754,1.504204525708357,True,True
a7ag1_78173f7f9eab25811b,G1_neutralized_alpha_diagnostic,neutralized_vol_adjusted_diagnostic,L5_vol_adjusted_return,L1_cross_sectional_relative_return,1,HOLD_A7AG3_CONTROL_DOMINATED,1.6295830070590684,-0.0004935164163087538,-0.0014935164163087538,-0.003493516416308754,1.5042045257083574,True,True
a7ag1_78173f7f9eab25811b,G1_neutralized_alpha_diagnostic,neutralized_vol_adjusted_diagnostic,L5_vol_adjusted_return,L2_BTC_ETH_beta_residual_return,1,HOLD_A7AG3_CONTROL_DOMINATED,1.6554951813183527,-0.0005074924141664483,-0.0015074924141664483,-0.0035074924141664486,1.5368847689595135,True,True
a7ag1_78173f7f9eab25811b,G1_neutralized_alpha_diagnostic,neutralized_vol_adjusted_diagnostic,L5_vol_adjusted_return,L5_vol_adjusted_return,1,A7AG3_NUMERIC_REPLAY_CLUE,0.6245372453023035,0.07620010064892824,0.07520010064892824,0.07320010064892823,2.971283135545919,True,True
a7ag1_78173f7f9eab25811b,G1_neutralized_alpha_diagnostic,neutralized_vol_adjusted_diagnostic,L5_vol_adjusted_return,L6_downside_avoidance,1,HOLD_A7AG3_CONTROL_DOMINATED,1.6883906745438246,0.00022033749932350803,-0.000779662500676492,-0.002779662500676492,1.1944165707325913,True,True
a7ag1_b08367d59d86361851,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L0_raw_forward_return,1,HOLD_A7AG3_CONTROL_DOMINATED,5.536676080531247,-0.0006200854123752219,-0.001620085412375222,-0.003620085412375222,0.3505476035207979,True,True
