candidate_id,seed_lane,label_family,label_horizon_h,pass_splits,min_spread,mean_spread,max_control_ratio,min_sample_rows
core26ce_S0_positioning_price_basis_01e411bb971811,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,0,0.0008418787846572768,0.007549237830025371,1.2759890674804077,26627
core26ce_S0_positioning_price_basis_03ec094b17d8e2,S0_positioning_price_basis,L3_liquidity_tier_relative_return,8,1,0.000425408653191296,0.0026568558572289715,1.0846935816703758,26606
core26ce_S0_positioning_price_basis_0922438f201b00,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,2,0.00504649744251087,0.006243116800159094,1.3371481123772173,26624
core26ce_S0_positioning_price_basis_0bd45457514a47,S0_positioning_price_basis,L3_liquidity_tier_relative_return,8,2,0.0005915366600282991,0.0022477424596282045,1.068089931893588,26669
core26ce_S0_positioning_price_basis_0d648d12b4fb87,S0_positioning_price_basis,L0_raw_forward_return,24,0,-0.0021334507350084047,0.0014674249122143851,2.447254158957814,26603
core26ce_S0_positioning_price_basis_0e91dd5544b500,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,1,0.0018418079753275923,0.004011000462220256,1.239788883761411,26571
core26ce_S0_positioning_price_basis_0f50c43b8f68ef,S0_positioning_price_basis,L0_raw_forward_return,8,1,-0.0022427057818887593,-0.0007022642947760579,3.2082620543531957,26659
core26ce_S0_positioning_price_basis_11406241b4ae5d,S0_positioning_price_basis,L0_raw_forward_return,8,0,-0.0055267229593914564,-0.0014476827008629422,1.0522551383229024,26627
core26ce_S0_positioning_price_basis_11cf2485175f17,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,0,0.0014357507321762833,0.0037499583602834826,1.6813146535711843,26571
core26ce_S0_positioning_price_basis_120c9c4978407e,S0_positioning_price_basis,L0_raw_forward_return,24,1,-0.0019645159592767466,0.0014491928518588334,3.4902156972588516,26624
core26ce_S0_positioning_price_basis_136ffaf2705ce8,S0_positioning_price_basis,L1_cross_sectional_relative_return,8,3,0.0005753915541507376,0.002349179818516674,0.9741037444067788,26669
