seed_lane,candidates,clean_3_split,near_2_split,median_control,median_spread
S0_positioning_price_basis,180,4,20,3.0387202325625235,-0.00016572742063822012
S3_cross_family_bridge,180,0,4,5.439995035222993,-0.00042215778131842233
