blueprint_id,seed_lane,label_family,label_horizon_h,left_field,left_transform,operator,right_field,right_transform,expression,candidate_role
core26ce_S0_positioning_price_basis_fa7a5cdccc40ca,S0_positioning_price_basis,L1_cross_sectional_relative_return,8,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,delta_4h,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(trade_return_24h,4))",split_consistency_repair_probe
core26ce_S0_positioning_price_basis_1572b807bf8d0c,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,delta_4h,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(trade_return_24h,4))",split_consistency_repair_probe
core26ce_S0_positioning_price_basis_3f8d60c561983b,S0_positioning_price_basis,L3_liquidity_tier_relative_return,8,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,delta_4h,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(trade_return_24h,4))",split_consistency_repair_probe
core26ce_S0_positioning_price_basis_f541f4f9ffbe9a,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,delta_4h,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(trade_return_24h,4))",split_consistency_repair_probe
core26ce_S0_positioning_price_basis_60b5701c888216,S0_positioning_price_basis,L0_raw_forward_return,8,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,delta_4h,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(trade_return_24h,4))",split_consistency_repair_probe
core26ce_S0_positioning_price_basis_dbd1f8858fb841,S0_positioning_price_basis,L0_raw_forward_return,24,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,delta_4h,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(trade_return_24h,4))",split_consistency_repair_probe
core26ce_S0_positioning_price_basis_c4f60552fca88e,S0_positioning_price_basis,L1_cross_sectional_relative_return,8,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,delta_8h,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(trade_return_24h,8))",split_consistency_repair_probe
core26ce_S0_positioning_price_basis_5e0ad08b890abe,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,delta_8h,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(trade_return_24h,8))",split_consistency_repair_probe
core26ce_S0_positioning_price_basis_61a939b469927e,S0_positioning_price_basis,L3_liquidity_tier_relative_return,8,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,delta_8h,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(trade_return_24h,8))",split_consistency_repair_probe
core26ce_S0_positioning_price_basis_de7dd97c5dabed,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,delta_8h,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(trade_return_24h,8))",split_consistency_repair_probe
core26ce_S0_positioning_price_basis_e55beb37a8017a,S0_positioning_price_basis,L0_raw_forward_return,8,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,delta_8h,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(trade_return_24h,8))",split_consistency_repair_probe
core26ce_S0_positioning_price_basis_a186f29e98b92c,S0_positioning_price_basis,L0_raw_forward_return,24,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,delta_8h,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(trade_return_24h,8))",split_consistency_repair_probe
