machine,venue,data_family,symbol,month,files,known_size_bytes,size_known_files,known_rows_in_metadata_samples,sealed_files
DESKTOP-7877972,BINANCE,OTHER,0GUSDT,2026-06,2,2645069,1,6417,1
DESKTOP-7877972,BINANCE,OTHER,1000000BOBUSDT,2026-06,2,3466939,1,8920,1
DESKTOP-7877972,BINANCE,OTHER,1000000MOGUSDT,2026-06,2,5485498,1,13956,1
DESKTOP-7877972,BINANCE,OTHER,1000BONKUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,1000CATUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,1000CHEEMSUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,1000FLOKIUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,1000LUNCUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,1000PEPEUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,1000RATSUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,1000SATSUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,1000SHIBUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,1000XECUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,1INCHUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,1MBABYDOGEUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,2ZUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AAVEUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ACEUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ACHUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ACTUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ACUUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ACXUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ADAUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AERGOUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AEROUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AEVOUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AGLDUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AGTUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AIAUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AINUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AIOTUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AIOUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AIXBTUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AKEUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AKTUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ALCHUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ALGOUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ALICEUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ALLOUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ALLUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ALPINEUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ALTUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ANIMEUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ANKRUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,APEUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,API3USDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,APRUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,APTUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ARBUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ARCUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ARIAUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ARKMUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ARKUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ARPAUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ARUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ASRUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ASTERUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ASTRUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ATHUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ATOMUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,ATUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AUCTIONUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AVAAIUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AVAUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AVAXUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AVNTUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AWEUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AXLUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,AXSUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,B2USDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BABYUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BANANAS31USDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BANANAUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BANDUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BANKUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BANUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BARDUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BASUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BATUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BBUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BCHUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BEAMXUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BEATUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BELUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BERAUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BICOUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BIGTIMEUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BIOUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BLESSUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BLUAIUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BLURUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BMTUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BNBUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BNTUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BOMEUSDT,2026-06,2,0,0,0,1
DESKTOP-7877972,BINANCE,OTHER,BRETTUSDT,2026-06,2,0,0,0,1
