a7ls_arm,arm_name,search_role,level,candidate_role,generation_priority,semantic_pair,motif,primary_field,secondary_field,primary_semantic,secondary_semantic,primary_transform,secondary_transform,modifier_guard_required,expression,skeleton_key,production_key,blueprint_id,in_materialization_queue,in_company_numeric_wave_queue,materialization_shard,checkpoint_key
A7LS_D,control_and_selector_stress,negative_control,L1_single_axis_raw_transform,control_only,P1,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,mean_4h,,False,"Mean(mark_index_basis_bps,4)",skel_1d39996e97d5ace0,prod_8fcd119ab6146a9b,a7ls1_00b81e9e2bc7b819,True,False,a7ls_d_materialization_s060,a7ls_d_materialization_s060::a7ls1_00b81e9e2bc7b819
A7LS_D,control_and_selector_stress,negative_control,L1_single_axis_raw_transform,control_only,P1,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,mean_24h,,False,"Mean(mark_index_basis_bps,24)",skel_1d39996e97d5ace0,prod_e8040856c08e5b4d,a7ls1_0516573479da758e,True,False,a7ls_d_materialization_s060,a7ls_d_materialization_s060::a7ls1_0516573479da758e
A7LS_D,control_and_selector_stress,negative_control,L1_single_axis_raw_transform,control_only,P1,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,zmean_1h,,False,"ZScore(Mean(mark_index_basis_bps,1))",skel_a311ee3fdacdeca2,prod_766e4eb553fd03d6,a7ls1_07a0f22ad749c7d8,True,False,a7ls_d_materialization_s060,a7ls_d_materialization_s060::a7ls1_07a0f22ad749c7d8
A7LS_D,control_and_selector_stress,negative_control,L1_single_axis_raw_transform,control_only,P1,basis_premium_like,single,mark_trade_basis_bps,,basis_premium_like,,delta_72h,,False,"Delta(mark_trade_basis_bps,72)",skel_1d39996e97d5ace0,prod_e7d68a33afdeb9a3,a7ls1_080151d704d71451,True,False,a7ls_d_materialization_s060,a7ls_d_materialization_s060::a7ls1_080151d704d71451
A7LS_D,control_and_selector_stress,negative_control,L1_single_axis_raw_transform,control_only,P1,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,mean_2h,,False,"Mean(mark_index_basis_bps,2)",skel_1d39996e97d5ace0,prod_5849ecd6b5b34d8a,a7ls1_0982b5381e1a1be4,True,False,a7ls_d_materialization_s060,a7ls_d_materialization_s060::a7ls1_0982b5381e1a1be4
A7LS_D,control_and_selector_stress,negative_control,L1_single_axis_raw_transform,control_only,P1,basis_premium_like,single,mark_trade_basis_bps,,basis_premium_like,,delta_1h,,False,"Delta(mark_trade_basis_bps,1)",skel_1d39996e97d5ace0,prod_d5265a45b200687e,a7ls1_09afd01a59c79a5b,True,False,a7ls_d_materialization_s060,a7ls_d_materialization_s060::a7ls1_09afd01a59c79a5b
A7LS_D,control_and_selector_stress,negative_control,L1_single_axis_raw_transform,control_only,P1,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,zmean_4h,,False,"ZScore(Mean(mark_index_basis_bps,4))",skel_a311ee3fdacdeca2,prod_3acaee66418f4b3e,a7ls1_0bb1cb4974665383,True,False,a7ls_d_materialization_s060,a7ls_d_materialization_s060::a7ls1_0bb1cb4974665383
A7LS_D,control_and_selector_stress,negative_control,L1_single_axis_raw_transform,control_only,P1,basis_premium_like,single,premium_close_bps,,basis_premium_like,,zmean_8h,,False,"ZScore(Mean(premium_close_bps,8))",skel_a311ee3fdacdeca2,prod_fbc0dbf7a4d5205f,a7ls1_0c944afa36c41d46,True,False,a7ls_d_materialization_s060,a7ls_d_materialization_s060::a7ls1_0c944afa36c41d46
A7LS_D,control_and_selector_stress,negative_control,L1_single_axis_raw_transform,control_only,P1,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,zmean_12h,,False,"ZScore(Mean(mark_index_basis_bps,12))",skel_a311ee3fdacdeca2,prod_2fbab7c27e89f126,a7ls1_0e9f146f3728b048,True,False,a7ls_d_materialization_s060,a7ls_d_materialization_s060::a7ls1_0e9f146f3728b048
A7LS_D,control_and_selector_stress,negative_control,L1_single_axis_raw_transform,control_only,P1,basis_premium_like,single,mark_trade_basis_bps,,basis_premium_like,,mean_168h,,False,"Mean(mark_trade_basis_bps,168)",skel_1d39996e97d5ace0,prod_436d4700788d163d,a7ls1_16afdd7016ec2ecb,True,False,a7ls_d_materialization_s060,a7ls_d_materialization_s060::a7ls1_16afdd7016ec2ecb
