split,n_dates,avg_n_obs,valid_rows,valid_row_share,mean_spread_24h,spread_tstat,positive_spread_rate,signal_name,field_family,source_column,neutralization_mode,universe,evaluation_stage
validation_2025H1,4319,180.8835378559852,3671975,0.994433,-0.0027148582071161,-10.86435526200479,0.4341282704329706,oi_level_log,open_interest,log_open_interest,global,U0_strict_full_history,stage1_global_screen
test_2025H2,4391,180.9979503529948,3671975,0.994433,-0.0029525424259264,-11.2745692867456,0.4069687998178091,oi_level_log,open_interest,log_open_interest,global,U0_strict_full_history,stage1_global_screen
recent_oos_2026JanApr,2856,180.99439775910363,3671975,0.994433,-0.0010999798526642,-4.238515246037433,0.4334733893557423,oi_level_log,open_interest,log_open_interest,global,U0_strict_full_history,stage1_global_screen
validation_2025H1,4318,180.76771653543307,3664458,0.992397,-0.0020104098418013,-8.184281885075517,0.4377026401111625,oi_change_24h_lv1,open_interest,open_interest_change_24h,global,U0_strict_full_history,stage1_global_screen
test_2025H2,4390,180.99589977220955,3664458,0.992397,0.0006649080258287,2.459310372711049,0.5095671981776765,oi_change_24h_lv1,open_interest,open_interest_change_24h,global,U0_strict_full_history,stage1_global_screen
recent_oos_2026JanApr,2856,180.98879551820727,3664458,0.992397,-0.0023519867679189,-6.776494959014029,0.4453781512605042,oi_change_24h_lv1,open_interest,open_interest_change_24h,global,U0_strict_full_history,stage1_global_screen
validation_2025H1,4319,180.8835378559852,3671975,0.994433,0.0003340063601911,1.3003024975455433,0.5339198888631628,oi_value_level_log,open_interest,log_open_interest_value,global,U0_strict_full_history,stage1_global_screen
test_2025H2,4391,180.9979503529948,3671975,0.994433,0.0009894692596868,4.536018858552002,0.5618310179913459,oi_value_level_log,open_interest,log_open_interest_value,global,U0_strict_full_history,stage1_global_screen
recent_oos_2026JanApr,2856,180.99439775910363,3671975,0.994433,-0.0023522864917922,-8.050676250119546,0.4313725490196078,oi_value_level_log,open_interest,log_open_interest_value,global,U0_strict_full_history,stage1_global_screen
validation_2025H1,4318,180.76771653543307,3664458,0.992397,-0.0005324002589651,-2.094922061849462,0.4759147753589625,oi_x_price_move_24h,open_interest,oi_x_price_move_24h,global,U0_strict_full_history,stage1_global_screen
test_2025H2,4390,180.99589977220955,3664458,0.992397,-0.0010787070697269,-3.8972172169943176,0.465375854214123,oi_x_price_move_24h,open_interest,oi_x_price_move_24h,global,U0_strict_full_history,stage1_global_screen
recent_oos_2026JanApr,2856,180.98879551820727,3664458,0.992397,-0.0046503950645993,-13.457553200306355,0.3876050420168067,oi_x_price_move_24h,open_interest,oi_x_price_move_24h,global,U0_strict_full_history,stage1_global_screen
validation_2025H1,4320,181.0,3673275,0.994785,0.000694057360769,2.013245642386728,0.4928240740740741,global_long_short_level,long_short_positioning,global_long_short_account_ratio_last,global,U0_strict_full_history,stage1_global_screen
test_2025H2,4392,181.0,3673275,0.994785,0.0013766755373832,5.674251057311161,0.5327868852459017,global_long_short_level,long_short_positioning,global_long_short_account_ratio_last,global,U0_strict_full_history,stage1_global_screen
recent_oos_2026JanApr,2856,181.0,3673275,0.994785,0.0017875681250851,5.33236806539606,0.5136554621848739,global_long_short_level,long_short_positioning,global_long_short_account_ratio_last,global,U0_strict_full_history,stage1_global_screen
validation_2025H1,4320,181.0,3672917,0.994688,-0.0004395179525465,-1.2406567857846218,0.4810185185185185,top_account_long_short_level,long_short_positioning,top_long_short_account_ratio_last,global,U0_strict_full_history,stage1_global_screen
test_2025H2,4390,181.0,3672917,0.994688,0.0002004791361288,0.749170299503587,0.5111617312072892,top_account_long_short_level,long_short_positioning,top_long_short_account_ratio_last,global,U0_strict_full_history,stage1_global_screen
recent_oos_2026JanApr,2856,181.0,3672917,0.994688,0.0017914871634304,5.236833010000196,0.5220588235294118,top_account_long_short_level,long_short_positioning,top_long_short_account_ratio_last,global,U0_strict_full_history,stage1_global_screen
validation_2025H1,4320,181.0,3673275,0.994785,-0.0006012084660779,-2.459589060407867,0.4856481481481481,top_position_long_short_level,long_short_positioning,top_long_short_position_ratio_last,global,U0_strict_full_history,stage1_global_screen
test_2025H2,4392,181.0,3673275,0.994785,0.0012482412058423,5.8276904422651485,0.5425774134790529,top_position_long_short_level,long_short_positioning,top_long_short_position_ratio_last,global,U0_strict_full_history,stage1_global_screen
recent_oos_2026JanApr,2856,181.0,3673275,0.994785,-0.0030038415019125,-12.332859827829813,0.4138655462184873,top_position_long_short_level,long_short_positioning,top_long_short_position_ratio_last,global,U0_strict_full_history,stage1_global_screen
validation_2025H1,4320,181.0,3673275,0.994785,0.0003078424563031,1.9679189553206384,0.5168981481481482,taker_buy_sell_level,taker_buy_sell_volume_ratio,taker_buy_sell_volume_ratio_last,global,U0_strict_full_history,stage1_global_screen
test_2025H2,4392,181.0,3673275,0.994785,0.0002148387662149,1.3742626459084573,0.5111566484517304,taker_buy_sell_level,taker_buy_sell_volume_ratio,taker_buy_sell_volume_ratio_last,global,U0_strict_full_history,stage1_global_screen
recent_oos_2026JanApr,2856,181.0,3673275,0.994785,0.0001546523390718,0.7279750854764085,0.5035014005602241,taker_buy_sell_level,taker_buy_sell_volume_ratio,taker_buy_sell_volume_ratio_last,global,U0_strict_full_history,stage1_global_screen
validation_2025H1,4293,181.0,3672986,0.994707,0.0006829622051096,2.0929836181916985,0.499417656650361,premium_level_bps,premium_basis,premium_close_bps,global,U0_strict_full_history,stage1_global_screen
test_2025H2,4382,180.66134185303517,3672986,0.994707,0.0017845989524906,5.066417881091302,0.5426745778183478,premium_level_bps,premium_basis,premium_close_bps,global,U0_strict_full_history,stage1_global_screen
recent_oos_2026JanApr,2843,180.7646851916989,3672986,0.994707,0.0007986086025637,1.6247483101606803,0.5082659162856138,premium_level_bps,premium_basis,premium_close_bps,global,U0_strict_full_history,stage1_global_screen
validation_2025H1,1018,181.0,3672986,0.994707,-0.0007279767786809,-1.800916936196821,0.5137524557956779,premium_abs_bps,premium_basis,premium_abs_bps,global,U0_strict_full_history,stage1_global_screen
test_2025H2,571,180.61471103327492,3672986,0.994707,-0.0021131040703455,-3.791095065629101,0.4308231173380035,premium_abs_bps,premium_basis,premium_abs_bps,global,U0_strict_full_history,stage1_global_screen
recent_oos_2026JanApr,134,180.6716417910448,3672986,0.994707,-0.0031989002268353,-2.5721210470422644,0.3955223880597014,premium_abs_bps,premium_basis,premium_abs_bps,global,U0_strict_full_history,stage1_global_screen
validation_2025H1,4320,181.0,3669186,0.993678,-0.0004244327394479,-1.914397814819068,0.5039351851851852,premium_abs_168h,premium_basis,premium_abs_168h,global,U0_strict_full_history,stage1_global_screen
test_2025H2,4392,180.7163023679417,3669186,0.993678,-0.0020287825650245,-8.141623100286942,0.4487704918032787,premium_abs_168h,premium_basis,premium_abs_168h,global,U0_strict_full_history,stage1_global_screen
