signal_name,field_family,source_column,global_validation_spread,global_test_spread,global_recent_spread,age_neutral_validation_spread,latent_neutral_validation_spread,liquidity_neutral_validation_spread,meme_multiplier_validation_spread,u1_listing_latent_validation_spread,diagnostic_decision,blocking_controls,max_abs_vs_original_ratio,max_abs_control_spread,min_valid_row_share,a7al2_policy,policy_reason
age_x_volatility,listing_age_latent_interaction,age_x_volatility,-0.0049159088184688,-0.0028504672069592,-0.0070079105925933,-0.0049309683634979,-0.0036203979621005,-0.0038412191641026,-0.0048854962413175,-0.0035262915028647,FIELD_FAMILY_STRUCTURE_FOUND_DIAGNOSTIC,wrong_lag_stale_168h,0.9133411616114055,0.0035877235657375,0.9847064249426748,REGIME_OR_STATE_ONLY,"stale wrong-lag control is comparable; use as slow state/neutralization input, not as standalone alpha rank"
range_bps,price_volatility_interaction,range_bps,-0.0045848204552713,-0.003020299288147,-0.0053197671077719,-0.0045938355045506,-0.0031863972121177,-0.0040343306161722,-0.0043584837536408,-0.0076384496688364,FIELD_FAMILY_STRUCTURE_FOUND_DIAGNOSTIC,wrong_lag_future_24h|wrong_lag_stale_168h,5.303695947469433,0.016724898583299,0.9870102647750284,BLOCK_DIRECT_ALPHA_RANK,future wrong-lag control dominates; keep only for diagnostics until a matched-control dominance gate is implemented
lev_high_oi_change_24h,upper_regime_interaction,lev_high_oi_change_24h,-0.0023159293955556,-0.0016605331839698,0.0070548497766685,-0.0022873584644194,-0.0022966074670022,-0.0026364074704357,-0.0022887444056431,-0.0031265997386911,NO_STABLE_FIELD_FAMILY_STRUCTURE,,,,,DO_NOT_PROMOTE,no stable neutralized field-family structure
funding_abs_168h,funding,funding_rate_abs_168h,0.0011305716682897,-0.0028533322414634,-0.0058871446792894,0.000908687046758,0.0012603696758068,0.0014404196667388,0.0001382542375083,-0.0037671436074818,NO_STABLE_FIELD_FAMILY_STRUCTURE,,,,,DO_NOT_PROMOTE,no stable neutralized field-family structure
trade_count_level,liquidity_volume,trade_count,-0.0013060313602722,-0.0015497671033829,-0.0053976181352551,-0.0013120315652183,-0.0011215756726148,-0.0027450697859045,-0.0007918379858349,-0.0078254921766388,FIELD_FAMILY_STRUCTURE_FOUND_DIAGNOSTIC,wrong_lag_future_24h,14.275632060826936,0.0148372005038313,0.9952452667289726,BLOCK_DIRECT_ALPHA_RANK,future wrong-lag control dominates; keep only for diagnostics until a matched-control dominance gate is implemented
oi_level_log,open_interest,log_open_interest,-0.0027148582071161,-0.0029525424259264,-0.0010999798526642,-0.0027148582071161,-0.0019288977649547,-0.0021790074233172,-0.0023962523712833,-0.0003599733627489,FIELD_FAMILY_STRUCTURE_FOUND_DIAGNOSTIC,wrong_lag_stale_168h,1.3916147974871451,0.0026130844722669,0.9861983555452886,REGIME_OR_STATE_ONLY,"stale wrong-lag control is comparable; use as slow state/neutralization input, not as standalone alpha rank"
premium_abs_bps,premium_basis,premium_abs_bps,-0.0007279767786809,-0.0021131040703455,-0.0031989002268353,-0.0014354080155371,-0.0001200774384688,-0.000913432273275,0.0007358387282536,-0.0033361067431395,HOLD_A7AL1_STATE_OR_GROUP_BIAS,,,,,DO_NOT_PROMOTE,no stable neutralized field-family structure
top_position_long_short_level,long_short_positioning,top_long_short_position_ratio_last,-0.0006012084660779,0.0012482412058423,-0.0030038415019125,-0.0005960689562805,-0.0012964337743776,-0.0021611533161023,-0.0003505438807905,-0.0008156373270053,NO_STABLE_FIELD_FAMILY_STRUCTURE,,,,,DO_NOT_PROMOTE,no stable neutralized field-family structure
taker_buy_sell_level,taker_buy_sell_volume_ratio,taker_buy_sell_volume_ratio_last,0.0003078424563031,0.0002148387662149,0.0001546523390718,0.0002927392360509,0.0005572371341821,0.0001060642047508,0.0003190564735452,0.0008634350586766,NO_STABLE_FIELD_FAMILY_STRUCTURE,,,,,DO_NOT_PROMOTE,no stable neutralized field-family structure
oi_change_24h_lv1,open_interest,open_interest_change_24h,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED,,,,,DO_NOT_PROMOTE,no stable neutralized field-family structure
