field_family,signal_name,blocking_controls,max_abs_vs_original_ratio,max_abs_control_spread,min_valid_row_share
liquidity_volume,trade_count_level,wrong_lag_future_24h,14.275632060826936,0.0148372005038313,0.9952452667289726
listing_age_latent_interaction,age_x_volatility,wrong_lag_stale_168h,0.9133411616114055,0.0035877235657375,0.9847064249426748
open_interest,oi_level_log,wrong_lag_stale_168h,1.3916147974871451,0.0026130844722669,0.9861983555452886
price_volatility_interaction,range_bps,wrong_lag_future_24h|wrong_lag_stale_168h,5.303695947469433,0.016724898583299,0.9870102647750284
