candidate_id,arm,audit_type,status,required_before_alpha_proof
i1_flow_liquidity_237,I1_flow_liquidity,symbol_month_loo,not_run_in_a7i1b_smoke,True
i1_flow_liquidity_021,I1_flow_liquidity,symbol_month_loo,not_run_in_a7i1b_smoke,True
i1_flow_liquidity_023,I1_flow_liquidity,symbol_month_loo,not_run_in_a7i1b_smoke,True
i2_microstructure_lite_167,I2_microstructure_lite,symbol_month_loo,not_run_in_a7i1b_smoke,True
i1_flow_liquidity_203,I1_flow_liquidity,symbol_month_loo,not_run_in_a7i1b_smoke,True
i1_flow_liquidity_235,I1_flow_liquidity,symbol_month_loo,not_run_in_a7i1b_smoke,True
i1_flow_liquidity_113,I1_flow_liquidity,symbol_month_loo,not_run_in_a7i1b_smoke,True
i1_flow_liquidity_227,I1_flow_liquidity,symbol_month_loo,not_run_in_a7i1b_smoke,True
i1_flow_liquidity_207,I1_flow_liquidity,symbol_month_loo,not_run_in_a7i1b_smoke,True
i1_flow_liquidity_141,I1_flow_liquidity,symbol_month_loo,not_run_in_a7i1b_smoke,True
i1_flow_liquidity_107,I1_flow_liquidity,symbol_month_loo,not_run_in_a7i1b_smoke,True
i1_flow_liquidity_239,I1_flow_liquidity,symbol_month_loo,not_run_in_a7i1b_smoke,True
i1_flow_liquidity_145,I1_flow_liquidity,symbol_month_loo,not_run_in_a7i1b_smoke,True
i1_flow_liquidity_173,I1_flow_liquidity,symbol_month_loo,not_run_in_a7i1b_smoke,True
i1_flow_liquidity_206,I1_flow_liquidity,symbol_month_loo,not_run_in_a7i1b_smoke,True
i1_flow_liquidity_137,I1_flow_liquidity,symbol_month_loo,not_run_in_a7i1b_smoke,True
i1_flow_liquidity_143,I1_flow_liquidity,symbol_month_loo,not_run_in_a7i1b_smoke,True
i1_flow_liquidity_199,I1_flow_liquidity,symbol_month_loo,not_run_in_a7i1b_smoke,True
i2_microstructure_lite_013,I2_microstructure_lite,symbol_month_loo,not_run_in_a7i1b_smoke,True
i1_flow_liquidity_022,I1_flow_liquidity,symbol_month_loo,not_run_in_a7i1b_smoke,True
i1_flow_liquidity_171,I1_flow_liquidity,symbol_month_loo,not_run_in_a7i1b_smoke,True
i1_flow_liquidity_175,I1_flow_liquidity,symbol_month_loo,not_run_in_a7i1b_smoke,True
