candidate_id,family,object_type,signal_mode,component_raw_validation,component_raw_recent,component_residual_funding_validation,component_residual_funding_recent,component_residual_core4_recent,component_cost20_recent,component_execution_lag_recent,component_drawdown_penalty,rank_score,rank_uses_validation,rank_uses_recent_oos,rank_excludes_known_adversarial_stress,rank_order,arm,expression,expr_hash,horizon,source_fields,selected_for_replay,raw_10bp__fresh_forward_2026May__annualized_mean,raw_10bp__recent_oos_2025H2_2026Apr__annualized_mean,raw_10bp__train_2024__annualized_mean,raw_10bp__validation_2025H1__annualized_mean,raw_10bp__fresh_forward_2026May__compounded_max_dd,raw_10bp__recent_oos_2025H2_2026Apr__compounded_max_dd,raw_10bp__train_2024__compounded_max_dd,raw_10bp__validation_2025H1__compounded_max_dd,raw_20bp__fresh_forward_2026May__annualized_mean,raw_20bp__recent_oos_2025H2_2026Apr__annualized_mean,raw_20bp__train_2024__annualized_mean,raw_20bp__validation_2025H1__annualized_mean,raw_20bp__fresh_forward_2026May__compounded_max_dd,raw_20bp__recent_oos_2025H2_2026Apr__compounded_max_dd,raw_20bp__train_2024__compounded_max_dd,raw_20bp__validation_2025H1__compounded_max_dd,residual_vs_funding_10bp__fresh_forward_2026May__annualized_mean,residual_vs_funding_10bp__recent_oos_2025H2_2026Apr__annualized_mean,residual_vs_funding_10bp__train_2024__annualized_mean,residual_vs_funding_10bp__validation_2025H1__annualized_mean,residual_vs_funding_10bp__fresh_forward_2026May__compounded_max_dd,residual_vs_funding_10bp__recent_oos_2025H2_2026Apr__compounded_max_dd,residual_vs_funding_10bp__train_2024__compounded_max_dd,residual_vs_funding_10bp__validation_2025H1__compounded_max_dd,residual_vs_core4_10bp__fresh_forward_2026May__annualized_mean,residual_vs_core4_10bp__recent_oos_2025H2_2026Apr__annualized_mean,residual_vs_core4_10bp__train_2024__annualized_mean,residual_vs_core4_10bp__validation_2025H1__annualized_mean,residual_vs_core4_10bp__fresh_forward_2026May__compounded_max_dd,residual_vs_core4_10bp__recent_oos_2025H2_2026Apr__compounded_max_dd,residual_vs_core4_10bp__train_2024__compounded_max_dd,residual_vs_core4_10bp__validation_2025H1__compounded_max_dd,execution_lag_1bar_raw_10bp__fresh_forward_2026May__annualized_mean,execution_lag_1bar_raw_10bp__recent_oos_2025H2_2026Apr__annualized_mean,execution_lag_1bar_raw_10bp__train_2024__annualized_mean,execution_lag_1bar_raw_10bp__validation_2025H1__annualized_mean,execution_lag_1bar_raw_10bp__fresh_forward_2026May__compounded_max_dd,execution_lag_1bar_raw_10bp__recent_oos_2025H2_2026Apr__compounded_max_dd,execution_lag_1bar_raw_10bp__train_2024__compounded_max_dd,execution_lag_1bar_raw_10bp__validation_2025H1__compounded_max_dd,candidate_decision,reject_reasons
i0_basis_premium_169,basis_premium,generated_candidate,original,-1.3637904102834588,-1.323370687665549,1.8514863350068635,2.0,2.0,-1.0,-0.6720318091895071,-0.33465373417319066,1.1576396936951583,True,True,True,183,I0_basis_premium,"Mul(Rank(ret_1),ZScore(hl_range))",d4121f92ddd89093,12,hl_range;ret_1,True,-7.297596747125925,-1.323370687665549,-3.589175569036744,-1.3637904102834588,-0.3599587570960192,-0.6815612458365709,-0.9861024366891717,-0.6570536908561919,-9.329305930799396,-3.55536985985098,-5.434152603346094,-3.230912870139138,-0.38848240170619563,-0.949580492584824,-0.9975599291923887,-0.8208141013770536,-2.4563622832655114,2.2900193048762874,-1.725573286213413e-15,1.8514863350068635,-0.31883382141016836,-0.31166532977458195,-0.81624855027171,-0.42717861255382517,-3.0646558322407844,2.199999458288081,3.1171646460629395e-15,2.0575592586611284,-0.31137270132153416,-0.39863720863114027,-0.8605731810407673,-0.4040398294787314,-7.412264602426336,-1.3440636183790142,-3.4367264260021133,-1.2273939434533763,-0.363136832150878,-0.6858425021430362,-0.9835115728620019,-0.6398693074976405,HOLD_A7I1_COST_OR_LAG_FAIL,raw_validation_nonpositive;raw_recent_nonpositive;raw_may_severely_negative;residual_funding_may_negative;cost20_recent_collapse;execution_lag_recent_collapse
i0_basis_premium_161,basis_premium,generated_candidate,original,-1.584640233455338,-1.2221669799023578,2.0,2.0,2.0,-1.0,-0.7204289473577223,-0.32789309310660886,1.1448707461779728,True,True,True,184,I0_basis_premium,"Mul(Rank(ret_1),ZScore(ret_6))",cca38d656e8b3502,12,ret_1;ret_6,True,-7.656051945807046,-1.2221669799023578,-4.078099861717805,-1.584640233455338,-0.3064403717294918,-0.6835924718638686,-0.9887521350293642,-0.6279799005625669,-9.566715211113168,-3.105381659814057,-5.735707750958491,-3.348511267505734,-0.3562301407050913,-0.9287712021891331,-0.9975963083251492,-0.8213222489377052,-3.3082071305416725,2.861149664005618,-8.349548159097159e-16,2.4129064520021952,-0.21697390655600512,-0.2108235559737781,-0.7041164707430851,-0.3695072969879478,-3.527776667701131,2.850803971840589,2.894510028487015e-15,2.480379187583054,-0.21695102451781523,-0.2304570630092324,-0.7232743366471701,-0.36304779269845877,-7.962454285415368,-1.4408578947154447,-3.8993678726562977,-1.3351855146501563,-0.3155168550093834,-0.7237870321979927,-0.9863529299845031,-0.6390979872385903,HOLD_A7I1_COST_OR_LAG_FAIL,raw_validation_nonpositive;raw_recent_nonpositive;raw_may_severely_negative;residual_funding_may_negative;cost20_recent_collapse;execution_lag_recent_collapse
i0_basis_premium_246,basis_premium,generated_candidate,original,-1.8030390174282713,-0.6606400322703222,1.272917041221256,2.0,2.0,-0.9845301430667285,-0.40816127542922687,-0.2720549550810888,1.1444916179456186,True,True,True,185,I0_basis_premium,"Mul(Rank(ret_12),Rank(ret_6))",c59f6fd6611ddd70,6,ret_1;ret_12;ret_6,True,-4.866321662594797,-0.6606400322703222,-3.14397332521419,-1.8030390174282713,-0.22070314860383966,-0.4568178383044955,-0.9682388313105975,-0.6314019820198596,-6.274178805451941,-1.969060286133457,-4.379342454666357,-3.0412085308463492,-0.25677889451895486,-0.8154322308982036,-0.9898277529251684,-0.7905551865356572,-1.4945818449627686,2.487738224956632,-5.009728895458296e-16,1.272917041221256,-0.14592569495010754,-0.1711802385963762,-0.5600645028666806,-0.31976163685778414,-1.5488462848970577,2.4655979860605477,1.3359277054555457e-15,1.2957033267869118,-0.14629954832402625,-0.16860669520648108,-0.5765529610428138,-0.31915729167668616,-5.403125157985715,-0.8163225508584537,-3.141924026200564,-1.2952001704477163,-0.23422852004290162,-0.5221139740106019,-0.9671835372361611,-0.5443734666362698,HOLD_A7I1_COST_OR_LAG_FAIL,raw_validation_nonpositive;raw_recent_nonpositive;raw_may_severely_negative;residual_funding_may_negative;cost20_recent_collapse
i3_placebo_random_113,placebo_random,placebo,time_shuffle,-0.6872782375626006,-0.4520052361448507,0.8989038443374184,1.3148044232080616,1.3035231109124101,-0.7112088818693348,-0.2733183394540593,-0.32464417410264823,1.0687765093243964,True,True,True,186,I3_placebo_random,Rank(avg_trade_size_quote),e5f36ded98b55cd2,12,avg_trade_size_quote,True,-1.4237455731847664,-0.4520052361448507,-1.755823356617851,-0.6872782375626006,-0.2722606556370517,-0.6204053956411071,-0.897161801761605,-0.6781713007694858,-2.339970062980685,-1.4224177637386697,-2.6361506005897986,-1.6270173009818083,-0.2828831667671514,-0.7385971308790645,-0.9481822198803221,-0.745885731397061,0.9001482170639168,1.3148044232080616,-4.453092351518485e-16,0.8989038443374184,-0.24741806232022834,-0.3483544350823139,-0.7733462116028833,-0.5171310802941486,0.3349638211318715,1.3035231109124101,8.90618470303697e-16,1.067792745729128,-0.2514922891009779,-0.33718425784302597,-0.7995447220768714,-0.5200163964019598,-1.2344982679979122,-0.5466366789081186,-1.8315210385697076,-0.7155637746139465,-0.26688474221575365,-0.6095070840286609,-0.9018299433312088,-0.673648436094328,PLACEBO_NEGATIVE_CONTROL,placebo_arm
i0_basis_premium_082,basis_premium,generated_candidate,original,-0.4878477262909879,-0.21677322080979394,0.40467482035095714,1.0377036314165555,0.9616909393933377,-0.41935170422388157,-0.13046088805711809,-0.18930904070840365,0.9603268110706651,True,True,True,188,I0_basis_premium,"Mul(Rank(mark_minus_index),ZScore(realized_vol_12))",ca5d1813e6a73be2,6,mark_minus_index;realized_vol_12,True,-2.29131331938748,-0.21677322080979394,-1.232461722347047,-0.4878477262909879,-0.19643996003757447,-0.3096315018544955,-0.825430043274472,-0.4476046609791191,-2.8723337275507452,-0.8387034084477631,-1.7519437873354406,-1.0867652164465942,-0.20451048450064713,-0.5264088756822407,-0.8906547534421163,-0.5535746387308473,0.07948808634209417,1.0377036314165555,-7.236275071217538e-16,0.40467482035095714,-0.19160512898400994,-0.18511450633153248,-0.6609180004112241,-0.26509297952675426,-0.5306009204261048,0.9616909393933377,1.3359277054555457e-15,0.6069021017318053,-0.18136029304238277,-0.20279421548745913,-0.7374089960601926,-0.293901573008027,-2.291930443422739,-0.26092177611423617,-1.0520384235020843,-0.368281306225731,-0.19685070326720788,-0.3258763755083849,-0.8110205490125452,-0.4404678138841086,HOLD_A7I1_MAY_STRESS_FAIL,raw_validation_nonpositive;raw_recent_nonpositive;raw_may_severely_negative
i3_placebo_random_087,placebo_random,placebo,time_shuffle,-1.3511171325143054,-1.3903077461045281,1.7597075519192815,2.0,1.9687690998385305,-1.0,-0.6995317076149191,-0.3374848650906614,0.9500352004333983,True,True,True,189,I3_placebo_random,Rank(hl_range),523160b5ada94d80,12,hl_range,True,-4.050898935902625,-1.3903077461045281,-3.4096404064544825,-1.3511171325143054,-0.26966648362525514,-0.696062414092357,-0.9772507649052917,-0.6538770462702885,-6.522097915494463,-3.9134380616737268,-5.7137802225640915,-3.7920998468840827,-0.31569415005772195,-0.9623257985362919,-0.99744885004686,-0.8512531884515273,0.35937281493703654,2.038684554454604,-1.6699096318194318e-15,1.7597075519192815,-0.21079066802612878,-0.282594076216087,-0.8035502693055417,-0.40402642827371793,-0.14660221550193306,1.9687690998385305,3.896455807578674e-15,1.9295692355476857,-0.2140009270936013,-0.3153803011788998,-0.8423310132947233,-0.384991150178537,-4.476667511748446,-1.3990634152298382,-3.36039391752213,-1.699521931847623,-0.2941154527024862,-0.7066719111092106,-0.975410357379297,-0.6824116701320593,PLACEBO_NEGATIVE_CONTROL,placebo_arm
i3_placebo_random_013,placebo_random,placebo,time_shuffle,-0.6791845451135016,-0.48026257042723514,0.8930076098870803,1.276359632102056,1.2633988561404863,-0.7219635147941915,-0.2772888462471439,-0.33863423358562617,0.9354323879619245,True,True,True,192,I3_placebo_random,Rank(avg_trade_size_quote),e5f36ded98b55cd2,12,avg_trade_size_quote,True,-1.2205139962399636,-0.48026257042723514,-1.7454046223338167,-0.6791845451135016,-0.24669967001663595,-0.672871991652967,-0.9099714836342063,-0.6816649426895377,-2.1497742003215974,-1.443927029588383,-2.635196328999389,-1.638005653555675,-0.2580602002595179,-0.761129013574992,-0.9526612129122234,-0.7516551495957916,1.1049197586968864,1.276359632102056,-7.792911615157349e-16,0.8930076098870803,-0.22147733542112868,-0.4407041156632201,-0.8112183394725959,-0.515973491089635,0.5419440689966599,1.2633988561404863,1.5585823230314697e-15,1.0617743433464906,-0.22543285477217578,-0.42641523213107313,-0.8341833955871591,-0.5267534762603041,-1.5193735209999002,-0.5545776924942878,-1.7553765696346049,-0.5722242801063608,-0.25704274603327026,-0.6666885733706782,-0.9060482116935282,-0.6741018502353494,PLACEBO_NEGATIVE_CONTROL,placebo_arm
i3_placebo_random_213,placebo_random,placebo,time_shuffle,-0.10353836841401236,-0.7985179228801705,1.465910851682088,0.9772591635812661,0.9565652863377095,-0.8837602031619396,-0.4323614423373392,-0.3151839553593131,0.866373409448289,True,True,True,194,I3_placebo_random,Rank(avg_trade_size_quote),e5f36ded98b55cd2,12,avg_trade_size_quote,True,-1.4788161612607456,-0.7985179228801705,-1.763227616250223,-0.10353836841401236,-0.2508143129036441,-0.6504707739864501,-0.8888473751856004,-0.6102650474508022,-2.4006273857505414,-1.7675204063238792,-2.6512128943516955,-1.057167542054046,-0.26323091949277677,-0.8120982804264204,-0.9516978395372306,-0.6945814469337358,0.933308828076643,0.9772591635812661,-2.2265461757592425e-16,1.465910851682088,-0.22609702126664422,-0.4147872323337195,-0.7374905107129459,-0.40309534684134163,0.3640870617139385,0.9565652863377095,2.0038915581833184e-15,1.6389182782583147,-0.22918432450489756,-0.38985158716711854,-0.7734571815385454,-0.4213776645221474,-1.344223054480337,-0.8647228846746784,-1.8377732275322474,-0.19561548375776025,-0.24932207082180813,-0.6711351826523537,-0.8962088070060826,-0.6222427952780714,PLACEBO_NEGATIVE_CONTROL,placebo_arm
i0_basis_premium_226,basis_premium,generated_candidate,original,-0.9441766720778082,-1.3049842731924868,1.8337767890315475,1.6515249796865683,1.5651295147197952,-1.0,-0.6948040148031474,-0.280732889949477,0.825733433414992,True,True,True,195,I0_basis_premium,"Mul(Rank(ret_12),Rank(mark_index_ratio))",064689c1845e3302,6,mark_index_ratio;ret_1;ret_12,True,-5.73327595517306,-1.3049842731924868,-2.9456489622681605,-0.9441766720778082,-0.24068764794378994,-0.6755004715297322,-0.9552244693374776,-0.4474310882681757,-7.5787606490506105,-3.0788198140313394,-4.629193047802779,-2.7695165231020176,-0.2939769645850968,-0.9249937072928244,-0.9913204140302322,-0.7554487686133007,-2.2260722874260934,1.6515249796865683,-6.123001983337917e-16,1.8337767890315475,-0.13281489906395205,-0.19511505051940303,-0.4541602055032741,-0.23586638311022,-2.0486768370566035,1.5651295147197952,4.007783116366637e-15,1.8088322609805714,-0.12906236935392146,-0.2147917519919843,-0.48956283920195676,-0.20439716886813364,-5.716036374327282,-1.3896080296062947,-3.2039976944726356,-0.6362891676294437,-0.23789952098590483,-0.6967167249107862,-0.9648673966996293,-0.43653526869747616,HOLD_A7I1_COST_OR_LAG_FAIL,raw_validation_nonpositive;raw_recent_nonpositive;raw_may_severely_negative;residual_funding_may_negative;cost20_recent_collapse;execution_lag_recent_collapse
i0_basis_premium_085,basis_premium,generated_candidate,original,-1.7280260973164754,-1.1234528773950623,1.4789672885106748,2.0,2.0,-1.0,-0.525276652824463,-0.33855866812978913,0.7636529928448852,True,True,True,196,I0_basis_premium,"Mul(Rank(mark_minus_index),ZScore(hl_range))",410c87cadd5c32d1,12,hl_range;mark_minus_index,True,-5.8860601958682155,-1.1234528773950623,-3.5765941806911004,-1.7280260973164754,-0.33514844896827867,-0.6214215002781158,-0.9834980830592626,-0.7328131722410407,-7.666366318317196,-3.2018579546577555,-5.11881430735363,-3.57254593317392,-0.36063630998586393,-0.9322112444011057,-0.9961198282605179,-0.8618723989405134,-1.0717997446430467,2.477077377993948,-5.566365439398106e-16,1.4789672885106748,-0.30651479254503244,-0.26240176011634053,-0.8538642163060435,-0.41114591573526305,-1.5917746349577928,2.3797791920500564,2.6718554109110914e-15,1.6614700939434641,-0.30085711218100764,-0.3301626029059803,-0.8867479502643537,-0.39172014370057795,-6.539189057317183,-1.050553305648926,-3.3682500811878286,-1.5521281876854127,-0.34967795015454817,-0.5980236703815986,-0.9799645092874297,-0.7107826597407728,HOLD_A7I1_COST_OR_LAG_FAIL,raw_validation_nonpositive;raw_recent_nonpositive;raw_may_severely_negative;residual_funding_may_negative;cost20_recent_collapse;execution_lag_recent_collapse
