blueprint_id,core59_shard,core61_route,core61_reason,core61_blocked,semantic_pair,motif,label_family,label_horizon_h,decision,premay_positive_split_count,control_ratio,cost10,robust_ok,lag_ok,expression
a7ff24r_38ceb4526d183f76,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,price_like|volatility_like,spread_rank,L5_vol_adjusted_return,1,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,3,1.0866655183353648,0.0579351853994007,True,False,"Sub(CSRank(realized_vol_168h),CSRank(ZScore(Mean(trade_return_1h,2))))"
a7ff24r_1271f36cfe6b4ca5,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|volatility_like,mul,L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,3,1.0912650230244432,-0.0015764145010479,True,True,"Mul(Delta(premium_close_bps,4),realized_vol_168h)"
a7ff24r_54ec30e5ce4353ba,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|basis_premium_like,mul,L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,3,1.0919947617167682,-0.0011588138323711,True,True,"Mul(Mean(mark_index_basis_bps,2),premium_close_bps)"
a7ff24r_5b64bd43e2dd09cb,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_pre_may_unstable,False,basis_premium_like|price_like,sub,L0_raw_forward_return,4,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,2,1.0964588501815171,-0.0010791282673016,False,True,"Sub(Delta(premium_close_bps,4),trade_return_1h)"
a7ff24r_8ebedefc7d746058,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,price_like,single,L5_vol_adjusted_return,4,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,3,1.098961618244265,0.0604849537449482,True,False,trade_return_1h
a7ff24r_f71d4c2645b1f21b,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,price_like,single,L5_vol_adjusted_return,4,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,3,1.098961618244265,0.0604849537449482,True,False,"Clip(ZScore(trade_return_1h),-3,3)"
a7ff24r_fa589cfab1b7ea13,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,price_like,single,L5_vol_adjusted_return,4,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,3,1.098961618244265,0.0604849537449482,True,False,CSRank(trade_return_1h)
a7ff24r_291a13ec6e55c045,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_pre_may_unstable,False,basis_premium_like|basis_premium_like,gated_sign,L5_vol_adjusted_return,8,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,2,1.1011163220353453,0.0431946447304517,False,True,"Mul(mark_index_basis_bps,Sign(Delta(premium_close_bps,4)))"
a7ff24r_72a9f6f08ba53245,s03,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|price_like,smooth_mul,L0_raw_forward_return,1,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,3,1.1013429760521734,-0.0017777363178695,True,True,"Mean(Mul(premium_close_bps,trade_return_1h),4)"
a7ff24r_16a015591ba6cab1,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|basis_premium_like,spread_rank,L3_liquidity_tier_relative_return,8,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,3,1.101759048288503,-0.0010945147363593,True,False,"Sub(CSRank(mark_index_basis_bps),CSRank(Mean(premium_close_bps,8)))"
a7ff24r_4badde106bddfdc1,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|basis_premium_like,mul,L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,3,1.1053989264449755,-0.0018253312505455,True,False,"Mul(Delta(mark_index_basis_bps,1),premium_close_bps)"
a7ff24r_0c84dc458dd14f07,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|price_like,spread_rank,L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,3,1.106068684189962,-0.0015720216734024,True,False,"Sub(CSRank(ZScore(Mean(mark_index_basis_bps,12))),CSRank(ZScore(Mean(trade_return_1h,2))))"
a7ff24r_63d580b608efb854,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,price_like|volatility_like,mul,L5_vol_adjusted_return,1,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,3,1.1091639616227509,0.0763519822949824,True,True,"Mul(realized_vol_24h,trade_return_1h)"
a7ff24r_49b4801d0c746716,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|price_like,mul,L5_vol_adjusted_return,4,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,3,1.1109871964123943,0.0364806396614057,True,True,"Mul(Mean(premium_close_bps,4),trade_return_1h)"
a7ff24r_340a703cc75cfd6d,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|price_like,sub,L5_vol_adjusted_return,1,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,3,1.1144473766578171,0.0987546775680258,True,True,"Sub(ZScore(Mean(mark_index_basis_bps,2)),trade_return_1h)"
a7ff24r_696ccab05df0304b,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|volatility_like,mul,L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,3,1.1147244374418652,-0.001619779312649,True,True,"Mul(Delta(premium_close_bps,8),realized_vol_168h)"
a7ff24r_58cd9af618657156,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|volatility_like,mul,L3_liquidity_tier_relative_return,24,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,3,1.1149364290557169,7.407734000901105e-05,True,True,"Mul(Delta(mark_index_basis_bps,2),realized_vol_24h)"
a7ff24r_0aac03db44a26828,s02,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|price_like,spread_rank,L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,3,1.115038490885002,-0.0016636643832986,True,True,"Sub(CSRank(Mean(premium_close_bps,4)),CSRank(trade_return_1h))"
a7ff24r_3eaa8cb56f1cb3d5,s02,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|price_like,spread_rank,L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,3,1.115038490885002,-0.0016636643832986,True,True,"Sub(CSRank(ZScore(Mean(premium_close_bps,4))),CSRank(trade_return_1h))"
a7ff24r_44729f0f6d18b9fe,s03,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like,single,L5_vol_adjusted_return,1,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,3,1.1176895088220902,0.0991241304466427,True,True,"ZScore(Mean(mark_index_basis_bps,2))"
a7ff24r_6511aa6092778791,s03,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like,single,L5_vol_adjusted_return,1,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,3,1.1176895088220902,0.0991241304466427,True,True,"Mean(mark_index_basis_bps,2)"
a7ff24r_7ab178e73e64b214,s03,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|price_like,safe_div_abs,L5_vol_adjusted_return,1,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,3,1.118169590129946,0.0600564191840694,True,True,"SafeDiv(ZScore(Mean(mark_index_basis_bps,2)),Abs(trade_return_1h))"
a7ff24r_0974ac7eff3d7f9f,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,price_like|volatility_like,sub,L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,3,1.1263749464979362,-0.0014096847379675,True,True,"Sub(realized_vol_168h,trade_return_1h)"
a7ff24r_3fded0c9037dbac9,s02,CORE62B_target_near_miss_repair_dryrun,near_miss_pre_may_unstable,False,basis_premium_like|basis_premium_like,smooth_mul,L0_raw_forward_return,24,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,2,1.128046757885034,-0.0003630551690789,False,True,"Mean(Mul(ZScore(Mean(mark_index_basis_bps,4)),Delta(premium_close_bps,1)),4)"
a7ff24r_79c122574ac34cae,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|volatility_like,sub,L5_vol_adjusted_return,1,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,3,1.128916580623816,0.101684960649223,True,True,"Sub(ZScore(Mean(mark_index_basis_bps,2)),realized_vol_24h)"
a7ff24r_7e97e3b728901bf0,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|volatility_like,safe_div_abs,L5_vol_adjusted_return,1,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,3,1.1359150584947966,0.0863160968698523,True,True,"SafeDiv(premium_close_bps,Abs(ZScore(Mean(realized_vol_24h,2))))"
a7ff24r_2a3cac1598bdf55e,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|price_like,sub,L5_vol_adjusted_return,1,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,3,1.137112265392339,0.0978229618188151,True,True,"Sub(Mean(mark_index_basis_bps,2),trade_return_1h)"
a7ff24r_425d86b74107cad4,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|basis_premium_like,mul,L5_vol_adjusted_return,1,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,3,1.1385655783678814,0.0793343886941863,True,True,"Mul(mark_index_basis_bps,Mean(premium_close_bps,8))"
a7ff24r_09e584f1f393b596,s02,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|basis_premium_like,spread_rank,L5_vol_adjusted_return,1,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,3,1.1409597574436408,0.0098723869519235,True,False,"Sub(CSRank(Mean(mark_index_basis_bps,8)),CSRank(premium_close_bps))"
a7ff24r_56366e389ce7a29a,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|volatility_like,gated_sign,L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,3,1.141626416899361,-0.0016988817926443,True,True,"Mul(Delta(premium_close_bps,1),Sign(realized_vol_24h))"
a7ff24r_9c327773674f0ef2,s03,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|basis_premium_like,spread_rank,L3_liquidity_tier_relative_return,24,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,3,1.147990755484625,0.0008871362671159,True,True,"Sub(CSRank(ZScore(Mean(mark_index_basis_bps,12))),CSRank(premium_close_bps))"
a7ff24r_1e9ec9b14c3bad92,s02,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|volatility_like,gated_sign,L5_vol_adjusted_return,1,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,3,1.1485302533388482,0.0991241304466427,True,True,"Mul(ZScore(Mean(mark_index_basis_bps,2)),Sign(realized_vol_168h))"
a7ff24r_e49f81a5d306bb06,s03,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|volatility_like,gated_sign,L5_vol_adjusted_return,1,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,3,1.1485302533388482,0.0991241304466427,True,True,"Mul(ZScore(Mean(mark_index_basis_bps,2)),Sign(realized_vol_24h))"
a7ff24r_3f7935c937006320,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|volatility_like,gated_sign,L5_vol_adjusted_return,1,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,3,1.1485302533388482,0.0991241304466427,True,True,"Mul(Mean(mark_index_basis_bps,2),Sign(realized_vol_168h))"
a7ff24r_6406e38adf63bddf,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|price_like,safe_div_abs,L1_cross_sectional_relative_return,1,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,3,1.1489252867210278,-0.0013838443765131,True,True,"SafeDiv(Mean(premium_close_bps,2),Abs(trade_return_1h))"
a7ff24r_6406e38adf63bddf,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|price_like,safe_div_abs,L0_raw_forward_return,1,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,3,1.1489252867210284,-0.0013838443765131,True,True,"SafeDiv(Mean(premium_close_bps,2),Abs(trade_return_1h))"
a7ff24r_8ebedefc7d746058,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,price_like,single,L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,3,1.149176774911525,-0.0011735023806446,True,True,trade_return_1h
a7ff24r_f71d4c2645b1f21b,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,price_like,single,L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,3,1.149176774911525,-0.0011735023806446,True,True,"Clip(ZScore(trade_return_1h),-3,3)"
a7ff24r_fa589cfab1b7ea13,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,price_like,single,L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,3,1.149176774911525,-0.0011735023806446,True,True,CSRank(trade_return_1h)
a7ff24r_2809983f46ab7d37,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|basis_premium_like,sub,L1_cross_sectional_relative_return,8,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,3,1.149252267707668,-0.0005970388306803,True,True,"Sub(mark_index_basis_bps,Mean(premium_close_bps,4))"
