field_name,non_null_rate,nan_count,inf_count,min,max
ret_1,0.9999521965677136,12,0,-0.18364324502221496,0.3360630407911003
ret_24,0.9988527176251255,288,0,-0.30850711684872556,0.7204431628471692
funding_rate_bps,0.9999521965677136,12,0,-30.2761,14.3701
open_interest_change_24h,0.9984663065474768,385,0,-1.0,0.8440573632964823
mark_index_basis_change_24h,0.998804914192839,300,0,-0.0102403369377434,0.0106327743747191
premium_index_change_24h,0.9811654476791434,4728,0,-0.0112549,0.01157653
top_long_short_position_ratio_zscore_168h,0.9989005210574119,276,0,-10.367886100818195,12.818288321084234
agg_features_available,1.0,0,0,0.0,1.0
agg_trade_count,0.9815956785697213,4620,0,648.0,2462344.0
agg_underlying_trade_count,0.9815956785697213,4620,0,2077.0,4362437.0
agg_quantity,0.9815956785697213,4620,0,358.475,8990811654.0
agg_notional,0.9815956785697213,4620,0,490007.79838,14480886317.8337
agg_buy_notional,0.9815956785697213,4620,0,222926.69401,7231264694.0701
agg_sell_notional,0.9815956785697213,4620,0,217591.81674,7713936346.1879
agg_signed_aggressor_quantity,0.9815956785697213,4620,0,-729462636.0,391333141.0
agg_signed_aggressor_notional,0.9815956785697213,4620,0,-1088494689.81319,1179386032.7297
agg_high_price,0.9815956785697213,4620,0,0.07639,126208.5
agg_low_price,0.9815956785697213,4620,0,0.07358,125185.1
agg_price_std,0.9815956785697213,4620,0,2.4258342214187635e-05,2922.600803899473
agg_max_trade_notional,0.9815956785697213,4620,0,5991.3711,237588166.0
agg_open_price,0.9815956785697213,4620,0,0.07578,125986.1
agg_close_price,0.9815956785697213,4620,0,0.07577,125986.0
agg_vwap,0.9815956785697213,4620,0,0.07521423249799994,125688.53539385129
agg_buy_vwap,0.9815956785697213,4620,0,0.07521964921142027,125720.17505067048
agg_sell_vwap,0.9815956785697213,4620,0,0.07520898541370324,125641.24915333533
agg_avg_agg_trade_notional,0.9815956785697213,4620,0,149.73181466960352,119450.86223098534
agg_avg_underlying_trade_notional,0.9815956785697213,4620,0,27.581551335942848,21077.515993404326
agg_volume_imbalance,0.9815956785697213,4620,0,-0.675685072750853,0.7012057119003081
agg_buy_sell_notional_ratio,0.9815956785697213,4620,0,0.19354169379616323,5.69356838351845
agg_price_range_bps,0.9815956785697213,4620,0,5.237391183021302,11815.458380978907
agg_close_to_open_bps,0.9815956785697213,4620,0,-1835.7607175183089,3358.5663525413256
agg_large_trade_count_100k_plus,0.9815956785697213,4620,0,0.0,29689.0
agg_large_notional_100k_plus,0.9815956785697213,4620,0,0.0,7491359986.796531
agg_large_trade_count_ratio_100k_plus,0.9815956785697213,4620,0,0.0,0.09137401177657353
agg_large_notional_ratio_100k_plus,0.9815956785697213,4620,0,0.0,0.938963275115067
agg_vwap_close_bps,0.9815956785697213,4620,0,-1502.2895019178006,1173.2098130779489
agg_buy_sell_vwap_spread_bps,0.9815956785697213,4620,0,-258.40908215253313,152.7773679258737
agg_avg_underlying_trades_per_agg,0.9815956785697213,4620,0,1.5106420931254818,28.099453921616007
agg_flow_imbalance_notional,0.9815956785697213,4620,0,-0.675685072750853,0.7012057119003081
agg_buy_notional_share,0.9815956785697213,4620,0,0.16215746362457356,0.8506028559501541
agg_sell_notional_share,0.9815956785697213,4620,0,0.1493971440498459,0.8378425363754265
agg_notional_sum_4h,0.981452268272862,4656,0,2724065.7342600077,28675684371.11489
agg_quantity_sum_4h,0.981452268272862,4656,0,1985.1259999999893,21654450908.0
agg_signed_notional_sum_4h,0.981452268272862,4656,0,-2194597080.872599,1400008995.0368006
agg_flow_imbalance_notional_4h,0.981452268272862,4656,0,-0.578053735582237,0.5016871625681558
agg_large_notional_sum_4h,0.981452268272862,4656,0,0.0,15533930175.740402
agg_large_notional_share_4h,0.981452268272862,4656,0,0.0,0.8476996768689752
agg_trade_count_sum_4h,0.981452268272862,4656,0,3293.0,4323706.0
agg_avg_trade_notional_4h,0.981452268272862,4656,0,290.6592387029796,45121.23433968581
agg_price_range_bps_max_4h,0.981452268272862,4656,0,9.711675034233146,11815.458380978907
agg_close_to_open_bps_sum_4h,0.981452268272862,4656,0,-2497.7543466339953,5182.827959543959
agg_notional_sum_24h,0.9824083369185908,4416,0,3653499.379170001,74220878837.223
agg_quantity_sum_24h,0.9824083369185908,4416,0,8287.485000000033,73887625573.0
agg_signed_notional_sum_24h,0.9824083369185908,4416,0,-4395405871.577,2078598212.7478
agg_flow_imbalance_notional_24h,0.9824083369185908,4416,0,-0.25810606117544654,0.1462039056187134
agg_large_notional_sum_24h,0.9824083369185908,4416,0,0.0,38374656892.792
agg_large_notional_share_24h,0.9824083369185908,4416,0,0.0,0.7110073216565639
agg_trade_count_sum_24h,0.9824083369185908,4416,0,5272.0,10820037.0
agg_avg_trade_notional_24h,0.9824083369185908,4416,0,345.92611544173224,19242.76496478907
agg_price_range_bps_max_24h,0.9824083369185908,4416,0,22.52688503443584,11815.458380978907
agg_close_to_open_bps_sum_24h,0.9824083369185908,4416,0,-3456.476833724732,6079.363614889693
agg_signed_flow_z_24h,0.9812610545437163,4704,0,-4.764834706177898,4.775597325897237
agg_notional_shock_24h_mad,0.9809264305177112,4788,0,-6.002420142614348,526.0462683499525
agg_notional_accel_4h_vs_24h,0.981452268272862,4656,0,-0.8339923782977575,5.0
agg_flow_accel_4h_vs_24h,0.981452268272862,4656,0,-0.41481160291198893,0.39664116662149007
agg_universe_notional,1.0,0,0,0.0,37852846092.47011
agg_universe_signed_abs_notional,1.0,0,0,0.0,2445107487.51657
agg_universe_large_notional,1.0,0,0,0.0,15001584613.68228
agg_cross_symbol_notional_share,0.9815956785697213,4620,0,0.0005891261187597511,0.795748537210223
agg_cross_symbol_signed_flow_share,0.9815956785697213,4620,0,-0.9819813573849471,0.966416143360943
agg_cross_symbol_large_notional_share,0.9815956785697213,4620,0,0.0,0.9229445459441356
agg_btcusdt_flow_imbalance_4h,0.9986615038959797,336,0,-0.28396018938815554,0.30845792311045517
agg_flow_minus_btcusdt_4h,0.981452268272862,4656,0,-0.6716109313649651,0.4854267085923921
agg_ethusdt_flow_imbalance_4h,0.9986615038959797,336,0,-0.21973588043114,0.2701223412864574
agg_flow_minus_ethusdt_4h,0.981452268272862,4656,0,-0.5726514393121731,0.46330582260495645
agg_volume_imbalance_cs_rank,0.9815956785697213,4620,0,0.08333333333333333,1.0
agg_signed_flow_z_24h_cs_rank,0.9812610545437163,4704,0,0.08333333333333333,1.0
agg_large_notional_share_24h_cs_rank,0.9824083369185908,4416,0,0.08333333333333333,1.0
agg_notional_accel_4h_vs_24h_cs_rank,0.981452268272862,4656,0,0.08333333333333333,1.0
agg_cross_symbol_notional_share_cs_rank,0.9815956785697213,4620,0,0.08333333333333333,1.0
agg_volume_imbalance_cs_zscore,0.9815956785697213,4620,0,-3.192050804041534,3.219623818682723
agg_signed_flow_z_24h_cs_zscore,0.9812610545437163,4704,0,-3.238754832946802,3.2634765655672884
agg_large_notional_share_24h_cs_zscore,0.9824083369185908,4416,0,-1.4141801161174656,3.0515766388533554
agg_notional_accel_4h_vs_24h_cs_zscore,0.9814044648405755,4668,0,-3.0650851322247865,3.2994334342779448
agg_cross_symbol_notional_share_cs_zscore,0.9815956785697213,4620,0,-1.4142132965933172,3.2852150669430236
