gate_decision,semantic_pair,formula_count
PASS,basis_premium_like|positioning_like,2304
PASS,open_interest_like|positioning_like|regime_state,1536
PASS,open_interest_like|positioning_like|listing_age_like,1024
PASS,basis_premium_like|age_x_volatility|positioning_like,768
PASS,open_interest_like|positioning_like,512
