field,canonical_field,route,dependencies,dependency_status,in_a7aif3_field_matrix,in_extension_registry,contract_status,formula_usage_count,is_system_required,example_expression
account_position_divergence,account_position_divergence,derived_dep_generated,top_long_short_account_ratio_last;top_long_short_position_ratio_last,deps_resolved,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,393,False,"Sub(CSRank(Delta(mark_index_basis_bps,4)),CSRank(ZScore(Mean(account_position_divergence,3))))"
age_percentile_active_universe,age_percentile_active_universe,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,62,False,"Abs(Sub(ZScore(Mean(taker_buy_sell_volume_ratio_mean,48)),CSRank(age_percentile_active_universe)))"
age_x_volatility,age_x_volatility,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,1700,False,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Decay(age_x_volatility,96))"
basis_abs_168h,basis_abs_168h,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,750,False,"Sub(CSRank(Delta(basis_abs_168h,4)),CSRank(ZScore(Mean(global_long_short_account_ratio_last,3))))"
basis_dislocation_state,R5_basis_premium_dislocation_state,upper_alias,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,185,False,"Neg(Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Sign(TSRank(basis_dislocation_state,336))))"
global_long_short_account_ratio_last,global_long_short_account_ratio_last,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,616,False,"Sub(CSRank(Delta(mark_index_basis_bps,4)),CSRank(ZScore(Mean(global_long_short_account_ratio_last,48))))"
global_long_short_account_ratio_mean,global_long_short_account_ratio_mean,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,796,False,"Sub(CSRank(Delta(mark_index_basis_bps,4)),CSRank(ZScore(Mean(global_long_short_account_ratio_mean,3))))"
leverage_crowding_state,R4_leverage_crowding_state,upper_alias,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,264,False,"Neg(Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Sign(TSRank(leverage_crowding_state,336))))"
liquidity_cycle_state,R3_liquidity_cycle_state,upper_alias,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,279,False,"Neg(Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Sign(TSRank(liquidity_cycle_state,336))))"
listing_age_days,listing_age_days,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,3,False,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_mean,48)),CSRank(listing_age_days))"
