duplicate_cluster_id,cluster_size,representative_blueprint,max_score_no_may,semantic_pairs,label_families,skeletons,allowed_keep_review_count
cluster_01,1,a7ls15_6b338a109f660b8c,363.4709848668255,basis_premium_like|liquidity_like,L5_vol_adjusted_return,skel_7ced7a1852c7e2ed,1
cluster_02,2,a7ls15_7355ef8aa37d5217,285.989659979269,basis_premium_like;basis_premium_like|listing_age_like,L5_vol_adjusted_return,skel_d2c2cd29eb5fbfcd,1
cluster_04,1,a7ls15_42dc6539d51aca8b,259.061540772998,basis_premium_like|positioning_like,L5_vol_adjusted_return,skel_a923757a8885923c,1
cluster_07,1,a7ls15_982c459fa90224ed,173.33262869014513,positioning_like|basis_premium_like,L5_vol_adjusted_return,skel_293cae94cfd91548,1
cluster_05,1,a7ls15_83b2ec53c58ee01a,148.87985873158806,listing_age_like|basis_premium_like,L5_vol_adjusted_return,skel_eaa129218e1e1a2f,1
cluster_08,1,a7ls15_04d0fe57519a6e45,63.47175687089457,open_interest_like|positioning_like,L5_vol_adjusted_return,skel_8a80c8785bbf365b,1
cluster_11,1,a7ls15_78478a819e0cd255,28.32544392656356,open_interest_like|taker_flow_like,L5_vol_adjusted_return,skel_2462e8a79b04eae3,1
cluster_06,1,a7ls15_6843b56cd44c4d9e,64.58467813257965,basis_premium_like|price_like,L7_ranked_future_return,skel_50fabfec06d9bf09,0
cluster_09,1,a7ls15_15e77eac9947540d,34.64383417801776,funding_state_like|liquidity_like,L7_ranked_future_return,skel_8727d93aac220fc6,0
cluster_10,1,a7ls15_4382d4990e40e198,33.6024949422848,price_like,L7_ranked_future_return,skel_9505754fb4b5368b,0
cluster_12,1,a7ls15_f93f4cd8598c1688,8.188190611140778,open_interest_like|positioning_like,L1_cross_sectional_relative_return,skel_4b7f5aabd80a7296,0
cluster_03,1,a7ls15_6dde8445b9dc0331,7.142656507081118,basis_premium_like|listing_age_like,L3_liquidity_tier_relative_return,skel_c614d64ff6a8da31,0
