blueprint_id,a7ls_lane,lane_name,search_role,level,candidate_role,generation_priority,semantic_pair,motif,primary_field,secondary_field,primary_semantic,secondary_semantic,primary_transform,secondary_transform,skeleton_key,production_key,source_stage,source_seed_id,checkpoint_group,provenance_found
a7ls15_6b338a109f660b8c,A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L2_typed_interaction,role_mixed_allowed,P0,basis_premium_like|liquidity_like,signed_spread,premium_abs_state,trade_volume,basis_premium_like,liquidity_like,decay_240h,zmean_12h,skel_7ced7a1852c7e2ed,prod_6c5814d1fd766703,A7LS-14,,chk_21d4990391502c1f,True
a7ls15_42dc6539d51aca8b,A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L2_typed_interaction,role_mixed_allowed,P0,basis_premium_like|positioning_like,mul,mark_trade_basis_bps,global_long_short_account_ratio_mean,basis_premium_like,positioning_like,csrank,abs_zmean_120h,skel_a923757a8885923c,prod_56f253d9831777d4,A7LS-14,,chk_9f86b6566ed5af58,True
a7ls15_6843b56cd44c4d9e,A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L2_typed_interaction,role_mixed_allowed,P0,basis_premium_like|price_like,signed_spread,mark_trade_basis_bps,trade_return_1h,basis_premium_like,price_like,tsrank_96h,csrank,skel_50fabfec06d9bf09,prod_de47f15962208e1b,A7LS-14,,chk_2cc1f5c5beac9d75,True
a7ls15_54ad1703758fd224,A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L2_typed_interaction,role_mixed_allowed,P0,basis_premium_like|listing_age_like,signed_spread,mark_trade_basis_bps,age_percentile_active_universe,basis_premium_like,listing_age_like,delta_336h,delta_8h,skel_d2c2cd29eb5fbfcd,prod_cd2e0f60c613372a,A7LS-14,,chk_b7b8814eb2ead606,True
a7ls15_6dde8445b9dc0331,A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L2_typed_interaction,role_mixed_allowed,P0,basis_premium_like|listing_age_like,state_gate,mark_index_basis_bps,age_percentile_active_universe,basis_premium_like,listing_age_like,delta_2h,delta_24h,skel_c614d64ff6a8da31,prod_4713ddcce0817b75,A7LS-14,,chk_806cccda9b7322c7,True
a7ls15_7355ef8aa37d5217,A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L2_typed_interaction,role_mixed_allowed,P0,basis_premium_like,signed_spread,mark_trade_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,delta_2h,tsrank_336h,skel_d2c2cd29eb5fbfcd,prod_1c0f258c52122d92,A7LS-14,,chk_e0515e4274b821ac,True
a7ls15_4382d4990e40e198,A7LS14_B,raw_multi_axis_reserved_search,raw_discovery,L2_raw_multi_axis_interaction,role_mixed_allowed,P0,price_like,spread_rank,index_close,trade_return_1h,price_like,price_like,delta_1h,csrank,skel_9505754fb4b5368b,prod_acbbf11df6b5bd55,A7LS-14,,chk_fc66e5bd5bc3c370,True
a7ls15_15e77eac9947540d,A7LS14_B,raw_multi_axis_reserved_search,raw_discovery,L2_raw_multi_axis_interaction,role_mixed_allowed,P0,funding_state_like|liquidity_like,mul,funding_state_x_basis_delta,median_quote_volume_168h,funding_state_like,liquidity_like,decay_96h,mean_96h,skel_8727d93aac220fc6,prod_5310d8a37794e0d0,A7LS-14,,chk_921a5ec572f20f71,True
a7ls15_78478a819e0cd255,A7LS14_B,raw_multi_axis_reserved_search,raw_discovery,L2_raw_multi_axis_interaction,role_mixed_allowed,P0,open_interest_like|taker_flow_like,smooth_mul,open_interest_value_mean,kline_taker_buy_quote_share,open_interest_like,taker_flow_like,abs_zmean_120h,abs_zmean_96h,skel_2462e8a79b04eae3,prod_472d15972b5bc27a,A7LS-14,,chk_559b2f3a59184138,True
a7ls15_982c459fa90224ed,A7LS14_C,underrepresented_axis_rescue,coverage_repair,L2_typed_interaction,role_mixed_allowed,P1,positioning_like|basis_premium_like,spread_rank,top_long_short_account_ratio_last,mark_index_basis_bps,positioning_like,basis_premium_like,level,level,skel_293cae94cfd91548,prod_662b51ef54993fa5,A7LS-14,,chk_b0bdb57fb1aa99ef,True
a7ls15_04d0fe57519a6e45,A7LS14_C,underrepresented_axis_rescue,coverage_repair,L2_typed_interaction,role_mixed_allowed,P1,open_interest_like|positioning_like,smooth_mul,open_interest_mean,top_long_short_position_ratio_mean,open_interest_like,positioning_like,decay_16h,delta_4h,skel_8a80c8785bbf365b,prod_317e1357169e3845,A7LS-14,,chk_60b38692adb7b417,True
a7ls15_83b2ec53c58ee01a,A7LS14_C,underrepresented_axis_rescue,coverage_repair,L2_typed_interaction,role_mixed_allowed,P1,listing_age_like|basis_premium_like,mul,listing_age_days,mark_index_basis_bps,listing_age_like,basis_premium_like,zmean_336h,delta_3h,skel_eaa129218e1e1a2f,prod_f9f1ad071c37335d,A7LS-14,,chk_fb1d697b5737c6e3,True
a7ls15_f93f4cd8598c1688,A7LS14_C,underrepresented_axis_rescue,coverage_repair,L2_typed_interaction,role_mixed_allowed,P1,open_interest_like|positioning_like,state_gate,open_interest_last,top_long_short_position_ratio_mean,open_interest_like,positioning_like,decay_336h,zmean_2h,skel_4b7f5aabd80a7296,prod_356a7fd3b25ba46c,A7LS-14,,chk_5dbc19c7b090d0a1,True
