control_id,category,discovery_status,coordinate_coverage,observations,ic_mean,ic_lcb,gross_mean,net_mean,net_lcb,return_risk,worst_horizon_net_mean,time_block_positive_fraction,time_block_stability,turnover_mean,cost_drag_mean,max_weight_mean,concentration_hhi_mean,complexity,behaviour_novelty,benchmark_incremental_mean,benchmark_incremental_lcb,placebo_ic_abs,wrong_lag_ic_abs,hard_gate_pass,hard_gate_reasons,lane_scalar,survivor_pass,failed_gates,distance_ic_lcb,distance_net_lcb,distance_benchmark_incremental_lcb,distance_worst_horizon_net_mean,feedback_permission
stable_weak_edge,PLANTED_POSITIVE,synthetic_calibration,1.0,8784,0.8031433502744978,0.8008684773514,0.0013217281628805366,0.0011925823674949869,0.001186767124443892,401.95421236092983,0.0011778793031615754,1.0,0.9074553301220464,0.2582915907710991,0.00012914579538554952,0.1527777777777778,0.11033950617283952,1,0.0,0.0011925823674949869,0.001186767124443892,0.07196014368145516,0.7730851637261748,True,,45.57274769040392,True,,0.8008684773514,0.001186767124443892,0.001186767124443892,0.0021778793031615755,CALIBRATION_ONLY_NO_GENERATOR_MEMORY_CANDIDATE_OR_PROMOTION
cost_positive_portfolio,PLANTED_POSITIVE,synthetic_calibration,1.0,8784,0.8031433502744978,0.8008684773514,0.0013217281628805366,0.0011925823674949869,0.001186767124443892,401.95421236092983,0.0011778793031615754,1.0,0.9074553301220464,0.2582915907710991,0.00012914579538554952,0.1527777777777778,0.11033950617283952,1,0.0,0.0011925823674949869,0.001186767124443892,0.07196014368145516,0.7730851637261748,True,,45.57274769040392,True,,0.8008684773514,0.001186767124443892,0.001186767124443892,0.0021778793031615755,CALIBRATION_ONLY_NO_GENERATOR_MEMORY_CANDIDATE_OR_PROMOTION
cross_block_injected,PLANTED_POSITIVE,synthetic_calibration,1.0,8784,0.8031433502744978,0.8008684773514,0.0013217281628805366,0.0011925823674949869,0.001186767124443892,401.95421236092983,0.0011778793031615754,1.0,0.9074553301220464,0.2582915907710991,0.00012914579538554952,0.1527777777777778,0.11033950617283952,1,0.0,0.0011925823674949869,0.001186767124443892,0.07196014368145516,0.7730851637261748,True,,45.57274769040392,True,,0.8008684773514,0.001186767124443892,0.001186767124443892,0.0021778793031615755,CALIBRATION_ONLY_NO_GENERATOR_MEMORY_CANDIDATE_OR_PROMOTION
low_turnover,PLANTED_POSITIVE,synthetic_calibration,1.0,8784,0.5664423236144548,0.561492827930468,0.0009464601188287974,0.0009270529897051381,0.0009187536823292404,218.93680731707448,0.000900434942906601,1.0,0.8393844406135014,0.038814258247318364,1.9407129123659182e-05,0.1527777777777778,0.11033950617283952,1,0.0,0.0009270529897051381,0.0009187536823292404,0.049405626249888535,0.5482284992702845,True,,26.056465012846193,True,,0.561492827930468,0.0009187536823292404,0.0009187536823292404,0.001900434942906601,CALIBRATION_ONLY_NO_GENERATOR_MEMORY_CANDIDATE_OR_PROMOTION
moderate_concentration,PLANTED_POSITIVE,synthetic_calibration,1.0,8784,0.8014213700689111,0.7991443515414492,0.0013190512784592673,0.0011909522094448975,0.0011851474454911087,402.1294145799655,0.0011764026917427375,1.0,0.9095730833680012,0.25619813802873914,0.0001280990690143696,0.1527777777777778,0.11033950617283952,1,0.0,0.0011909522094448975,0.0011851474454911087,0.06820570140242271,0.771585126702968,True,,45.58185640275202,True,,0.7991443515414492,0.0011851474454911087,0.0011851474454911087,0.0021764026917427378,CALIBRATION_ONLY_NO_GENERATOR_MEMORY_CANDIDATE_OR_PROMOTION
shuffled_signal,NULL_CONTROL,null_calibration,1.0,8784,0.006463595602939865,0.0001155974620790836,1.1971285960406461e-05,-0.0006458851702225525,-0.0006566737861459668,-117.33988331985944,-0.0006531271182657696,0.0,0.9353086101123295,1.3157129123659181,0.0006578564561829589,0.1527777777777778,0.11033950617283952,1,0.0,-0.0006458851702225525,-0.0006566737861459668,0.0006830601092896179,0.007791593582325679,True,,-12.455985373901893,False,net_lcb|benchmark_increment,0.0001155974620790836,-0.0006566737861459668,-0.0006566737861459668,0.00034687288173423046,CALIBRATION_ONLY_NO_GENERATOR_MEMORY_CANDIDATE_OR_PROMOTION
delayed_wrong_lag,NULL_CONTROL,null_calibration,1.0,8784,0.026009623345688918,0.019702277382622712,4.544649239318387e-05,-8.374041309153587e-05,-9.410603505695419e-05,-15.834188262603353,-0.00014252079798346678,0.0,0.731047040305504,0.25837381096943945,0.00012918690548471975,0.1527777777777778,0.11033950617283952,1,0.0,-8.374041309153587e-05,-9.410603505695419e-05,0.008605920491166394,0.02489790751204847,True,,-1.6116344423352706,False,net_lcb|benchmark_increment,0.019702277382622712,-9.410603505695419e-05,-9.410603505695419e-05,0.0008574792020165332,CALIBRATION_ONLY_NO_GENERATOR_MEMORY_CANDIDATE_OR_PROMOTION
random_rank,NULL_CONTROL,null_calibration,1.0,8784,-0.005306851618327029,-0.011649489852925188,-7.71602912022362e-06,-0.000669174362453557,-0.0006798551085155844,-122.79870177533424,-0.0006797356888028882,0.0,0.9181525299342514,1.322916666666667,0.0006614583333333333,0.1527777777777778,0.11033950617283952,1,0.0,-0.000669174362453557,-0.0006798551085155844,0.00031127797521240155,0.004520812217499,True,,-13.072469078794041,False,ic_lcb|net_lcb|benchmark_increment,-0.011649489852925188,-0.0006798551085155844,-0.0006798551085155844,0.0003202643111971118,CALIBRATION_ONLY_NO_GENERATOR_MEMORY_CANDIDATE_OR_PROMOTION
random_sparse_event,NULL_CONTROL,null_calibration,0.00011384335154826958,1,0.30269297423167035,0.30269297423167035,0.0005955824689808335,9.558246898083342e-05,9.558246898083342e-05,,9.558246898083342e-05,1.0,1.0,1.0000000000000002,0.0005000000000000001,0.2368421052631579,0.19875346260387813,1,0.0,9.558246898083342e-05,9.558246898083342e-05,0.05929994533288809,0.13533299049019168,False,COVERAGE|OBSERVATIONS,0.2563543659075148,False,hard_gate,0.30269297423167035,9.558246898083342e-05,9.558246898083342e-05,0.0010955824689808334,CALIBRATION_ONLY_NO_GENERATOR_MEMORY_CANDIDATE_OR_PROMOTION
sign_flipped,NULL_CONTROL,null_calibration,1.0,8784,-0.8031433502744978,-0.8054182231975956,-0.0013217281628805366,-0.0014508739582660861,-0.0014566165653911672,-495.1954567432444,-0.0014556635688969702,0.0,0.9681791378719615,0.2582915907710991,0.00012914579538554952,0.1527777777777778,0.11033950617283952,1,0.0,-0.0014508739582660861,-0.0014566165653911672,0.07196014368145516,0.7730851637261748,True,,-54.21074971204454,False,ic_lcb|net_lcb|benchmark_increment|worst_block,-0.8054182231975956,-0.0014566165653911672,-0.0014566165653911672,-0.00045566356889697015,CALIBRATION_ONLY_NO_GENERATOR_MEMORY_CANDIDATE_OR_PROMOTION
