candidate_id,original_validation_spread,original_test_spread,original_recent_spread,original_may_stress_spread,one_bar_lag_recent_spread,control_dominance_ratio_premay_max,sign_stable_pre_may,lag_ok,min_abs_premay_spread,decision,cell,family,field_families,fields,operators,windows,feature_role,premay_mean_spread,premay_min_abs_spread,lag_recent_retention,may_same_sign_as_premay,quality_label
a7al2k_0096829c83c908a8,-0.0005088611261122,-0.0014315039380366,-0.002246844898385,0.0001524539417823,-0.0021981841719038,1.0513697030572118,True,True,0.0005088611261122,A7AL2L_DERIVED_REPLAY_PREFLIGHT_CLUE,J4_upper_regime_interaction,derived_upper_regime_proxy,liquidity|open_interest,open_interest_value_mean|trade_volume,Mean|Mul|Rank,168|504,upper_regime_proxy,-0.0013957366541779332,0.0005088611261122,0.9783426410447037,False,A7AL2M_STRESS_DIVERGENT_CLUE
a7al2k_01bdc8d049fffe52,-0.0011203692525959,-0.0022476728573017,-0.0027401014520017,0.0011895039135197,-0.0026634168801677,1.2297659158106262,True,True,0.0011203692525959,A7AL2L_DERIVED_REPLAY_PREFLIGHT_CLUE,J4_upper_regime_interaction,derived_upper_regime_proxy,liquidity|open_interest,open_interest_value_last|trade_volume,Mean|Mul|Rank,48,upper_regime_proxy,-0.0020360478539664336,0.0011203692525959,0.9720139662062585,False,A7AL2M_STRESS_DIVERGENT_CLUE
a7al2k_01759e5da72c472c,-0.0012383812885329,-0.0030394639666952,-0.0019558814382863,-0.0033867774896891,-0.0019140511189446,0.9463423387869286,True,True,0.0012383812885329,A7AL2L_DERIVED_REPLAY_PREFLIGHT_CLUE,J4_upper_regime_interaction,derived_upper_regime_proxy,basis|liquidity,premium_close|trade_count,Abs|Mean|Mul|Rank|ZScore,720,upper_regime_proxy,-0.002077908897838133,0.0012383812885329,0.9786130598088038,True,A7AL2M_DEEP_AUDIT_CANDIDATE
a7al2k_0cf817ef95787b3d,-0.002081802666004,-0.0044964636417948,-0.0037906611248732,-0.0064868497461751,-0.0036729932914598,1.041082797538783,True,True,0.002081802666004,A7AL2L_DERIVED_REPLAY_PREFLIGHT_CLUE,J4_upper_regime_interaction,derived_upper_regime_proxy,basis|liquidity,premium_close_bps|trade_volume,Abs|Mean|Mul|Rank|ZScore,168|504,upper_regime_proxy,-0.003456309144224,0.002081802666004,0.9689584931131674,True,A7AL2M_DEEP_AUDIT_CANDIDATE
a7al2k_046e806368e99c76,0.0012886564146032,0.0019117069408947,0.0018654298451999,-0.0016492308811672,0.0018383973410211,0.7933497090942949,True,True,0.0012886564146032,A7AL2L_DERIVED_REPLAY_PREFLIGHT_CLUE,J0_oi_derived_state,derived_oi_price_state,open_interest|price,index_close|open_interest_value_last,Abs|Mean|Sub|ZScore,12|48,derived_interaction,0.0016885977335659335,0.0012886564146032,0.9855086996445566,False,A7AL2M_STRESS_DIVERGENT_CLUE
a7al2k_16eeb579c992bb45,-0.0007068217650198,-0.0032599644091057,-0.0015742266667112,-0.0012783109420723,-0.0011331411600912,1.1512341815357452,True,True,0.0007068217650198,A7AL2L_DERIVED_REPLAY_PREFLIGHT_CLUE,J3_basis_funding_derived,derived_basis_funding_state,basis|funding,funding_rate|mark_index_basis_bps,Add|Delta|Mean|Neg|Rank|ZScore,96|720,derived_interaction,-0.0018470042802789,0.0007068217650198,0.7198081344019568,True,A7AL2M_CONTROL_MARGIN_THIN_CLUE
a7al2k_09e91fd6263c0156,0.0011396790192559,0.0018017556984027,0.0018354546796888,-0.0016711952258987,0.0018228531307023,1.0233743021608117,True,True,0.0011396790192559,A7AL2L_DERIVED_REPLAY_PREFLIGHT_CLUE,J0_oi_derived_state,derived_oi_price_state,open_interest|price,open_interest_value_mean|trade_close,Abs|Mean|Sub|ZScore,4|168,derived_interaction,0.0015922964657824666,0.0011396790192559,0.9931343720300211,False,A7AL2M_STRESS_DIVERGENT_CLUE
a7al2k_134ec76b5d7444f9,-0.0021405332764039,-0.0041849137191326,-0.0021834175482841,-0.0038533565819208,-0.0020995654509362,1.0686937965431498,True,True,0.0021405332764039,A7AL2L_DERIVED_REPLAY_PREFLIGHT_CLUE,J2_liquidity_lifecycle,derived_liquidity_lifecycle,liquidity|price,index_close|trade_volume,Add|Delta|Mean|Neg|Rank|ZScore,96|168,derived_rolling,-0.0028362881812735333,0.0021405332764039,0.9615959405411039,True,A7AL2M_DEEP_AUDIT_CANDIDATE
a7al2k_0a247ec03472983b,0.0012293800054126,0.0015918458677626,0.0018851734349219,-0.0016677113318432,0.0018649255827003,0.8808498118473818,True,True,0.0012293800054126,A7AL2L_DERIVED_REPLAY_PREFLIGHT_CLUE,J0_oi_derived_state,derived_oi_price_state,open_interest|price,index_close|open_interest_value_last,Abs|Mean|Sub|ZScore,168|336,derived_interaction,0.0015687997693657,0.0012293800054126,0.98925942205289,False,A7AL2M_STRESS_DIVERGENT_CLUE
a7al2k_01298a6b5902f416,-0.0008302323846803,-0.0017432163050307,-0.0015932228720284,-0.0017121643358003,-0.0015788506685906,0.9323783682029354,True,True,0.0008302323846803,A7AL2L_DERIVED_REPLAY_PREFLIGHT_CLUE,J0_oi_derived_state,derived_oi_price_state,open_interest,open_interest_mean,Delta|Mean|ZScore,168|720,derived_interaction,-0.0013888905205798,0.0008302323846803,0.9909791632482012,True,A7AL2M_DEEP_AUDIT_CANDIDATE
