artifact,path,exists,bytes,mtime_utc,generated_at,row_count,sha256_prefix_1mb
current_a7al2k_manifest,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7al2k_derived_generator_smoke\a7al2k_manifest.json,True,710,2026-05-28T01:45:32Z,2026-05-28T01:45:32Z,,b6b5ce605c710489c004d0d85727c2e04c8725dd280d875351c301bd3bef5011
current_a7al2k_generated,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7al2k_derived_generator_smoke\a7al2k_generated_candidates.csv,True,3495979,2026-05-28T01:45:32Z,,8000,f1e415dbb9c623fa857306d81a73355fad82efcc7b281183405464490b505a82
current_a7al2k_selected,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7al2k_derived_generator_smoke\a7al2k_selected_candidates.csv,True,321298,2026-05-28T01:45:32Z,,768,7210226262b524dd8d277944c9c425fca625520b49bf50bf4ce80fbf9c6e16bc
current_a7al2l_manifest,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7al2l_fast_derived_replay_preflight\a7al2l_fast_manifest.json,True,1177,2026-05-28T07:12:23Z,2026-05-28T07:12:23Z,,0cca7c400b030b840022cf999daeacb6e3993b7c479d2a364080be23c56887d3
current_a7al2l_decisions,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7al2l_fast_derived_replay_preflight\a7al2l_fast_candidate_decisions.csv,True,1038,2026-05-28T07:12:23Z,,2,38a5def8742e8c918716448a049bdfb83dcfc552eb52626577dbcb1380081fa5
p0_alias_audit,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7al2p0_pre_search_hardening_audit\a7al2p0_canonical_field_alias_code_audit.csv,True,1350,2026-05-27T17:38:38Z,,18,7cc5c97b3a882062282abc1dbb7136c4e2e318b17907f9234b2f5a0617b0d98d
p0_stale_alias,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7al2p0_pre_search_hardening_audit\a7al2p0_stale_artifact_alias_violations.csv,True,31646,2026-05-27T17:41:45Z,,164,cd8b8e7a7c9a9f8a42a417903aa04b1a5087fb40b4628c09e117264811290173
p0r_manifest,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7al2p0r_repair_rerun_decision\a7al2p0r_manifest.json,True,1247,2026-05-27T17:41:35Z,2026-05-27T17:41:35Z,,54d82f512185e093951a8528fc848fa637e836d7e6abe4a3096ad10aba16b8dc
p0r_stage_manifest_snapshot,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7al2p0r_repair_rerun_decision\a7al2p0r_stage_manifest_snapshot.json,True,6967,2026-05-27T17:41:35Z,,,6acd91e00629c060c4294f39513641e01655dde3b453828201d7002ecbe45f57
p0r_a7ar5_selector_snapshot,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7al2p0r_repair_rerun_decision\a7al2p0r_a7ar5_selector_score_components.csv,True,432,2026-05-27T17:41:35Z,,1,b967d6b48debd386b4bb40f205f0cdb17d413a07056af20989ad4e58015448bd
p1_manifest,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7al2p1_selector_feature_generation\a7al2p1_manifest.json,True,1116,2026-05-28T07:19:02Z,2026-05-28T07:19:02Z,,c49d8a941b5274921afdd98389f20885767394c90d0ab9e7fb6fe62f50b7b16d
p1_feature_matrix,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7al2p1_selector_feature_generation\a7al2p1_selector_feature_matrix.csv,True,2408,2026-05-28T07:19:02Z,,2,f9be8c2622d927c5064424fe899ac6e49e5d2483e529e620ebc4a2dbfa186f7d
p1_control_by_split,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7al2p1_selector_feature_generation\a7al2p1_control_dominance_by_split.csv,True,806,2026-05-28T07:19:02Z,,6,505787826f8136d1ca529ce53f30121517d3c6b0c85165dec232fef23e19f27e
p1_timevarying_latent,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7al2p1_selector_feature_generation\a7al2p1_timevarying_latent_metrics.csv,True,1540,2026-05-28T07:19:02Z,,10,ef3373fc59304288daf5b9355d054c4dc2e60347b8cad4a601da76cc1e954298
p1r_manifest,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7al2p1r_selector_reweighted_retry\a7al2p1r_manifest.json,True,877,2026-05-28T07:23:21Z,2026-05-28T07:23:21Z,,7732ed19780a32bd3ef3157726cb420ecbe4d609739668f318f78b3ccb404c0f
p1r_decision,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7al2p1r_selector_reweighted_retry\a7al2p1r_decision_record.csv,True,1077,2026-05-28T07:23:21Z,,2,6a3667beee31b856f0fc600d8f3d2603354cebbf84b3872a6300fdef92c02e72
p1r_variant_split_summary,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7al2p1r_selector_reweighted_retry\a7al2p1r_variant_split_summary.csv,True,23048,2026-05-28T07:23:21Z,,100,de7b9faeaf515abfd6753f7c56a12bc98369cad7f687edcea337bc5412d501c3
