blueprint_id,expression,a7input_queue,semantic_pair,motif,skeleton_key,production_key,input_fields,input_tags,input_clusters,input_semantic_types,clue_row_count,label_family_count,label_families,horizons,decisions,selected_overlap,best_label_family,best_label_horizon_h,best_decision,best_control_ratio,best_cost5_recent_oriented,best_robust_median_tstat_floor,best_lag_ok,best_robust_ok,score
a7ff24r_858ff2210f276fcf,"Delta(mark_index_basis_bps,12)",ordinary_alpha,basis_premium_like,single,skel_1d39996e97d5ace0,prod_b35e184f3abd0abb,mark_index_basis_bps,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,7,4,L0_raw_forward_return|L1_cross_sectional_relative_return|L3_liquidity_tier_relative_return|L5_vol_adjusted_return,1|4|8,A7FFCORE54ES00_NUMERIC_CLUE,True,L5_vol_adjusted_return,8,A7FFCORE54ES00_NUMERIC_CLUE,0.6196426762880531,0.3892478213379182,0.6269007657003582,True,True,46.982156902312
a7ff24r_650915032f2a5979,"Mul(Delta(mark_index_basis_bps,12),Sign(realized_vol_24h))",ordinary_alpha,basis_premium_like|volatility_like,gated_sign,skel_136259b72205469f,prod_98aebf3941164f2e,mark_index_basis_bps|realized_vol_24h,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013|ic_016,basis_premium_like|volatility_like,9,4,L0_raw_forward_return|L1_cross_sectional_relative_return|L3_liquidity_tier_relative_return|L5_vol_adjusted_return,1|4|8,A7FFCORE54ES02_NUMERIC_CLUE,True,L5_vol_adjusted_return,8,A7FFCORE54ES02_NUMERIC_CLUE,0.6924114785789209,0.3892478213379182,0.6269007657003582,True,True,46.25446887940332
a7ff24r_1e19db32c95dfcc4,"Mean(Mul(global_long_short_account_ratio_last,Delta(mark_trade_basis_bps,1)),4)",interaction_alpha,basis_premium_like|positioning_like,smooth_mul,skel_644ba0ee0d0e38ee,prod_964a800b02e24075,global_long_short_account_ratio_last|mark_trade_basis_bps,A7INPUT_APPROVED_REDUNDANT_CAP|A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_003|ic_014,basis_premium_like|positioning_like,4,4,L0_raw_forward_return|L1_cross_sectional_relative_return|L3_liquidity_tier_relative_return|L5_vol_adjusted_return,8,A7FFCORE54ES08_NUMERIC_CLUE,True,L5_vol_adjusted_return,8,A7FFCORE54ES08_NUMERIC_CLUE,0.4551675040831202,0.2730660444894541,1.487795936737922,True,True,38.73052128159005
a7ff24r_010c17f20813e83d,"Sub(mark_index_basis_bps,Mean(premium_close_bps,8))",ordinary_alpha,basis_premium_like|basis_premium_like,sub,skel_f8484b844efd270f,prod_6368f96f9b9f0fd3,mark_index_basis_bps|premium_close_bps,A7INPUT_APPROVED_REDUNDANT_CAP|A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_005|ic_013,basis_premium_like,5,4,L0_raw_forward_return|L1_cross_sectional_relative_return|L3_liquidity_tier_relative_return|L5_vol_adjusted_return,1|4,A7FFCORE54ES00_NUMERIC_CLUE,True,L5_vol_adjusted_return,1,A7FFCORE54ES00_NUMERIC_CLUE,0.1819998840847428,0.1408819166870933,6.636346824166728,True,True,38.54088647619536
a7ff24r_503edc81504e964a,"Sub(Delta(mark_index_basis_bps,2),trade_return_1h)",ordinary_alpha,basis_premium_like|price_like,sub,skel_0994b3a36a4d53ba,prod_f668a3e4d50a2b87,mark_index_basis_bps|trade_return_1h,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013|ic_021,basis_premium_like|price_like,10,4,L0_raw_forward_return|L1_cross_sectional_relative_return|L3_liquidity_tier_relative_return|L5_vol_adjusted_return,1|4|8|24,A7FFCORE54ES02_NUMERIC_CLUE,True,L5_vol_adjusted_return,24,A7FFCORE54ES02_NUMERIC_CLUE,0.6756181913023336,0.2841602014512321,0.357614712911154,True,True,35.37506765792219
a7ff24r_892545e2049b6eba,"SafeDiv(mark_index_basis_bps,Abs(Delta(trade_return_1h,12)))",interaction_alpha,basis_premium_like|price_like,safe_div_abs,skel_a2f58ee62d9e7ad2,prod_233d14bbceb38e69,mark_index_basis_bps|trade_return_1h,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013|ic_021,basis_premium_like|price_like,5,4,L0_raw_forward_return|L1_cross_sectional_relative_return|L3_liquidity_tier_relative_return|L5_vol_adjusted_return,1|4,A7FFCORE54ES07_NUMERIC_CLUE,True,L5_vol_adjusted_return,1,A7FFCORE54ES07_NUMERIC_CLUE,0.429149789703857,0.1063040915362066,6.489223521648415,True,True,32.31735829987892
a7ff24r_12f75c2e2796dd6e,"Mul(mark_trade_basis_bps,open_interest_value_last)",ordinary_alpha,basis_premium_like|positioning_like,mul,skel_337820bc5afcf6cc,prod_851f0f768f3c00ff,mark_trade_basis_bps,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_014,basis_premium_like,2,1,L5_vol_adjusted_return,4|8,A7FFCORE54ES06_NUMERIC_CLUE,True,L5_vol_adjusted_return,8,A7FFCORE54ES06_NUMERIC_CLUE,0.3276627900384662,0.1958549631404024,1.3587187924129862,True,True,32.026305998481554
a7ff24r_146a079f1808397b,"SafeDiv(mark_trade_basis_bps,Abs(open_interest_last))",ordinary_alpha,basis_premium_like|positioning_like,safe_div_abs,skel_d9d4f69744bac825,prod_058e03a2fb7f25cc,mark_trade_basis_bps|open_interest_last,A7INPUT_APPROVED_REDUNDANT_CAP|A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_004|ic_014,basis_premium_like|positioning_like,7,4,L0_raw_forward_return|L1_cross_sectional_relative_return|L3_liquidity_tier_relative_return|L5_vol_adjusted_return,1|8,A7FFCORE54ES06_NUMERIC_CLUE,True,L5_vol_adjusted_return,8,A7FFCORE54ES06_NUMERIC_CLUE,0.5504235574145697,0.2171684437038434,1.192415676827824,True,True,31.59744014989429
a7ff24r_5ee045650ebd8b30,"SafeDiv(mark_index_basis_bps,Abs(Mean(trade_return_1h,2)))",ordinary_alpha,basis_premium_like|price_like,safe_div_abs,skel_a2f58ee62d9e7ad2,prod_14431f2cac7231a5,mark_index_basis_bps|trade_return_1h,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013|ic_021,basis_premium_like|price_like,2,1,L5_vol_adjusted_return,1|4,A7FFCORE54ES02_NUMERIC_CLUE,True,L5_vol_adjusted_return,1,A7FFCORE54ES02_NUMERIC_CLUE,0.2385953487614387,0.0847492033933762,5.444561751716087,True,True,29.97809035515541
a7ff24r_0e8cf4f2d2d653c7,"Sub(CSRank(mark_trade_basis_bps),CSRank(open_interest_mean))",ordinary_alpha,basis_premium_like|positioning_like,spread_rank,skel_293cae94cfd91548,prod_ea39c4066eb4790a,mark_trade_basis_bps|open_interest_mean,A7INPUT_APPROVED_REDUNDANT_CAP|A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_004|ic_014,basis_premium_like|positioning_like,1,1,L5_vol_adjusted_return,4,A7FFCORE54ES05_NUMERIC_CLUE,True,L5_vol_adjusted_return,4,A7FFCORE54ES05_NUMERIC_CLUE,0.3398569463617535,0.1749431761782703,1.4248025144627017,True,True,29.9453531831349
