left_candidate_id,right_candidate_id,left_rank,right_rank,left_expression,right_expression,left_semantic_pair,right_semantic_pair,left_horizon_h,right_horizon_h,field_jaccard,operator_jaccard,same_expression,same_parameterless_signature,overlap_decision,overlap_reason
a7shadow2_c001,a7shadow2_c002,1,2,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))","Mul(CSRank(Mean(open_interest_mean,8)),Sign(Mean(premium_close_bps,48)))",open_interest|funding_state,open_interest|premium,8,24,0.000000,0.285714,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c001,a7shadow2_c003,1,3,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))","TSRank(open_interest_mean,504)",open_interest|funding_state,open_interest,8,24,0.000000,0.200000,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c001,a7shadow2_c004,1,4,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))","CSRank(TSRank(open_interest_mean,504))",open_interest|funding_state,open_interest,8,24,0.000000,0.400000,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c001,a7shadow2_c005,1,5,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))","Mul(CSRank(Mean(open_interest_mean,12)),Sign(Mean(premium_close_bps,48)))",open_interest|funding_state,open_interest|premium,8,24,0.000000,0.285714,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c001,a7shadow2_c006,1,6,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))","Mul(open_interest_last,Mean(premium_close_bps,504))",open_interest|funding_state,open_interest|premium,8,24,0.000000,0.166667,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c001,a7shadow2_c007,1,7,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))","SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))",open_interest|funding_state,funding_dense|open_interest,8,4,1.000000,1.000000,True,True,DUPLICATE_EXACT_EXPRESSION,same_expression
a7shadow2_c001,a7shadow2_c008,1,8,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))","Mul(CSRank(open_interest_mean),Decay(premium_close_bps,168))",open_interest|funding_state,open_interest|premium,8,8,0.000000,0.142857,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c001,a7shadow2_c009,1,9,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))","Mul(Decay(premium_abs_state,336),Abs(ZScore(Mean(mark_trade_basis_bps,168))))",open_interest|funding_state,basis|premium,8,24,0.000000,0.250000,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c002,a7shadow2_c003,2,3,"Mul(CSRank(Mean(open_interest_mean,8)),Sign(Mean(premium_close_bps,48)))","TSRank(open_interest_mean,504)",open_interest|premium,open_interest,24,24,0.500000,0.000000,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c002,a7shadow2_c004,2,4,"Mul(CSRank(Mean(open_interest_mean,8)),Sign(Mean(premium_close_bps,48)))","CSRank(TSRank(open_interest_mean,504))",open_interest|premium,open_interest,24,24,0.500000,0.200000,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
