candidate_id,cluster_id,cluster_rank,dedup_decision,dedup_reason,shadow_rank,evidence_tier,source_count,semantic_pair,motif,horizon_h,expression,field_tokens,operator_tokens,train_sortino,validation_sortino,test_sortino,recent_sortino,min_oos_floor_sortino,stress_floor_sortino,recent_control_ratio,recent_shuffle_control_ratio,source_lag_status
a7shadow2_c001,a7shadow2_cluster_01,2,HOLD_OVERLAP_VARIANT,overlaps_cluster_leader:a7shadow2_c007,1,TIER1_REPEATED_STRICT_EVIDENCE,5,open_interest|funding_state,a7source5_source_lag_survivor,8,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))",funding_rate_delta_state_24h|open_interest_value_last,csrank|mean|safediv|tsrank|zscore,2.4473052293036317,3.249800166301023,0.9630842884017243,7.559932085877106,0.2598951543447928,1.2732180686016796,0.9857890134707453,0.5864081316232166,PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC
a7shadow2_c002,a7shadow2_cluster_02,1,KEEP_FOR_NEXT_REVIEW,best_cluster_score,2,TIER1_SOURCE_LAG_STRICT,2,open_interest|premium,adjacent_signed_rank_validation,24,"Mul(CSRank(Mean(open_interest_mean,8)),Sign(Mean(premium_close_bps,48)))",open_interest_mean|premium_close_bps,csrank|mean|mul|sign,2.702454234750805,7.716974209683252,2.9251446047230125,5.964498019940686,1.9038409869878905,3.8769944978553337,1.016206796785675,0.4279005821548342,PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC
a7shadow2_c003,a7shadow2_cluster_03,1,KEEP_FOR_NEXT_REVIEW,best_cluster_score,3,TIER1_SOURCE_LAG_STRICT,2,open_interest,a7source5_source_lag_survivor,24,"TSRank(open_interest_mean,504)",open_interest_mean,tsrank,3.4985599741227675,2.551076502062724,3.891615500928222,4.392425060799842,1.781994350944033,0.13792916060062388,0.9797937505527723,0.1935362889521835,PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC
a7shadow2_c004,a7shadow2_cluster_03,2,HOLD_OVERLAP_VARIANT,overlaps_cluster_leader:a7shadow2_c003,4,TIER1_SOURCE_LAG_STRICT,2,open_interest,a7source5_source_lag_survivor,24,"CSRank(TSRank(open_interest_mean,504))",open_interest_mean,csrank|tsrank,3.4985599741227675,2.551076502062724,3.891615500928222,4.392425060799842,1.781994350944033,0.13792916060062388,0.9797937505527723,0.4429963629183748,PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC
a7shadow2_c005,a7shadow2_cluster_02,2,HOLD_OVERLAP_VARIANT,overlaps_cluster_leader:a7shadow2_c002,5,TIER1_SOURCE_LAG_STRICT,2,open_interest|premium,adjacent_signed_rank_validation,24,"Mul(CSRank(Mean(open_interest_mean,12)),Sign(Mean(premium_close_bps,48)))",open_interest_mean|premium_close_bps,csrank|mean|mul|sign,2.686465423009736,7.659977926659238,3.1015925816130734,5.808610213843688,1.7382108706045547,3.874363020584573,1.013939491167646,0.1883981614580211,PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC
a7shadow2_c006,a7shadow2_cluster_04,1,KEEP_FOR_NEXT_REVIEW,best_cluster_score,6,TIER1_SOURCE_LAG_STRICT,2,open_interest|premium,adjacent_mul_validation,24,"Mul(open_interest_last,Mean(premium_close_bps,504))",open_interest_last|premium_close_bps,mean|mul,0.7344125210610865,6.946148085453986,2.5037565195685585,2.4416335512125498,1.3646549978752314,6.105075206711021,0.9765418403911926,0.8456876757540451,PASS_SOURCE_LAG_DIAGNOSTIC
a7shadow2_c007,a7shadow2_cluster_01,1,KEEP_FOR_NEXT_REVIEW,best_cluster_score,7,TIER1_SOURCE_LAG_STRICT,2,funding_dense|open_interest,adjacent_safe_div_csrank_validation,4,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))",funding_rate_delta_state_24h|open_interest_value_last,csrank|mean|safediv|tsrank|zscore,2.1779643196323804,10.163919317822558,10.216245843420882,13.542655057984913,8.633900693694594,2.390686280165006,0.9902763327053048,0.7686056032219472,PASS_SOURCE_LAG_DIAGNOSTIC
a7shadow2_c008,a7shadow2_cluster_02,3,HOLD_OVERLAP_VARIANT,overlaps_cluster_leader:a7shadow2_c002,8,TIER1_SOURCE_LAG_STRICT,1,open_interest|premium,adjacent_mul,8,"Mul(CSRank(open_interest_mean),Decay(premium_close_bps,168))",open_interest_mean|premium_close_bps,csrank|decay|mul,1.6738290056815706,3.26076368248325,1.5093742087075606,8.624545933433998,0.0306556339170487,5.9974362789799525,1.0208496724751597,0.2746614255550159,PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC
a7shadow2_c009,a7shadow2_cluster_05,1,KEEP_FOR_NEXT_REVIEW,best_cluster_score,9,TIER2_STRICT_CONTROLLED_FIELD,1,basis|premium,smooth_mul,24,"Mul(Decay(premium_abs_state,336),Abs(ZScore(Mean(mark_trade_basis_bps,168))))",mark_trade_basis_bps|premium_abs_state,abs|decay|mean|mul|zscore,1.200553313309487,6.330483749690659,5.510858270897706,1.8147482368255796,0.8522200631450245,6.497715977476842,0.9814668328005476,0.3563163175560782,NOT_REQUIRED_OR_CONTROLLED_FIELD
