symbol,month,rows,agg_available_rows,agg_coverage
ADAUSDT,2024-01,744,744,1.0
ADAUSDT,2024-02,686,686,1.0
ADAUSDT,2024-03,744,744,1.0
ADAUSDT,2024-04,720,720,1.0
ADAUSDT,2024-05,744,744,1.0
ADAUSDT,2024-06,720,720,1.0
ADAUSDT,2024-07,744,744,1.0
ADAUSDT,2024-08,744,744,1.0
ADAUSDT,2024-09,720,720,1.0
ADAUSDT,2024-10,744,744,1.0
ADAUSDT,2024-11,720,720,1.0
ADAUSDT,2024-12,744,744,1.0
ADAUSDT,2025-01,744,744,1.0
ADAUSDT,2025-02,672,672,1.0
ADAUSDT,2025-03,744,744,1.0
ADAUSDT,2025-04,720,720,1.0
ADAUSDT,2025-05,744,744,1.0
ADAUSDT,2025-06,720,720,1.0
ADAUSDT,2025-07,744,744,1.0
ADAUSDT,2025-08,744,744,1.0
ADAUSDT,2025-09,720,720,1.0
ADAUSDT,2025-10,744,744,1.0
ADAUSDT,2025-11,720,720,1.0
ADAUSDT,2025-12,744,744,1.0
ADAUSDT,2026-01,744,744,1.0
ADAUSDT,2026-02,672,672,1.0
ADAUSDT,2026-03,744,744,1.0
ADAUSDT,2026-04,720,720,1.0
ADAUSDT,2026-05,505,0,0.0
AVAXUSDT,2024-01,744,744,1.0
AVAXUSDT,2024-02,686,686,1.0
AVAXUSDT,2024-03,744,744,1.0
AVAXUSDT,2024-04,720,720,1.0
AVAXUSDT,2024-05,744,744,1.0
AVAXUSDT,2024-06,720,720,1.0
AVAXUSDT,2024-07,744,744,1.0
AVAXUSDT,2024-08,744,744,1.0
AVAXUSDT,2024-09,720,720,1.0
AVAXUSDT,2024-10,744,744,1.0
AVAXUSDT,2024-11,720,720,1.0
AVAXUSDT,2024-12,744,744,1.0
AVAXUSDT,2025-01,744,744,1.0
AVAXUSDT,2025-02,672,672,1.0
AVAXUSDT,2025-03,744,744,1.0
AVAXUSDT,2025-04,720,720,1.0
AVAXUSDT,2025-05,744,744,1.0
AVAXUSDT,2025-06,720,720,1.0
AVAXUSDT,2025-07,744,744,1.0
AVAXUSDT,2025-08,744,744,1.0
AVAXUSDT,2025-09,720,720,1.0
AVAXUSDT,2025-10,744,744,1.0
AVAXUSDT,2025-11,720,720,1.0
AVAXUSDT,2025-12,744,744,1.0
AVAXUSDT,2026-01,744,744,1.0
AVAXUSDT,2026-02,672,672,1.0
AVAXUSDT,2026-03,744,744,1.0
AVAXUSDT,2026-04,720,720,1.0
AVAXUSDT,2026-05,505,0,0.0
BCHUSDT,2024-01,744,744,1.0
BCHUSDT,2024-02,686,686,1.0
BCHUSDT,2024-03,744,744,1.0
BCHUSDT,2024-04,720,720,1.0
BCHUSDT,2024-05,744,744,1.0
BCHUSDT,2024-06,720,720,1.0
BCHUSDT,2024-07,744,744,1.0
BCHUSDT,2024-08,744,744,1.0
BCHUSDT,2024-09,720,720,1.0
BCHUSDT,2024-10,744,744,1.0
BCHUSDT,2024-11,720,720,1.0
BCHUSDT,2024-12,744,744,1.0
BCHUSDT,2025-01,744,744,1.0
BCHUSDT,2025-02,672,672,1.0
BCHUSDT,2025-03,744,744,1.0
BCHUSDT,2025-04,720,720,1.0
BCHUSDT,2025-05,744,744,1.0
BCHUSDT,2025-06,720,720,1.0
BCHUSDT,2025-07,744,744,1.0
BCHUSDT,2025-08,744,744,1.0
BCHUSDT,2025-09,720,720,1.0
BCHUSDT,2025-10,744,744,1.0
BCHUSDT,2025-11,720,720,1.0
BCHUSDT,2025-12,744,744,1.0
BCHUSDT,2026-01,744,744,1.0
BCHUSDT,2026-02,672,672,1.0
BCHUSDT,2026-03,744,744,1.0
BCHUSDT,2026-04,720,720,1.0
BCHUSDT,2026-05,505,0,0.0
BNBUSDT,2024-01,744,744,1.0
BNBUSDT,2024-02,686,686,1.0
BNBUSDT,2024-03,744,744,1.0
BNBUSDT,2024-04,720,720,1.0
BNBUSDT,2024-05,744,744,1.0
BNBUSDT,2024-06,720,720,1.0
BNBUSDT,2024-07,744,744,1.0
BNBUSDT,2024-08,744,744,1.0
BNBUSDT,2024-09,720,720,1.0
BNBUSDT,2024-10,744,744,1.0
BNBUSDT,2024-11,720,720,1.0
BNBUSDT,2024-12,744,744,1.0
BNBUSDT,2025-01,744,744,1.0
BNBUSDT,2025-02,672,672,1.0
BNBUSDT,2025-03,744,744,1.0
BNBUSDT,2025-04,720,720,1.0
BNBUSDT,2025-05,744,744,1.0
BNBUSDT,2025-06,720,720,1.0
BNBUSDT,2025-07,744,744,1.0
BNBUSDT,2025-08,744,744,1.0
BNBUSDT,2025-09,720,720,1.0
BNBUSDT,2025-10,744,744,1.0
BNBUSDT,2025-11,720,720,1.0
BNBUSDT,2025-12,744,744,1.0
BNBUSDT,2026-01,744,744,1.0
BNBUSDT,2026-02,672,672,1.0
BNBUSDT,2026-03,744,744,1.0
BNBUSDT,2026-04,720,720,1.0
BNBUSDT,2026-05,505,0,0.0
BTCUSDT,2024-01,744,744,1.0
BTCUSDT,2024-02,686,686,1.0
BTCUSDT,2024-03,744,744,1.0
BTCUSDT,2024-04,720,720,1.0
BTCUSDT,2024-05,744,744,1.0
BTCUSDT,2024-06,720,720,1.0
BTCUSDT,2024-07,744,744,1.0
BTCUSDT,2024-08,744,744,1.0
BTCUSDT,2024-09,720,720,1.0
BTCUSDT,2024-10,744,744,1.0
BTCUSDT,2024-11,720,720,1.0
BTCUSDT,2024-12,744,744,1.0
BTCUSDT,2025-01,744,744,1.0
BTCUSDT,2025-02,672,672,1.0
BTCUSDT,2025-03,744,744,1.0
BTCUSDT,2025-04,720,720,1.0
BTCUSDT,2025-05,744,744,1.0
BTCUSDT,2025-06,720,720,1.0
BTCUSDT,2025-07,744,744,1.0
BTCUSDT,2025-08,744,744,1.0
BTCUSDT,2025-09,720,720,1.0
BTCUSDT,2025-10,744,744,1.0
BTCUSDT,2025-11,720,720,1.0
BTCUSDT,2025-12,744,744,1.0
BTCUSDT,2026-01,744,744,1.0
BTCUSDT,2026-02,672,672,1.0
BTCUSDT,2026-03,744,744,1.0
BTCUSDT,2026-04,720,720,1.0
BTCUSDT,2026-05,505,480,0.9504950495049505
DOGEUSDT,2024-01,744,744,1.0
DOGEUSDT,2024-02,686,686,1.0
DOGEUSDT,2024-03,744,744,1.0
DOGEUSDT,2024-04,720,720,1.0
DOGEUSDT,2024-05,744,744,1.0
DOGEUSDT,2024-06,720,720,1.0
DOGEUSDT,2024-07,744,744,1.0
DOGEUSDT,2024-08,744,744,1.0
DOGEUSDT,2024-09,720,720,1.0
DOGEUSDT,2024-10,744,744,1.0
DOGEUSDT,2024-11,720,720,1.0
DOGEUSDT,2024-12,744,744,1.0
DOGEUSDT,2025-01,744,744,1.0
DOGEUSDT,2025-02,672,672,1.0
DOGEUSDT,2025-03,744,744,1.0
DOGEUSDT,2025-04,720,720,1.0
DOGEUSDT,2025-05,744,744,1.0
DOGEUSDT,2025-06,720,720,1.0
DOGEUSDT,2025-07,744,744,1.0
DOGEUSDT,2025-08,744,744,1.0
DOGEUSDT,2025-09,720,720,1.0
DOGEUSDT,2025-10,744,744,1.0
DOGEUSDT,2025-11,720,720,1.0
DOGEUSDT,2025-12,744,744,1.0
DOGEUSDT,2026-01,744,744,1.0
DOGEUSDT,2026-02,672,672,1.0
DOGEUSDT,2026-03,744,744,1.0
DOGEUSDT,2026-04,720,720,1.0
DOGEUSDT,2026-05,505,0,0.0
ETHUSDT,2024-01,744,744,1.0
ETHUSDT,2024-02,686,686,1.0
ETHUSDT,2024-03,744,744,1.0
ETHUSDT,2024-04,720,720,1.0
ETHUSDT,2024-05,744,744,1.0
ETHUSDT,2024-06,720,720,1.0
ETHUSDT,2024-07,744,744,1.0
ETHUSDT,2024-08,744,744,1.0
ETHUSDT,2024-09,720,720,1.0
ETHUSDT,2024-10,744,744,1.0
ETHUSDT,2024-11,720,720,1.0
ETHUSDT,2024-12,744,744,1.0
ETHUSDT,2025-01,744,744,1.0
ETHUSDT,2025-02,672,672,1.0
ETHUSDT,2025-03,744,744,1.0
ETHUSDT,2025-04,720,720,1.0
ETHUSDT,2025-05,744,744,1.0
ETHUSDT,2025-06,720,720,1.0
ETHUSDT,2025-07,744,744,1.0
ETHUSDT,2025-08,744,744,1.0
ETHUSDT,2025-09,720,720,1.0
ETHUSDT,2025-10,744,744,1.0
ETHUSDT,2025-11,720,720,1.0
ETHUSDT,2025-12,744,744,1.0
ETHUSDT,2026-01,744,744,1.0
ETHUSDT,2026-02,672,672,1.0
ETHUSDT,2026-03,744,744,1.0
ETHUSDT,2026-04,720,720,1.0
ETHUSDT,2026-05,505,480,0.9504950495049505
LINKUSDT,2024-01,744,744,1.0
LINKUSDT,2024-02,686,686,1.0
LINKUSDT,2024-03,744,744,1.0
LINKUSDT,2024-04,720,720,1.0
LINKUSDT,2024-05,744,744,1.0
LINKUSDT,2024-06,720,720,1.0
LINKUSDT,2024-07,744,744,1.0
LINKUSDT,2024-08,744,744,1.0
LINKUSDT,2024-09,720,720,1.0
LINKUSDT,2024-10,744,744,1.0
LINKUSDT,2024-11,720,720,1.0
LINKUSDT,2024-12,744,744,1.0
LINKUSDT,2025-01,744,744,1.0
LINKUSDT,2025-02,672,672,1.0
LINKUSDT,2025-03,744,744,1.0
LINKUSDT,2025-04,720,720,1.0
LINKUSDT,2025-05,744,744,1.0
LINKUSDT,2025-06,720,720,1.0
LINKUSDT,2025-07,744,744,1.0
LINKUSDT,2025-08,744,744,1.0
LINKUSDT,2025-09,720,720,1.0
LINKUSDT,2025-10,744,744,1.0
LINKUSDT,2025-11,720,720,1.0
LINKUSDT,2025-12,744,744,1.0
LINKUSDT,2026-01,744,744,1.0
LINKUSDT,2026-02,672,672,1.0
LINKUSDT,2026-03,744,744,1.0
LINKUSDT,2026-04,720,720,1.0
LINKUSDT,2026-05,505,0,0.0
LTCUSDT,2024-01,744,744,1.0
LTCUSDT,2024-02,686,686,1.0
LTCUSDT,2024-03,744,744,1.0
LTCUSDT,2024-04,720,720,1.0
LTCUSDT,2024-05,744,744,1.0
LTCUSDT,2024-06,720,720,1.0
LTCUSDT,2024-07,744,744,1.0
LTCUSDT,2024-08,744,744,1.0
LTCUSDT,2024-09,720,720,1.0
LTCUSDT,2024-10,744,744,1.0
LTCUSDT,2024-11,720,720,1.0
LTCUSDT,2024-12,744,744,1.0
LTCUSDT,2025-01,744,744,1.0
LTCUSDT,2025-02,672,672,1.0
LTCUSDT,2025-03,744,744,1.0
LTCUSDT,2025-04,720,720,1.0
LTCUSDT,2025-05,744,744,1.0
LTCUSDT,2025-06,720,720,1.0
LTCUSDT,2025-07,744,744,1.0
LTCUSDT,2025-08,744,744,1.0
LTCUSDT,2025-09,720,720,1.0
LTCUSDT,2025-10,744,744,1.0
LTCUSDT,2025-11,720,720,1.0
LTCUSDT,2025-12,744,744,1.0
LTCUSDT,2026-01,744,744,1.0
LTCUSDT,2026-02,672,672,1.0
LTCUSDT,2026-03,744,744,1.0
LTCUSDT,2026-04,720,720,1.0
LTCUSDT,2026-05,505,0,0.0
SOLUSDT,2024-01,744,744,1.0
SOLUSDT,2024-02,686,686,1.0
SOLUSDT,2024-03,744,744,1.0
SOLUSDT,2024-04,720,720,1.0
SOLUSDT,2024-05,744,744,1.0
SOLUSDT,2024-06,720,720,1.0
SOLUSDT,2024-07,744,744,1.0
SOLUSDT,2024-08,744,744,1.0
SOLUSDT,2024-09,720,720,1.0
SOLUSDT,2024-10,744,744,1.0
SOLUSDT,2024-11,720,720,1.0
SOLUSDT,2024-12,744,744,1.0
SOLUSDT,2025-01,744,744,1.0
SOLUSDT,2025-02,672,672,1.0
SOLUSDT,2025-03,744,744,1.0
SOLUSDT,2025-04,720,720,1.0
SOLUSDT,2025-05,744,744,1.0
SOLUSDT,2025-06,720,720,1.0
SOLUSDT,2025-07,744,744,1.0
SOLUSDT,2025-08,744,744,1.0
SOLUSDT,2025-09,720,720,1.0
SOLUSDT,2025-10,744,744,1.0
SOLUSDT,2025-11,720,720,1.0
SOLUSDT,2025-12,744,744,1.0
SOLUSDT,2026-01,744,744,1.0
SOLUSDT,2026-02,672,672,1.0
SOLUSDT,2026-03,744,744,1.0
SOLUSDT,2026-04,720,720,1.0
SOLUSDT,2026-05,505,480,0.9504950495049505
SUIUSDT,2024-01,744,744,1.0
SUIUSDT,2024-02,686,686,1.0
SUIUSDT,2024-03,744,744,1.0
SUIUSDT,2024-04,720,720,1.0
SUIUSDT,2024-05,744,744,1.0
SUIUSDT,2024-06,720,720,1.0
SUIUSDT,2024-07,744,744,1.0
SUIUSDT,2024-08,744,744,1.0
SUIUSDT,2024-09,720,720,1.0
SUIUSDT,2024-10,744,744,1.0
SUIUSDT,2024-11,720,720,1.0
SUIUSDT,2024-12,744,744,1.0
SUIUSDT,2025-01,744,744,1.0
SUIUSDT,2025-02,672,672,1.0
SUIUSDT,2025-03,744,744,1.0
SUIUSDT,2025-04,720,720,1.0
SUIUSDT,2025-05,744,744,1.0
SUIUSDT,2025-06,720,720,1.0
SUIUSDT,2025-07,744,744,1.0
SUIUSDT,2025-08,744,744,1.0
SUIUSDT,2025-09,720,720,1.0
SUIUSDT,2025-10,744,744,1.0
SUIUSDT,2025-11,720,720,1.0
SUIUSDT,2025-12,744,744,1.0
SUIUSDT,2026-01,744,744,1.0
SUIUSDT,2026-02,672,672,1.0
SUIUSDT,2026-03,744,744,1.0
SUIUSDT,2026-04,720,720,1.0
SUIUSDT,2026-05,505,0,0.0
XRPUSDT,2024-01,744,744,1.0
XRPUSDT,2024-02,686,686,1.0
XRPUSDT,2024-03,744,744,1.0
XRPUSDT,2024-04,720,720,1.0
XRPUSDT,2024-05,744,744,1.0
XRPUSDT,2024-06,720,720,1.0
XRPUSDT,2024-07,744,744,1.0
XRPUSDT,2024-08,744,744,1.0
XRPUSDT,2024-09,720,720,1.0
XRPUSDT,2024-10,744,744,1.0
XRPUSDT,2024-11,720,720,1.0
XRPUSDT,2024-12,744,744,1.0
XRPUSDT,2025-01,744,744,1.0
XRPUSDT,2025-02,672,672,1.0
XRPUSDT,2025-03,744,744,1.0
XRPUSDT,2025-04,720,720,1.0
XRPUSDT,2025-05,744,744,1.0
XRPUSDT,2025-06,720,720,1.0
XRPUSDT,2025-07,744,744,1.0
XRPUSDT,2025-08,744,744,1.0
XRPUSDT,2025-09,720,720,1.0
XRPUSDT,2025-10,744,744,1.0
XRPUSDT,2025-11,720,720,1.0
XRPUSDT,2025-12,744,744,1.0
XRPUSDT,2026-01,744,744,1.0
XRPUSDT,2026-02,672,672,1.0
XRPUSDT,2026-03,744,744,1.0
XRPUSDT,2026-04,720,720,1.0
XRPUSDT,2026-05,505,0,0.0
