field_name,non_null_rate,nan_count,inf_count,negative_count,min,max
agg_buy_notional,0.30203795454378307,569410,0,0.0,222926.69401,7231264694.0701
agg_buy_sell_notional_ratio,0.30203795454378307,569410,0,,0.19354169379616323,5.69356838351845
agg_features_available,1.0,0,0,,0.0,1.0
agg_large_notional_100k_plus,0.30203795454378307,569410,0,0.0,0.0,7491359986.796531
agg_large_notional_ratio_100k_plus,0.30203795454378307,569410,0,0.0,0.0,0.938963275115067
agg_notional,0.30203795454378307,569410,0,0.0,490007.79838,14480886317.8337
agg_quantity,0.30203795454378307,569410,0,0.0,358.475,8990811654.0
agg_sell_notional,0.30203795454378307,569410,0,0.0,217591.81674,7713936346.1879
agg_signed_aggressor_notional,0.30203795454378307,569410,0,,-1088494689.81319,1179386032.7297
agg_trade_count,0.30203795454378307,569410,0,0.0,648.0,2462344.0
agg_underlying_trade_count,0.30203795454378307,569410,0,0.0,2077.0,4362437.0
agg_volume_imbalance,0.30203795454378307,569410,0,,-0.675685072750853,0.7012057119003081
