column,type,is_agg_field
symbol,string,False
timestamp,"timestamp[ns, tz=UTC]",False
open_interest,double,False
open_interest_value,double,False
global_long_short_account_ratio,double,False
top_long_short_account_ratio,double,False
top_long_short_position_ratio,double,False
taker_buy_sell_volume_ratio,double,False
open_interest_change_1h,double,False
open_interest_change_4h,double,False
open_interest_change_24h,double,False
open_interest_zscore_168h,double,False
open_interest_value_change_1h,double,False
open_interest_value_change_4h,double,False
open_interest_value_change_24h,double,False
open_interest_value_zscore_168h,double,False
global_long_short_account_ratio_change_1h,double,False
global_long_short_account_ratio_change_4h,double,False
global_long_short_account_ratio_change_24h,double,False
global_long_short_account_ratio_zscore_168h,double,False
top_long_short_account_ratio_change_1h,double,False
top_long_short_account_ratio_change_4h,double,False
top_long_short_account_ratio_change_24h,double,False
top_long_short_account_ratio_zscore_168h,double,False
top_long_short_position_ratio_change_1h,double,False
top_long_short_position_ratio_change_4h,double,False
top_long_short_position_ratio_change_24h,double,False
top_long_short_position_ratio_zscore_168h,double,False
taker_buy_sell_volume_ratio_change_1h,double,False
taker_buy_sell_volume_ratio_change_4h,double,False
taker_buy_sell_volume_ratio_change_24h,double,False
taker_buy_sell_volume_ratio_zscore_168h,double,False
source,string,False
pit_contract,string,False
historical_backfill_allowed,bool,False
ret_1,double,False
ret_24,double,False
taker_imbalance,double,False
open_interest_x_price_move_1h,double,False
open_interest_x_taker_imbalance,double,False
open_interest_zscore_24h,double,False
open_interest_zscore_72h,double,False
open_interest_value_zscore_24h,double,False
open_interest_value_zscore_72h,double,False
global_long_short_account_ratio_zscore_24h,double,False
global_long_short_account_ratio_zscore_72h,double,False
top_long_short_account_ratio_zscore_24h,double,False
top_long_short_account_ratio_zscore_72h,double,False
top_long_short_position_ratio_zscore_24h,double,False
top_long_short_position_ratio_zscore_72h,double,False
taker_buy_sell_volume_ratio_zscore_24h,double,False
taker_buy_sell_volume_ratio_zscore_72h,double,False
global_long_short_account_ratio_log,double,False
global_long_short_account_ratio_log_change_1h,double,False
global_long_short_account_ratio_log_change_4h,double,False
global_long_short_account_ratio_log_change_24h,double,False
global_long_short_account_ratio_log_zscore_168h,double,False
top_long_short_account_ratio_log,double,False
top_long_short_account_ratio_log_change_1h,double,False
top_long_short_account_ratio_log_change_4h,double,False
top_long_short_account_ratio_log_change_24h,double,False
top_long_short_account_ratio_log_zscore_168h,double,False
top_long_short_position_ratio_log,double,False
