metric,train_2024_obs,validation_2025H1_obs,test_2025H2_obs,recent_oos_2026JanApr_obs
min,0.0,0.0,0.0,0.0
median,8736.0,4344.0,4416.0,2880.0
max,8784.0,4344.0,4416.0,2880.0
positive_row_count,1368.0,1368.0,1368.0,1368.0
