candidate_id,variant,entry_label,split,n_dates,mean_oriented_spread,hourly_tstat_naive,positive_rate,avg_one_way_turnover,avg_top_count,avg_bottom_count,net_mean_spread_2bps,net_mean_spread_5bps,net_mean_spread_10bps
a7al2q_1378ff7d2322adee,timevarying_latent_state_neutral,label_t1_to_t25,train_2024,8703,4.7102316557079205e-05,0.2814665386492928,0.4917844421463863,0.14165709241849314,11.995288980811214,11.995288980811214,1.877089807338065e-05,-2.3726229652167396e-05,-9.45547758614141e-05
a7al2q_1378ff7d2322adee,timevarying_latent_state_neutral,label_t1_to_t25,validation_2025H1,4319,0.0010731051143962425,5.7228447536033915,0.54248668673304,0.16505840510239678,10.737670757119703,10.737670757119703,0.0010400934333757632,0.0009905759118450442,0.0009080467092938458
a7al2q_1378ff7d2322adee,timevarying_latent_state_neutral,label_t1_to_t25,test_2025H2,4391,0.001603174110020037,8.245211035548165,0.5376907310407651,0.13743397629471418,11.263948986563426,11.263948986563426,0.0015756873147610945,0.0015344571218726803,0.0014657401337253228
a7al2q_1378ff7d2322adee,timevarying_latent_state_neutral,label_t1_to_t25,recent_oos_2026JanApr,2855,0.0007839564676704181,2.1393021697931025,0.4991243432574431,0.14338906083214314,11.077758318739054,11.077758318739054,0.0007552786555039897,0.0007122619372543463,0.0006405674068382752
a7al2q_1378ff7d2322adee,timevarying_latent_state_neutral,label_t1_to_t25,known_may2026_stress,0,,,,,,,,,
a7al2q_f00f22bbcc48dc2c,timevarying_latent_state_neutral,label_t1_to_t25,train_2024,8736,0.00030931510354081254,1.8180911031109457,0.5001144688644689,0.14017824516319585,11.987293956043956,11.987293956043956,0.00028127945450817345,0.00023922598095921458,0.00016913685837761664
a7al2q_f00f22bbcc48dc2c,timevarying_latent_state_neutral,label_t1_to_t25,validation_2025H1,4319,0.0009129003275566953,4.931347524495379,0.5408659411900903,0.1641891706605761,10.73743922204214,10.73743922204214,0.0008800624934245801,0.0008308057422264072,0.0007487111568961194
a7al2q_f00f22bbcc48dc2c,timevarying_latent_state_neutral,label_t1_to_t25,test_2025H2,4391,0.0013690925625857557,7.1174484090137025,0.5315417900250512,0.13814268520770456,11.263948986563426,11.263948986563426,0.0013414640255442144,0.0013000212199819029,0.0012309498773780505
a7al2q_f00f22bbcc48dc2c,timevarying_latent_state_neutral,label_t1_to_t25,recent_oos_2026JanApr,2855,0.0010286955870621127,2.771638164470804,0.49877408056042033,0.14148018939612636,11.077758318739054,11.077758318739054,0.0010003995491828877,0.0009579554923640494,0.0008872153976659864
a7al2q_f00f22bbcc48dc2c,timevarying_latent_state_neutral,label_t1_to_t25,known_may2026_stress,0,,,,,,,,,
a7al2q_d6f7ebc0dbbdda7a,timevarying_latent_state_neutral,label_t1_to_t25,train_2024,8736,0.0003166482130663618,1.8545999805523636,0.5013736263736264,0.14083502096112188,11.986492673992673,11.986492673992673,0.0002884812088741372,0.0002462307025858008,0.00017581319210523976
a7al2q_d6f7ebc0dbbdda7a,timevarying_latent_state_neutral,label_t1_to_t25,validation_2025H1,4319,0.0008835556345950348,4.804684029380612,0.5441074322759898,0.1650233330251853,10.736744616809446,10.736744616809446,0.0008505509679899978,0.0008010439680824421,0.0007185323015698493
a7al2q_d6f7ebc0dbbdda7a,timevarying_latent_state_neutral,label_t1_to_t25,test_2025H2,4391,0.0013573018435985777,7.053612748758544,0.5306308358005011,0.1382888651620148,11.263948986563426,11.263948986563426,0.0013296440705661745,0.00128815741101757,0.0012190129784365625
a7al2q_d6f7ebc0dbbdda7a,timevarying_latent_state_neutral,label_t1_to_t25,recent_oos_2026JanApr,2855,0.0010843056992049557,2.901484141965021,0.49877408056042033,0.1415385072215195,11.077758318739054,11.077758318739054,0.001055997997760652,0.0010135364455941959,0.0009427671919834362
a7al2q_d6f7ebc0dbbdda7a,timevarying_latent_state_neutral,label_t1_to_t25,known_may2026_stress,0,,,,,,,,,
a7al2q_6671d1fac5e57efe,timevarying_latent_state_neutral,label_t1_to_t25,train_2024,8736,-0.00013206238380399624,-0.779487041461976,0.4784798534798535,0.13673741584188215,11.987751831501832,11.987751831501832,-0.00015940986697237267,-0.00020043109172493726,-0.0002687997996458784
a7al2q_6671d1fac5e57efe,timevarying_latent_state_neutral,label_t1_to_t25,validation_2025H1,4319,0.00013766247660866186,0.7369274134354451,0.5167862931234082,0.1631853816734576,10.737670757119703,10.737670757119703,0.00010502540027397026,5.606978577193305e-05,-2.5522905064795645e-05
a7al2q_6671d1fac5e57efe,timevarying_latent_state_neutral,label_t1_to_t25,test_2025H2,4391,0.0017899921945221807,8.948968672531727,0.5358688225916648,0.1361191842773487,11.263948986563426,11.263948986563426,0.001762768357666711,0.0017219326023835064,0.001653873010244832
a7al2q_6671d1fac5e57efe,timevarying_latent_state_neutral,label_t1_to_t25,recent_oos_2026JanApr,2855,0.0010066589968587513,2.6585909987285454,0.4896672504378284,0.14074796481976867,11.077758318739054,11.077758318739054,0.0009785094038947972,0.0009362850144488668,0.0008659110320389821
a7al2q_6671d1fac5e57efe,timevarying_latent_state_neutral,label_t1_to_t25,known_may2026_stress,0,,,,,,,,,
