candidate_id,split,rank,month,abs_spread_contribution,abs_contribution_share
a7al2q_1378ff7d2322adee,validation_2025H1,1,2025-03,7.8086845522652855,0.20661865972698779
a7al2q_1378ff7d2322adee,validation_2025H1,2,2025-01,6.803101077887512,0.18001080941252365
a7al2q_1378ff7d2322adee,validation_2025H1,3,2025-02,6.679089696140311,0.17672945449083388
a7al2q_1378ff7d2322adee,validation_2025H1,4,2025-04,6.214857682145231,0.16444582388800746
a7al2q_1378ff7d2322adee,validation_2025H1,5,2025-06,5.278062196286746,0.1396581113826763
a7al2q_1378ff7d2322adee,validation_2025H1,6,2025-05,5.008941243101861,0.13253714109897094
a7al2q_1378ff7d2322adee,test_2025H2,1,2025-11,8.504353631248728,0.21294244465841813
a7al2q_1378ff7d2322adee,test_2025H2,2,2025-08,7.655148083603752,0.1916789938220658
a7al2q_1378ff7d2322adee,test_2025H2,3,2025-10,6.42073858129843,0.1607703335607356
a7al2q_1378ff7d2322adee,test_2025H2,4,2025-12,5.926017439908954,0.14838289839052038
a7al2q_1378ff7d2322adee,test_2025H2,5,2025-09,5.771713334985254,0.14451924281503403
a7al2q_1378ff7d2322adee,test_2025H2,6,2025-07,5.65936338048049,0.14170608675322602
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,1,2026-04,7.259859680626629,0.2897293591915247
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,2,2026-01,7.164596961481491,0.2859275768173534
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,3,2026-03,5.796523213322616,0.23132994713608582
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,4,2026-02,4.83640370032939,0.19301311685503614
a7al2q_1378ff7d2322adee,known_may2026_stress,1,2026-05,5.147325644191612,1.0
a7al2q_f00f22bbcc48dc2c,validation_2025H1,1,2025-03,7.906597166669232,0.209716233847665
a7al2q_f00f22bbcc48dc2c,validation_2025H1,2,2025-01,6.933795928938193,0.18391345073392207
a7al2q_f00f22bbcc48dc2c,validation_2025H1,3,2025-02,6.75191520960453,0.1790892085644897
a7al2q_f00f22bbcc48dc2c,validation_2025H1,4,2025-04,6.2282534181018,0.16519949388586305
a7al2q_f00f22bbcc48dc2c,validation_2025H1,5,2025-06,5.073905090505401,0.1345813178603543
a7al2q_f00f22bbcc48dc2c,validation_2025H1,6,2025-05,4.806940567034712,0.12750029510770597
a7al2q_f00f22bbcc48dc2c,test_2025H2,1,2025-11,8.579652654069214,0.216645287125708
a7al2q_f00f22bbcc48dc2c,test_2025H2,2,2025-08,7.580276748898662,0.19140999047072035
a7al2q_f00f22bbcc48dc2c,test_2025H2,3,2025-10,6.098830169659979,0.15400190036950387
a7al2q_f00f22bbcc48dc2c,test_2025H2,4,2025-12,5.923606500425078,0.14957731773624183
a7al2q_f00f22bbcc48dc2c,test_2025H2,5,2025-09,5.745218098855501,0.14507282227049506
a7al2q_f00f22bbcc48dc2c,test_2025H2,6,2025-07,5.674720442689001,0.14329268202733064
a7al2q_f00f22bbcc48dc2c,recent_oos_2026JanApr,1,2026-04,7.045411510003557,0.28523575711057514
a7al2q_f00f22bbcc48dc2c,recent_oos_2026JanApr,2,2026-01,6.85690329220618,0.27760394111960646
a7al2q_f00f22bbcc48dc2c,recent_oos_2026JanApr,3,2026-03,5.705489261269474,0.23098857274890855
a7al2q_f00f22bbcc48dc2c,recent_oos_2026JanApr,4,2026-02,5.092505537859859,0.20617172902090997
a7al2q_f00f22bbcc48dc2c,known_may2026_stress,1,2026-05,5.122916291926565,1.0
a7al2q_d6f7ebc0dbbdda7a,validation_2025H1,1,2025-03,7.933296854531983,0.2088907457886498
a7al2q_d6f7ebc0dbbdda7a,validation_2025H1,2,2025-01,6.923291674176762,0.18229641316207265
a7al2q_d6f7ebc0dbbdda7a,validation_2025H1,3,2025-02,6.800847274923079,0.17907234347871853
a7al2q_d6f7ebc0dbbdda7a,validation_2025H1,4,2025-04,6.317383981323882,0.1663423259572286
a7al2q_d6f7ebc0dbbdda7a,validation_2025H1,5,2025-06,5.146995961035047,0.13552497083952963
a7al2q_d6f7ebc0dbbdda7a,validation_2025H1,6,2025-05,4.856395421672391,0.12787320077380074
a7al2q_d6f7ebc0dbbdda7a,test_2025H2,1,2025-11,8.759719097670484,0.2207162192553517
a7al2q_d6f7ebc0dbbdda7a,test_2025H2,2,2025-08,7.573771712450164,0.19083423101086452
a7al2q_d6f7ebc0dbbdda7a,test_2025H2,3,2025-10,5.979227372649568,0.15065693831555402
a7al2q_d6f7ebc0dbbdda7a,test_2025H2,4,2025-12,5.934847576500783,0.1495387128669905
a7al2q_d6f7ebc0dbbdda7a,test_2025H2,5,2025-09,5.801014161393226,0.1461665493234783
a7al2q_d6f7ebc0dbbdda7a,test_2025H2,6,2025-07,5.639120091703978,0.1420873492277611
a7al2q_d6f7ebc0dbbdda7a,recent_oos_2026JanApr,1,2026-04,7.040583646241062,0.28653162352600947
