candidate_id,split,offset,n_dates,mean_spread,tstat,positive
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,7,119,0.0019481958440099928,1.7671421445107287,True
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,8,119,0.0021414661055516476,1.8890878094865373,True
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,9,119,0.0020772235131690416,1.895083744211084,True
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,10,119,0.002074996859226926,1.841036733453825,True
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,11,119,0.0019058630023523885,1.6192943747542807,True
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,12,119,0.0022258622367616527,1.7942371918748115,True
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,13,119,0.0021634123155177174,1.9814969415304826,True
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,14,119,0.002217588644260595,1.9557635893050513,True
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,15,119,0.002162780069286813,1.9149335131239729,True
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,16,119,0.002246069619891306,2.0061317618541175,True
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,17,119,0.002131589915245988,1.8953519558426852,True
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,18,119,0.0022152280544601227,1.8784533957918046,True
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,19,119,0.002271132780655301,1.9381463838105772,True
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,20,119,0.0021716089561585896,1.8953320360970667,True
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,21,119,0.002395379703301658,2.0949359081935395,True
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,22,119,0.002385012957537309,2.0327097455785292,True
a7al2q_1378ff7d2322adee,recent_oos_2026JanApr,23,118,0.0020221338297538487,1.9506846123348445,True
a7al2q_1378ff7d2322adee,known_may2026_stress,0,24,-0.0013731711489928997,-0.5615681040946875,False
a7al2q_1378ff7d2322adee,known_may2026_stress,1,24,-0.0014226170374396993,-0.5770674236193699,False
a7al2q_1378ff7d2322adee,known_may2026_stress,2,24,-0.0011955874666906808,-0.4632563259261671,False
a7al2q_1378ff7d2322adee,known_may2026_stress,3,24,-0.0012488507220756848,-0.5213661304235649,False
a7al2q_1378ff7d2322adee,known_may2026_stress,4,24,-0.0013263010179925966,-0.5327179325043961,False
a7al2q_1378ff7d2322adee,known_may2026_stress,5,24,-0.0014310141389667554,-0.5435556306296744,False
a7al2q_1378ff7d2322adee,known_may2026_stress,6,24,-0.001416759168839291,-0.5641688495335953,False
a7al2q_1378ff7d2322adee,known_may2026_stress,7,24,-0.0014029424511247566,-0.6367927937449518,False
a7al2q_1378ff7d2322adee,known_may2026_stress,8,24,-0.001578125558089436,-0.786440002352086,False
a7al2q_1378ff7d2322adee,known_may2026_stress,9,24,-0.0016608259885916576,-0.7942079557270647,False
a7al2q_1378ff7d2322adee,known_may2026_stress,10,24,-0.001703747953207108,-0.8130931185782103,False
a7al2q_1378ff7d2322adee,known_may2026_stress,11,24,-0.0017732962435470373,-0.692888049472744,False
a7al2q_1378ff7d2322adee,known_may2026_stress,12,24,-0.0017745943974576354,-0.7675510231448445,False
a7al2q_1378ff7d2322adee,known_may2026_stress,13,24,-0.002092004871981103,-0.91525102325412,False
a7al2q_1378ff7d2322adee,known_may2026_stress,14,24,-0.0018633390050868347,-0.7354898119802977,False
a7al2q_1378ff7d2322adee,known_may2026_stress,15,24,-0.0021479435808496226,-0.8380184777251977,False
a7al2q_1378ff7d2322adee,known_may2026_stress,16,24,-0.0024002365301890997,-0.9668850040877507,False
a7al2q_1378ff7d2322adee,known_may2026_stress,17,24,-0.0021515191463814683,-0.8689501612820791,False
a7al2q_1378ff7d2322adee,known_may2026_stress,18,24,-0.0022778107428438883,-0.8752738376896608,False
a7al2q_1378ff7d2322adee,known_may2026_stress,19,24,-0.002523336231950789,-0.9373018786175853,False
a7al2q_1378ff7d2322adee,known_may2026_stress,20,24,-0.0026761380813934664,-0.938003648996295,False
a7al2q_1378ff7d2322adee,known_may2026_stress,21,24,-0.0024105614191643767,-0.8789814410458952,False
a7al2q_1378ff7d2322adee,known_may2026_stress,22,24,-0.0026909941422034477,-0.9728685148276482,False
a7al2q_1378ff7d2322adee,known_may2026_stress,23,23,-0.0016488396801726181,-0.5996846304632985,False
a7al2q_f00f22bbcc48dc2c,validation_2025H1,0,180,0.0013053334068783059,1.551661368275937,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,1,180,0.0012704340210581136,1.469975405338909,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,2,180,0.0012944642878208266,1.4940745332653051,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,3,180,0.0011759951786771184,1.3313794029034707,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,4,180,0.0011699365376226863,1.3276042166048585,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,5,180,0.0011570259352965814,1.2933090472792605,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,6,180,0.0011215145355208496,1.248358222511914,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,7,180,0.0011808349161610064,1.338551094504812,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,8,180,0.001150732317825293,1.2458100742468483,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,9,180,0.0011909340216389205,1.2961708293128027,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,10,180,0.001361184662456667,1.5417182237945035,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,11,180,0.0012758423019464797,1.456210897422228,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,12,180,0.0012574307107008009,1.4464457653250427,True
