candidate_id,variant,split,n_dates,btc_beta,eth_beta,beta_residual_alpha,beta_residual_alpha_tstat,raw_mean_spread
a7al2k_01759e5da72c472c,original,validation_2025H1,4320,0.03614434081843874,0.06775706277914376,0.001324003208716739,6.438061027680525,0.00123838128853291
a7al2k_01759e5da72c472c,original,test_2025H2,4392,0.05687493043648446,0.028592809552902394,0.0030666615580818863,12.743644335738098,0.0030394639666952456
a7al2k_01759e5da72c472c,original,recent_oos_2026JanApr,2856,-0.04531416691160919,0.08864726819635235,0.0021088805611539944,7.54319364330133,0.0019558814382863708
a7al2k_01759e5da72c472c,original,known_may2026_stress,576,0.22611026076326587,-0.06328402130868133,0.0032098950826051423,4.888847353836867,0.0033867774896891353
a7al2k_01759e5da72c472c,one_bar_lag,validation_2025H1,4320,0.03558065540730671,0.0682020968595163,0.001309740590877228,6.385877067739364,0.0012229540438685714
a7al2k_01759e5da72c472c,one_bar_lag,test_2025H2,4392,0.05876253161980642,0.027480312528647112,0.0030504301323776234,12.69339667785104,0.0030200953721792353
a7al2k_01759e5da72c472c,one_bar_lag,recent_oos_2026JanApr,2856,-0.04443626151114969,0.08777686746713458,0.0020660758307312916,7.387486061806934,0.0019140511189446533
a7al2k_01759e5da72c472c,one_bar_lag,known_may2026_stress,576,0.2229422431391438,-0.06281125924260741,0.0031782131714890504,4.891737245099116,0.0033539957211175344
a7al2k_01759e5da72c472c,neutral_liquidity_tier,validation_2025H1,4320,0.1450183977598431,0.0776521602514729,0.0011392394675054111,5.310459577769667,0.001118996628566263
a7al2k_01759e5da72c472c,neutral_liquidity_tier,test_2025H2,4392,0.06772591047774044,0.11252798885683607,0.0019220268341799975,8.046336443344947,0.0019747089713798897
a7al2k_01759e5da72c472c,neutral_liquidity_tier,recent_oos_2026JanApr,2856,0.003848429688639493,0.11335327034389,0.0020727596858301288,8.027962395728046,0.0018017900518592532
a7al2k_01759e5da72c472c,neutral_liquidity_tier,known_may2026_stress,576,0.2941446505660877,0.1400287472255069,0.001520773276548493,2.4971124772838755,0.0010103722300564475
a7al2k_01759e5da72c472c,neutral_meme_contract_group,validation_2025H1,4320,-0.01660071571450923,0.11273421118803748,0.0011861741593457826,5.343891922463919,0.0009860250545232158
a7al2k_01759e5da72c472c,neutral_meme_contract_group,test_2025H2,4392,0.04902955955929084,0.0537457668410974,0.0036910541790109836,14.433203912542348,0.0036991480938682875
a7al2k_01759e5da72c472c,neutral_meme_contract_group,recent_oos_2026JanApr,2856,-0.09775910081605943,0.10672952399490689,0.001852158849440421,6.472694905739651,0.0017206178527351236
a7al2k_01759e5da72c472c,neutral_meme_contract_group,known_may2026_stress,576,0.12245379712758263,-0.06072982746333365,0.0029903104026248813,4.074023849744477,0.003174214688104949
a7al2k_01759e5da72c472c,neutral_multiplier_flag,validation_2025H1,4320,0.0852845704872886,0.04791869269063441,0.0012166489136737424,5.860618362983194,0.0012009955348475825
a7al2k_01759e5da72c472c,neutral_multiplier_flag,test_2025H2,4392,0.016890777813167775,0.0385905446980083,0.0028046436510124747,11.906784119523799,0.0028291923980120603
