candidate_id,variant,valid_signal_cells,valid_signal_share
a7al2k_01759e5da72c472c,original,3796998,0.9977593104762155
a7al2k_01759e5da72c472c,one_bar_lag,3796817,0.9977117480505318
a7al2k_01759e5da72c472c,neutral_liquidity_tier,3796998,0.9977593104762155
a7al2k_01759e5da72c472c,neutral_meme_contract_group,3566398,0.9371632035001741
a7al2k_01759e5da72c472c,neutral_multiplier_flag,3796998,0.9977593104762155
a7al2k_01759e5da72c472c,neutral_major_flag,3691988,0.9701652203046885
a7al2k_01759e5da72c472c,neutral_dominant_latent_state,1554077,0.4083738774544905
a7al2k_01759e5da72c472c,exclude_meme,3608402,0.9482008395687849
a7al2k_01759e5da72c472c,exclude_multiplier,3628982,0.9536087662017724
a7al2k_01759e5da72c472c,exclude_major,3691988,0.9701652203046885
a7al2k_0cf817ef95787b3d,original,3795343,0.997324416473417
a7al2k_0cf817ef95787b3d,one_bar_lag,3795162,0.9972768540477333
a7al2k_0cf817ef95787b3d,neutral_liquidity_tier,3795343,0.997324416473417
a7al2k_0cf817ef95787b3d,neutral_meme_contract_group,3564743,0.9367283094973755
a7al2k_0cf817ef95787b3d,neutral_multiplier_flag,3795343,0.997324416473417
a7al2k_0cf817ef95787b3d,neutral_major_flag,3690333,0.96973032630189
a7al2k_0cf817ef95787b3d,neutral_dominant_latent_state,1553525,0.4082288251949468
a7al2k_0cf817ef95787b3d,exclude_meme,3606747,0.9477659455659863
a7al2k_0cf817ef95787b3d,exclude_multiplier,3627327,0.9531738721989739
a7al2k_0cf817ef95787b3d,exclude_major,3690333,0.96973032630189
a7al2k_134ec76b5d7444f9,original,3782099,0.9938442133476985
a7al2k_134ec76b5d7444f9,one_bar_lag,3782099,0.9938442133476985
a7al2k_134ec76b5d7444f9,neutral_liquidity_tier,3782099,0.9938442133476985
a7al2k_134ec76b5d7444f9,neutral_meme_contract_group,3552313,0.9334620058993175
a7al2k_134ec76b5d7444f9,neutral_multiplier_flag,3782099,0.9938442133476985
a7al2k_134ec76b5d7444f9,neutral_major_flag,3677459,0.9663473502341989
a7al2k_134ec76b5d7444f9,neutral_dominant_latent_state,1547856,0.4067391490004664
a7al2k_134ec76b5d7444f9,exclude_meme,3594169,0.9444607511447172
a7al2k_134ec76b5d7444f9,exclude_multiplier,3614675,0.9498492323660993
a7al2k_134ec76b5d7444f9,exclude_major,3677459,0.9663473502341989
a7al2k_01298a6b5902f416,original,3766741,0.9898085021120607
a7al2k_01298a6b5902f416,one_bar_lag,3766560,0.989760939686377
a7al2k_01298a6b5902f416,neutral_liquidity_tier,3766741,0.9898085021120607
a7al2k_01298a6b5902f416,neutral_meme_contract_group,3537989,0.9296980048744917
a7al2k_01298a6b5902f416,neutral_multiplier_flag,3766741,0.9898085021120607
a7al2k_01298a6b5902f416,neutral_major_flag,3662571,0.9624351436398394
a7al2k_01298a6b5902f416,neutral_dominant_latent_state,1541716,0.4051257053888754
a7al2k_01298a6b5902f416,exclude_meme,3579657,0.9406473482633803
a7al2k_01298a6b5902f416,exclude_multiplier,3600069,0.9460111285565067
a7al2k_01298a6b5902f416,exclude_major,3662571,0.9624351436398394
