semantic_pair,formula_count,materialization_count,company_wave_count,skeleton_count,production_key_count,formula_share,materialization_share,company_wave_share,materialization_rate_from_formula,company_rate_from_formula
basis_premium_like|funding_like,6000,1000,800,48,6000,0.2912762755473567,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.13333333333333333
basis_premium_like|price_like,773,497,497,29,773,0.03752609349968445,0.16566666666666666,0.20708333333333334,0.6429495472186287,0.6429495472186287
basis_premium_like|volatility_like,1563,419,419,29,1563,0.07587746978008642,0.13966666666666666,0.17458333333333334,0.26807421625079975,0.26807421625079975
basis_premium_like|basis_premium_like,442,380,380,25,442,0.021457352298655273,0.12666666666666668,0.15833333333333333,0.8597285067873304,0.8597285067873304
price_like|volatility_like,402,102,102,19,402,0.019515510461672898,0.034,0.0425,0.2537313432835821,0.2537313432835821
basis_premium_like,81,81,81,6,81,0.003932229719889315,0.027,0.03375,1.0,1.0
volatility_like,84,48,48,6,84,0.004077867857662993,0.016,0.02,0.5714285714285714,0.5714285714285714
price_like,34,34,34,5,34,0.0016505655614350212,0.011333333333333334,0.014166666666666666,1.0,1.0
volatility_like|volatility_like,211,26,26,19,211,0.010243215690082044,0.008666666666666666,0.010833333333333334,0.12322274881516587,0.12322274881516587
funding_like|positioning_like,6000,413,13,51,6000,0.2912762755473567,0.13766666666666666,0.005416666666666667,0.06883333333333333,0.0021666666666666666
basis_premium_like|positioning_like,4781,0,0,24,4781,0.2320986455653187,0.0,0.0,0.0,0.0
liquidity_like|volatility_like,124,0,0,4,124,0.006019709694645371,0.0,0.0,0.0,0.0
basis_premium_like|liquidity_like,62,0,0,4,62,0.0030098548473226857,0.0,0.0,0.0,0.0
basis_premium_like|generic_numeric,24,0,0,4,24,0.0011651051021894267,0.0,0.0,0.0,0.0
basis_premium_like|state_or_taxonomy,18,0,0,4,18,0.00087382882664207,0.0,0.0,0.0,0.0
