level,semantic_pair,motif,formula_count,materialization_count,company_wave_count,skeleton_count,production_key_count,formula_share,materialization_share,company_wave_share,materialization_rate_from_formula,company_rate_from_formula,materialization_dropoff,company_dropoff,materialization_absent,company_absent
L4_factor_candidate_probe,basis_premium_like|positioning_like,signed_spread,1178,0,0,5,1178,0.05718724209913103,0.0,0.0,0.0,0.0,1178,1178,True,True
L4_factor_candidate_probe,basis_premium_like|positioning_like,mean_reversion_gate,1021,0,0,5,1021,0.04956551288897519,0.0,0.0,0.0,0.0,1021,1021,True,True
L4_factor_candidate_probe,basis_premium_like|positioning_like,smooth_mul,885,0,0,5,885,0.042963250643235106,0.0,0.0,0.0,0.0,885,885,True,True
L4_factor_candidate_probe,basis_premium_like|funding_like,signed_spread,792,0,0,8,792,0.03844846837225108,0.0,0.0,0.0,0.0,792,792,True,True
L4_factor_candidate_probe,basis_premium_like|funding_like,mean_reversion_gate,643,0,0,7,643,0.031215107529491724,0.0,0.0,0.0,0.0,643,643,True,True
L4_factor_candidate_probe,basis_premium_like|funding_like,relative_shock,629,0,0,6,629,0.03053546288654789,0.0,0.0,0.0,0.0,629,629,True,True
L4_factor_candidate_probe,basis_premium_like|positioning_like,spread_rank,552,0,0,4,552,0.026797417350356813,0.0,0.0,0.0,0.0,552,552,True,True
L3_state_conditioned_feature,funding_like|positioning_like,mean_reversion_gate,512,97,0,9,512,0.024855575513374435,0.03233333333333333,0.0,0.189453125,0.0,415,512,False,True
L3_state_conditioned_feature,funding_like|positioning_like,relative_shock,512,65,0,9,512,0.024855575513374435,0.021666666666666667,0.0,0.126953125,0.0,447,512,False,True
L3_state_conditioned_feature,funding_like|positioning_like,signed_spread,512,5,0,9,512,0.024855575513374435,0.0016666666666666668,0.0,0.009765625,0.0,507,512,False,True
L3_state_conditioned_feature,funding_like|positioning_like,smooth_mul,512,0,0,9,512,0.024855575513374435,0.0,0.0,0.0,0.0,512,512,True,True
L4_factor_candidate_probe,basis_premium_like|positioning_like,relative_shock,485,0,0,2,485,0.02354483227341133,0.0,0.0,0.0,0.0,485,485,True,True
L3_state_conditioned_feature,basis_premium_like|funding_like,smooth_mul,482,0,0,9,482,0.023399194135637652,0.0,0.0,0.0,0.0,482,482,True,True
L3_state_conditioned_feature,funding_like|positioning_like,spread_rank,472,0,0,9,472,0.02291373367639206,0.0,0.0,0.0,0.0,472,472,True,True
L3_state_conditioned_feature,funding_like|positioning_like,sub,466,0,0,9,466,0.0226224574008447,0.0,0.0,0.0,0.0,466,466,True,True
L3_state_conditioned_feature,funding_like|positioning_like,mul,461,82,0,9,461,0.022379727171221903,0.027333333333333334,0.0,0.17787418655097614,0.0,379,461,False,True
L4_factor_candidate_probe,funding_like|positioning_like,signed_spread,450,0,0,9,450,0.02184572066605175,0.0,0.0,0.0,0.0,450,450,True,True
L3_state_conditioned_feature,funding_like|positioning_like,safe_div_abs,420,2,0,9,420,0.020389339288314965,0.0006666666666666666,0.0,0.004761904761904762,0.0,418,420,False,True
L4_factor_candidate_probe,funding_like|positioning_like,mean_reversion_gate,384,0,0,7,384,0.018641681635030827,0.0,0.0,0.0,0.0,384,384,True,True
L4_factor_candidate_probe,basis_premium_like|funding_like,smooth_mul,352,0,0,6,352,0.017088208165444926,0.0,0.0,0.0,0.0,352,352,True,True
L4_factor_candidate_probe,funding_like|positioning_like,relative_shock,342,0,0,6,342,0.01660274770619933,0.0,0.0,0.0,0.0,342,342,True,True
L4_factor_candidate_probe,basis_premium_like|funding_like,spread_rank,274,0,0,5,274,0.013301616583329288,0.0,0.0,0.0,0.0,274,274,True,True
L3_state_conditioned_feature,basis_premium_like|funding_like,spread_rank,231,0,0,8,231,0.011214136608573231,0.0,0.0,0.0,0.0,231,231,True,True
L4_factor_candidate_probe,funding_like|positioning_like,smooth_mul,217,0,0,6,217,0.0105344919656294,0.0,0.0,0.0,0.0,217,217,True,True
L4_factor_candidate_probe,basis_premium_like|positioning_like,mul,169,0,0,2,169,0.008204281761250546,0.0,0.0,0.0,0.0,169,169,True,True
L4_factor_candidate_probe,basis_premium_like|positioning_like,sub,169,0,0,2,169,0.008204281761250546,0.0,0.0,0.0,0.0,169,169,True,True
L4_factor_candidate_probe,basis_premium_like|funding_like,mul,164,0,0,4,164,0.00796155153162775,0.0,0.0,0.0,0.0,164,164,True,True
L4_factor_candidate_probe,basis_premium_like|funding_like,sub,164,0,0,4,164,0.00796155153162775,0.0,0.0,0.0,0.0,164,164,True,True
L4_factor_candidate_probe,basis_premium_like|positioning_like,gated_sign,161,0,0,2,161,0.00781591339385407,0.0,0.0,0.0,0.0,161,161,True,True
L4_factor_candidate_probe,basis_premium_like|positioning_like,safe_div_abs,161,0,0,2,161,0.00781591339385407,0.0,0.0,0.0,0.0,161,161,True,True
L3_state_conditioned_feature,basis_premium_like|funding_like,sub,151,0,0,6,151,0.007330452934608476,0.0,0.0,0.0,0.0,151,151,True,True
L4_factor_candidate_probe,funding_like|positioning_like,spread_rank,141,0,0,5,141,0.006844992475362881,0.0,0.0,0.0,0.0,141,141,True,True
L4_factor_candidate_probe,basis_premium_like|funding_like,gated_sign,135,0,0,4,135,0.006553716199815525,0.0,0.0,0.0,0.0,135,135,True,True
L4_factor_candidate_probe,basis_premium_like|funding_like,safe_div_abs,135,0,0,4,135,0.006553716199815525,0.0,0.0,0.0,0.0,135,135,True,True
L4_factor_candidate_probe,basis_premium_like|volatility_like,mean_reversion_gate,98,0,0,3,98,0.004757512500606825,0.0,0.0,0.0,0.0,98,98,True,True
L4_factor_candidate_probe,basis_premium_like|volatility_like,signed_spread,96,0,0,3,96,0.004660420408757707,0.0,0.0,0.0,0.0,96,96,True,True
L4_factor_candidate_probe,basis_premium_like|volatility_like,spread_rank,73,0,0,1,73,0.0035438613524928393,0.0,0.0,0.0,0.0,73,73,True,True
L4_factor_candidate_probe,basis_premium_like|volatility_like,smooth_mul,71,0,0,1,71,0.0034467692606437207,0.0,0.0,0.0,0.0,71,71,True,True
L4_factor_candidate_probe,basis_premium_like|price_like,mean_reversion_gate,49,0,0,3,49,0.0023787562503034126,0.0,0.0,0.0,0.0,49,49,True,True
L4_factor_candidate_probe,basis_premium_like|price_like,signed_spread,48,0,0,3,48,0.0023302102043788533,0.0,0.0,0.0,0.0,48,48,True,True
L4_factor_candidate_probe,funding_like|positioning_like,gated_sign,45,0,0,4,45,0.002184572066605175,0.0,0.0,0.0,0.0,45,45,True,True
L4_factor_candidate_probe,funding_like|positioning_like,safe_div_abs,45,0,0,4,45,0.002184572066605175,0.0,0.0,0.0,0.0,45,45,True,True
L4_factor_candidate_probe,funding_like|positioning_like,mul,44,0,0,4,44,0.0021360260206806157,0.0,0.0,0.0,0.0,44,44,True,True
L4_factor_candidate_probe,funding_like|positioning_like,sub,44,0,0,4,44,0.0021360260206806157,0.0,0.0,0.0,0.0,44,44,True,True
L4_factor_candidate_probe,liquidity_like|volatility_like,mean_reversion_gate,36,0,0,1,36,0.00174765765328414,0.0,0.0,0.0,0.0,36,36,True,True
