level,formula_count,materialization_count,company_wave_count,skeleton_count,production_key_count,formula_share,materialization_share,company_wave_share,materialization_rate_from_formula,company_rate_from_formula
L2_typed_two_field_interaction,2659,1424,1424,25,2659,0.12908393611340357,0.4746666666666667,0.5933333333333334,0.5355396765701391,0.5355396765701391
L3_state_conditioned_feature,7000,1413,813,51,7000,0.3398223214719161,0.471,0.33875,0.20185714285714285,0.11614285714285714
L1_single_field_transform,199,163,163,6,199,0.00966066313898733,0.05433333333333333,0.06791666666666667,0.8190954773869347,0.8190954773869347
L4_factor_candidate_probe,10741,0,0,39,10741,0.521433079275693,0.0,0.0,0.0,0.0
