motif,formula_count,materialization_count,company_wave_count,skeleton_count,production_key_count,formula_share,materialization_share,company_wave_share,materialization_rate_from_formula,company_rate_from_formula
smooth_mul,3600,519,519,9,3600,0.174765765328414,0.173,0.21625,0.14416666666666667,0.14416666666666667
relative_shock,2448,379,314,9,2448,0.11884072042332151,0.12633333333333333,0.13083333333333333,0.1548202614379085,0.12826797385620914
gated_sign,1327,462,313,9,1327,0.06442060294189038,0.154,0.13041666666666665,0.34815373021853807,0.23587038432554636
spread_rank,2265,310,310,9,2265,0.10995679401912714,0.10333333333333333,0.12916666666666668,0.1368653421633554,0.1368653421633554
mean_reversion_gate,3104,353,256,9,3104,0.1506869265498325,0.11766666666666667,0.10666666666666667,0.11372422680412371,0.08247422680412371
mul,1367,324,242,9,1367,0.06636244477887276,0.108,0.10083333333333333,0.2370153621068032,0.17702999268471104
single,199,163,163,6,199,0.00966066313898733,0.05433333333333333,0.06791666666666667,0.8190954773869347,0.8190954773869347
safe_div_abs,1321,146,144,9,1321,0.06412932666634302,0.048666666666666664,0.06,0.1105223315669947,0.10900832702498107
sub,1368,120,120,9,1368,0.06641099082479732,0.04,0.05,0.08771929824561403,0.08771929824561403
signed_spread,3600,224,19,9,3600,0.174765765328414,0.07466666666666667,0.007916666666666667,0.06222222222222222,0.005277777777777778
