blueprint_id,label_family,label_horizon_h,orientation_from_train,robust_median_tstat_floor,robust_min_tstat_floor,robust_ok
a7ff33_6fe675e9a4199149,L5_vol_adjusted_return,4,1.0,-1.9805184190567635,-3.13411406823712,False
a7ff33_6fe675e9a4199149,L7_ranked_future_return,4,-1.0,2.6396857329166017,3.086050454767927,True
a7ff33_6fe675e9a4199149,L0_raw_forward_return,8,1.0,-1.0897114380903166,-2.6759834532951574,False
a7ff33_6fe675e9a4199149,L1_cross_sectional_relative_return,8,1.0,-1.0897114380903168,-2.675983453295157,False
a7ff33_6fe675e9a4199149,L3_liquidity_tier_relative_return,8,1.0,-1.0808226715423916,-2.5672718407836217,False
a7ff33_6fe675e9a4199149,L5_vol_adjusted_return,8,-1.0,0.6701736094417678,1.8757995244315144,True
a7ff33_6fe675e9a4199149,L7_ranked_future_return,8,-1.0,1.4502417334619255,2.369715611711872,True
a7ff33_6fe675e9a4199149,L0_raw_forward_return,24,1.0,-0.3184982386229188,-2.409484667280045,False
a7ff33_6fe675e9a4199149,L1_cross_sectional_relative_return,24,1.0,-0.3184982386229189,-2.409484667280044,False
a7ff33_6fe675e9a4199149,L3_liquidity_tier_relative_return,24,1.0,-0.3611867225698694,-2.3825995197354555,False
a7ff33_6fe675e9a4199149,L5_vol_adjusted_return,24,-1.0,-0.005493124032721226,1.8541751568303704,False
a7ff33_6fe675e9a4199149,L7_ranked_future_return,24,-1.0,0.13336014160169862,1.5109298622103096,True
a7ff33_c4e35734432be936,L0_raw_forward_return,1,1.0,2.3193181953236612,2.3193181953236612,True
a7ff33_c4e35734432be936,L1_cross_sectional_relative_return,1,1.0,2.3193181953236612,2.3193181953236612,True
a7ff33_c4e35734432be936,L3_liquidity_tier_relative_return,1,1.0,2.472430530474468,2.472430530474468,True
a7ff33_c4e35734432be936,L5_vol_adjusted_return,1,1.0,5.357955930752267,5.357955930752267,True
a7ff33_c4e35734432be936,L7_ranked_future_return,1,1.0,5.257687197570306,5.257687197570306,True
a7ff33_c4e35734432be936,L0_raw_forward_return,4,-1.0,-1.6475945773709113,-0.8080470732082987,False
a7ff33_c4e35734432be936,L1_cross_sectional_relative_return,4,-1.0,-1.6475945773709113,-0.8080470732082985,False
a7ff33_c4e35734432be936,L3_liquidity_tier_relative_return,4,-1.0,-1.8560493794884425,-0.9727479256047252,False
a7ff33_c4e35734432be936,L5_vol_adjusted_return,4,-1.0,-2.2810419556854944,-1.2748994550599029,False
