field_id,rows,valid_rows,non_null_ratio,pre2024_non_null_ratio,top2024_non_null_ratio,mean,variance,minimum,maximum,assets_with_time_variation,field_family,value_type,unit,sparse_semantics,observable_lag_hours,lineage_ok,economic_role,current_runtime_baseline,admission_status,rejection_reason,qualification_block,report_only_rows_read_for_admission,field_selection_role,continuation_surface_member
top_global_account_divergence,1522509,1519669,0.9981346579888855,0.9987077282041311,0.997685963188546,-0.05760892248874473,0.12009151249431597,-5.042459487915039,2.751155138015747,211,account_position_divergence,RATIO,dimensionless,False,1,True,crowding divergence,True,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
mark_trade_basis_bps,1522509,1521789,0.9995270963915485,1.0,0.9991568286921827,-0.10263327106053564,25.500642316504948,-819.3118896484375,1624.005615234375,211,basis_premium,BPS,bps,False,1,True,mark/index/trade dislocation state,True,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
trade_quote_volume,1522509,1522509,1.0,1.0,1.0,9602611.485082421,5680211639347385.0,1728.0850830078125,14348726272.0,211,quote_volume_activity,NOTIONAL,quote_asset,False,1,True,trading activity and participation,True,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
account_position_divergence,1522509,1519669,0.9981346579888855,0.9987077282041311,0.997685963188546,-1.1052564794035031,0.9438665750866821,-12.60622787475586,3.1125500202178955,211,account_position_divergence,RATIO,dimensionless,False,1,True,crowding divergence,True,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
global_long_short_account_ratio_last,1522509,1519669,0.9981346579888855,0.9987077282041311,0.997685963188546,2.6088077963879615,1.1974337733113087,0.18748605251312256,17.970081329345703,211,account_crowding,RATIO,dimensionless,False,1,True,account-side crowding state,True,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
open_interest_value_last,1522509,1519669,0.9981346579888855,0.9987077282041311,0.997685963188546,59120758.213395916,1.1714935725635702e+17,0.0,6205993472.0,211,open_interest_value,NOTIONAL,quote_asset,False,1,True,notional open-interest level or change,True,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
open_interest_value_mean,1522509,1519669,0.9981346579888855,0.9987077282041311,0.997685963188546,59127694.511409074,1.171565575681802e+17,88400.25,6162523648.0,211,open_interest_value,NOTIONAL,quote_asset,False,1,True,notional open-interest level or change,True,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
top_long_short_account_ratio_last,1522509,1519669,0.9981346579888855,0.9987077282041311,0.997685963188546,2.5511988737118156,1.14278098018164,0.16249389946460724,14.51958179473877,211,account_crowding,RATIO,dimensionless,False,1,True,account-side crowding state,True,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
trade_close,1522509,1522509,1.0,1.0,1.0,332.22067219889686,13809389.281451346,0.00016080000204965472,73644.6015625,211,price_level,PRICE,quote_per_base,False,1,True,price reference used only through normalized relations,True,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
top_long_short_position_ratio_last,1522509,1519669,0.9981346579888855,0.9987077282041311,0.997685963188546,1.445942394446079,0.2943984770641185,0.4063189923763275,7.295567989349365,211,position_crowding,RATIO,dimensionless,False,1,True,position-side crowding state,True,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
