return_corr_cluster,field,value,count,share
rc_000,expression,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",13,0.053061224489795916
rc_000,expression,"Mul(Rank(number_of_trades),Rank(realized_vol_24))",11,0.044897959183673466
rc_000,expression,"Mul(Rank(realized_vol_24),Rank(quote_volume_mean_24))",11,0.044897959183673466
rc_000,expression,"Mul(Rank(realized_vol_24),Rank(quote_volume_mean_12))",10,0.04081632653061224
rc_000,expression,"Mul(Rank(realized_vol_24),Rank(number_of_trades))",10,0.04081632653061224
rc_000,expression,"Mul(Rank(realized_vol_12),Rank(quote_volume_mean_24))",10,0.04081632653061224
rc_000,expression,"Mul(Rank(quote_asset_volume),Rank(realized_vol_24))",10,0.04081632653061224
rc_000,expression,"Mul(Rank(quote_volume_mean_12),Rank(realized_vol_12))",9,0.036734693877551024
rc_000,expression,"Mul(Rank(realized_vol_24),Rank(quote_asset_volume))",8,0.0326530612244898
rc_000,expression,"Mul(Rank(quote_volume_mean_6),Rank(realized_vol_24))",8,0.0326530612244898
rc_000,expression,"Mul(Rank(realized_vol_12),Rank(number_of_trades))",7,0.02857142857142857
rc_000,expression,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_12))",7,0.02857142857142857
rc_000,source_fields,quote_volume_mean_24;realized_vol_24,29,0.11836734693877551
rc_000,source_fields,number_of_trades;realized_vol_24,27,0.11020408163265306
rc_000,source_fields,quote_volume_mean_12;realized_vol_24,25,0.10204081632653061
rc_000,source_fields,quote_asset_volume;realized_vol_24,23,0.09387755102040816
rc_000,source_fields,quote_volume_mean_6;realized_vol_24,18,0.07346938775510205
rc_000,source_fields,quote_volume_mean_24;realized_vol_12,17,0.06938775510204082
rc_000,source_fields,number_of_trades;realized_vol_12,13,0.053061224489795916
rc_000,source_fields,quote_volume_mean_12;realized_vol_12,10,0.04081632653061224
rc_000,source_fields,quote_asset_volume;realized_vol_12,10,0.04081632653061224
rc_000,source_fields,quote_volume_mean_12;realized_vol_6,9,0.036734693877551024
rc_000,source_fields,quote_volume_mean_6;realized_vol_12,9,0.036734693877551024
rc_000,source_fields,number_of_trades;realized_vol_6,8,0.0326530612244898
rc_000,source_field_families,liquidity;volatility,245,1.0
rc_000,operator_signature,Mul;Rank,208,0.8489795918367347
rc_000,operator_signature,Mul;Rank;ZScore,36,0.1469387755102041
rc_000,operator_signature,Mul;ZScore,1,0.004081632653061225
rc_000,horizon,24,245,1.0
