return_corr_cluster,count,share_of_positive_deep,engine_count,family_count,field_family_count,operator_signature_count,expr_hash_count,top_engine,top_engine_share,top_family,top_family_share,top_field_family,top_field_family_share,median_rank_score,median_recent_raw_ann,median_cost20_recent_ann,median_lag1_recent_ann,median_may_raw_ann,median_residual_funding_recent_ann
rc_000,245,0.6464379947229552,6,6,1,3,73,E5_surrogate_prioritized_sampler,0.24897959183673468,surrogate_prioritized_equal_budget,0.24897959183673468,liquidity;volatility,1.0,13.40717455748768,1.845356499631416,1.1847996438107165,1.91568302476592,-9.06734771296898,4.438982887087179
rc_003,49,0.12928759894459102,6,6,3,1,26,E3_AST_failure_aware_repair,0.4897959183673469,ast_failure_aware_repair,0.4897959183673469,liquidity;volatility,0.5918367346938775,14.01635570334254,1.701259022990549,1.1954692110290508,1.7438000624068322,-8.751992836969794,4.484189648401857
rc_002,43,0.11345646437994723,5,5,1,1,34,E0_current_A7L_manual_generator,0.32558139534883723,manual_a7l_control,0.32558139534883723,liquidity;volatility,1.0,13.484558730814689,1.483562366267804,1.0239430313964089,1.519804023149067,-9.79398317919182,3.1818314934771665
rc_005,18,0.047493403693931395,2,2,1,1,12,E4_CEM_adaptive_grammar_crypto,0.7777777777777778,cem_adaptive_grammar,0.7777777777777778,liquidity,1.0,10.322255480426136,0.5013299978107588,0.1748014742962026,0.4870640327648721,-7.444089290097971,3.599422249061691
rc_001,15,0.0395778364116095,3,3,1,1,15,E0_current_A7L_manual_generator,0.5333333333333333,manual_a7l_control,0.5333333333333333,liquidity;volatility,1.0,12.360783154412664,1.062934319940723,0.5381770930730045,1.17359041549601,-6.782822536047382,4.28772940522543
rc_004,3,0.0079155672823219,2,2,1,2,3,E1_FormulaGenV2_crypto_adapter,0.6666666666666666,formula_gen_v2_crypto,0.6666666666666666,liquidity;volatility,1.0,9.698575363708237,0.9441189266598896,0.509411629992532,1.060170572883638,-8.29719411679513,2.186638631833048
rc_009,2,0.005277044854881266,1,1,1,1,2,E4_CEM_adaptive_grammar_crypto,1.0,cem_adaptive_grammar,1.0,liquidity;volatility,1.0,12.976960238781867,1.924480991067357,0.4588907741377496,1.9680198419807668,-16.493943074751304,6.500489453051215
rc_006,1,0.002638522427440633,1,1,1,1,1,E4_CEM_adaptive_grammar_crypto,1.0,cem_adaptive_grammar,1.0,liquidity;volatility,1.0,15.42969799221376,2.3608775536644657,1.7471923237966973,2.3369735149525,-20.54785288422215,4.032316205175296
rc_007,1,0.002638522427440633,1,1,1,1,1,E4_CEM_adaptive_grammar_crypto,1.0,cem_adaptive_grammar,1.0,liquidity;volatility,1.0,15.262403587018907,2.696275762527522,1.7707956089276704,2.4951151501436,-15.96354282607968,5.42697621377906
rc_008,1,0.002638522427440633,1,1,1,1,1,E4_CEM_adaptive_grammar_crypto,1.0,cem_adaptive_grammar,1.0,liquidity;volatility,1.0,13.086781109497316,3.439202363070879,3.1783618203007853,3.5150777452986315,-13.789941570529878,7.069601451557766
rc_010,1,0.002638522427440633,1,1,1,1,1,E4_CEM_adaptive_grammar_crypto,1.0,cem_adaptive_grammar,1.0,liquidity;volatility,1.0,9.453637941274382,1.2922409106692063,0.9719594540319216,1.354721905911228,-6.723738102517394,3.416149628055079
