return_corr_cluster,reject_reason,count,share_in_cluster
rc_000,may_stress_severe_fail,245,1.0
rc_000,may_residual_funding_negative,245,1.0
rc_000,cost20_recent_negative,18,0.07346938775510205
rc_000,cost20_validation_negative,8,0.0326530612244898
rc_000,core4_beta_too_high,6,0.024489795918367346
rc_001,may_stress_severe_fail,15,1.0
rc_001,may_residual_funding_negative,15,1.0
rc_001,cost20_recent_negative,2,0.13333333333333333
rc_002,may_stress_severe_fail,43,1.0
rc_002,may_residual_funding_negative,43,1.0
rc_002,cost20_recent_negative,1,0.023255813953488372
rc_003,may_stress_severe_fail,49,1.0
rc_003,may_residual_funding_negative,49,1.0
rc_003,cost20_recent_negative,1,0.02040816326530612
rc_004,may_stress_severe_fail,3,1.0
rc_004,may_residual_funding_negative,3,1.0
rc_005,may_stress_severe_fail,18,1.0
rc_005,may_residual_funding_negative,18,1.0
rc_005,cost20_recent_negative,5,0.2777777777777778
rc_006,may_stress_severe_fail,1,1.0
rc_006,may_residual_funding_negative,1,1.0
rc_007,may_stress_severe_fail,1,1.0
rc_007,may_residual_funding_negative,1,1.0
rc_008,may_stress_severe_fail,1,1.0
rc_008,may_residual_funding_negative,1,1.0
rc_009,may_stress_severe_fail,2,1.0
rc_009,may_residual_funding_negative,2,1.0
rc_010,may_stress_severe_fail,1,1.0
rc_010,may_residual_funding_negative,1,1.0
