semantic_pair,decision,rows
price_like,HOLD_A7LS3HRS005_CONTROL_DOMINATED,46
price_like,A7LS3HRS006_RANK_LABEL_DIAGNOSTIC_CLUE,42
basis_premium_like,HOLD_A7LS3HRS012_ONE_BAR_LAG_FRAGILE,42
liquidity_like,HOLD_A7LS3HRS010_CONTROL_DOMINATED,40
positioning_like|liquidity_like,HOLD_A7LS3HRS006_PRE_MAY_UNSTABLE,34
price_like,A7LS3HRS006_NUMERIC_CLUE,32
positioning_like,HOLD_A7LS3HRS006_CONTROL_DOMINATED,32
basis_premium_like,HOLD_A7LS3HRS005_CONTROL_DOMINATED,32
low_prior_axes|basis_premium_like,A7LS3HRS012_RANK_LABEL_DIAGNOSTIC_CLUE,30
taker_flow_like,HOLD_A7LS3HRS006_CONTROL_DOMINATED,24
taker_flow_like|liquidity_like,HOLD_A7LS3HRS006_CONTROL_DOMINATED,22
liquidity_like,HOLD_A7LS3HRS006_PRE_MAY_UNSTABLE,22
basis_premium_like,A7LS3HRS011_NUMERIC_CLUE,22
basis_premium_like,A7LS3HRS009_NUMERIC_CLUE,20
basis_premium_like,A7LS3HRS000_RANK_LABEL_DIAGNOSTIC_CLUE,20
basis_premium_like,A7LS3HRS008_RANK_LABEL_DIAGNOSTIC_CLUE,18
basis_premium_like,HOLD_A7LS3HRS003_ONE_BAR_LAG_FRAGILE,18
liquidity_like,HOLD_A7LS3HRS006_CONTROL_DOMINATED,18
basis_premium_like,HOLD_A7LS3HRS010_ONE_BAR_LAG_FRAGILE,18
liquidity_like,HOLD_A7LS3HRS005_CONTROL_DOMINATED,16
basis_premium_like,A7LS3HRS012_NUMERIC_CLUE,14
low_prior_axes|basis_premium_like,A7LS3HRS010_NUMERIC_CLUE,14
low_prior_axes|basis_premium_like,A7LS3HRS011_RANK_LABEL_DIAGNOSTIC_CLUE,14
price_like,HOLD_A7LS3HRS006_ONE_BAR_LAG_FRAGILE,12
liquidity_like,HOLD_A7LS3HRS011_CONTROL_DOMINATED,12
basis_premium_like,A7LS3HRS010_NUMERIC_CLUE,12
low_prior_axes|basis_premium_like,A7LS3HRS009_NUMERIC_CLUE,12
taker_flow_like|liquidity_like,HOLD_A7LS3HRS005_CONTROL_DOMINATED,10
basis_premium_like,A7LS3HRS006_NUMERIC_CLUE,10
open_interest_like,A7LS3HRS005_RANK_LABEL_DIAGNOSTIC_CLUE,8
open_interest_like,A7LS3HRS006_RANK_LABEL_DIAGNOSTIC_CLUE,8
low_prior_axes|basis_premium_like,A7LS3HRS010_RANK_LABEL_DIAGNOSTIC_CLUE,8
basis_premium_like,A7LS3HRS002_NUMERIC_CLUE,6
basis_premium_like,A7LS3HRS003_NUMERIC_CLUE,6
taker_flow_like,HOLD_A7LS3HRS004_ONE_BAR_LAG_FRAGILE,6
basis_premium_like,A7LS3HRS012_RANK_LABEL_DIAGNOSTIC_CLUE,6
basis_premium_like,HOLD_A7LS3HRS008_COST2_PROXY_FRAGILE,6
liquidity_like,A7LS3HRS009_RANK_LABEL_DIAGNOSTIC_CLUE,6
liquidity_like,A7LS3HRS004_RANK_LABEL_DIAGNOSTIC_CLUE,6
basis_premium_like,HOLD_A7LS3HRS002_ONE_BAR_LAG_FRAGILE,6
positioning_like|liquidity_like,HOLD_A7LS3HRS006_CONTROL_DOMINATED,6
low_prior_axes|basis_premium_like,HOLD_A7LS3HRS012_COST2_PROXY_FRAGILE,6
price_like,HOLD_A7LS3HRS006_COST2_PROXY_FRAGILE,6
price_like,A7LS3HRS005_RANK_LABEL_DIAGNOSTIC_CLUE,6
basis_premium_like,A7LS3HRS002_RANK_LABEL_DIAGNOSTIC_CLUE,4
low_prior_axes|basis_premium_like,A7LS3HRS009_RANK_LABEL_DIAGNOSTIC_CLUE,4
basis_premium_like,A7LS3HRS010_RANK_LABEL_DIAGNOSTIC_CLUE,4
basis_premium_like,HOLD_A7LS3HRS005_ONE_BAR_LAG_FRAGILE,4
liquidity_like,A7LS3HRS011_RANK_LABEL_DIAGNOSTIC_CLUE,4
basis_premium_like,A7LS3HRS009_RANK_LABEL_DIAGNOSTIC_CLUE,4
open_interest_like,A7LS3HRS005_NUMERIC_CLUE,4
basis_premium_like,HOLD_A7LS3HRS012_COST2_PROXY_FRAGILE,2
basis_premium_like,A7LS3HRS015_RANK_LABEL_DIAGNOSTIC_CLUE,2
basis_premium_like,A7LS3HRS011_RANK_LABEL_DIAGNOSTIC_CLUE,2
liquidity_like,A7LS3HRS010_RANK_LABEL_DIAGNOSTIC_CLUE,2
open_interest_like,A7LS3HRS004_RANK_LABEL_DIAGNOSTIC_CLUE,2
low_prior_axes|basis_premium_like,A7LS3HRS015_RANK_LABEL_DIAGNOSTIC_CLUE,2
low_prior_axes|basis_premium_like,HOLD_A7LS3HRS010_ONE_BAR_LAG_FRAGILE,2
