shard,manifest_path,decision,blockers,label_response_rows,clue_count,portfolio_candidate_count,materialized_activity_ok_count,eval_failure_count,generated_at,root_cause,missing_field_family
s007,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_007\a7ls3hr_s007_manifest.json,HOLD_A7LS3HRS007_MISSING_FIELDS,missing_numeric_fields,0,,,0,,2026-06-05T08:00:49Z,panel_missing_listing_age_fields,listing_age_like
s013,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_013\a7ls3hr_s013_manifest.json,HOLD_A7LS3HRS013_MISSING_FIELDS,missing_numeric_fields,0,,,0,,2026-06-05T08:08:35Z,panel_missing_listing_age_fields,listing_age_like
s014,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_014\a7ls3hr_s014_manifest.json,HOLD_A7LS3HRS014_MISSING_FIELDS,missing_numeric_fields,0,,,0,,2026-06-05T08:08:35Z,panel_missing_listing_age_fields,listing_age_like
