decision,rows
HOLD_A7LS3HRS001_PRE_MAY_UNSTABLE,2354
HOLD_A7LS3HRS003_PRE_MAY_UNSTABLE,2300
HOLD_A7LS3HRS010_PRE_MAY_UNSTABLE,2194
HOLD_A7LS3HRS002_PRE_MAY_UNSTABLE,2146
HOLD_A7LS3HRS005_PRE_MAY_UNSTABLE,2080
HOLD_A7LS3HRS015_PRE_MAY_UNSTABLE,2080
HOLD_A7LS3HRS000_PRE_MAY_UNSTABLE,1922
HOLD_A7LS3HRS006_PRE_MAY_UNSTABLE,1784
HOLD_A7LS3HRS004_PRE_MAY_UNSTABLE,1734
HOLD_A7LS3HRS009_PRE_MAY_UNSTABLE,1690
HOLD_A7LS3HRS012_PRE_MAY_UNSTABLE,1616
HOLD_A7LS3HRS008_PRE_MAY_UNSTABLE,1566
HOLD_A7LS3HRS011_PRE_MAY_UNSTABLE,1420
HOLD_A7LS3HRS004_CONTROL_DOMINATED,812
HOLD_A7LS3HRS009_CONTROL_DOMINATED,702
HOLD_A7LS3HRS006_CONTROL_DOMINATED,618
HOLD_A7LS3HRS011_CONTROL_DOMINATED,576
HOLD_A7LS3HRS008_CONTROL_DOMINATED,570
HOLD_A7LS3HRS000_CONTROL_DOMINATED,464
HOLD_A7LS3HRS012_CONTROL_DOMINATED,462
HOLD_A7LS3HRS005_CONTROL_DOMINATED,458
HOLD_A7LS3HRS011_ONE_BAR_LAG_FRAGILE,444
HOLD_A7LS3HRS002_CONTROL_DOMINATED,398
HOLD_A7LS3HRS015_CONTROL_DOMINATED,378
HOLD_A7LS3HRS012_ONE_BAR_LAG_FRAGILE,338
HOLD_A7LS3HRS008_ONE_BAR_LAG_FRAGILE,330
HOLD_A7LS3HRS010_CONTROL_DOMINATED,306
HOLD_A7LS3HRS003_CONTROL_DOMINATED,236
HOLD_A7LS3HRS001_CONTROL_DOMINATED,206
HOLD_A7LS3HRS009_ONE_BAR_LAG_FRAGILE,122
A7LS3HRS011_NUMERIC_CLUE,100
A7LS3HRS012_NUMERIC_CLUE,100
HOLD_A7LS3HRS015_ONE_BAR_LAG_FRAGILE,98
HOLD_A7LS3HRS000_ONE_BAR_LAG_FRAGILE,78
A7LS3HRS000_NUMERIC_CLUE,76
A7LS3HRS008_NUMERIC_CLUE,70
HOLD_A7LS3HRS006_ONE_BAR_LAG_FRAGILE,60
A7LS3HRS006_RANK_LABEL_DIAGNOSTIC_CLUE,50
A7LS3HRS006_NUMERIC_CLUE,42
A7LS3HRS012_RANK_LABEL_DIAGNOSTIC_CLUE,36
A7LS3HRS009_NUMERIC_CLUE,32
A7LS3HRS010_NUMERIC_CLUE,26
A7LS3HRS000_RANK_LABEL_DIAGNOSTIC_CLUE,20
HOLD_A7LS3HRS010_ONE_BAR_LAG_FRAGILE,20
A7LS3HRS011_RANK_LABEL_DIAGNOSTIC_CLUE,20
A7LS3HRS008_RANK_LABEL_DIAGNOSTIC_CLUE,18
HOLD_A7LS3HRS003_ONE_BAR_LAG_FRAGILE,18
A7LS3HRS005_RANK_LABEL_DIAGNOSTIC_CLUE,14
A7LS3HRS009_RANK_LABEL_DIAGNOSTIC_CLUE,14
A7LS3HRS010_RANK_LABEL_DIAGNOSTIC_CLUE,14
A7LS3HRS004_RANK_LABEL_DIAGNOSTIC_CLUE,8
HOLD_A7LS3HRS012_COST2_PROXY_FRAGILE,8
A7LS3HRS002_NUMERIC_CLUE,6
A7LS3HRS003_NUMERIC_CLUE,6
HOLD_A7LS3HRS004_ONE_BAR_LAG_FRAGILE,6
HOLD_A7LS3HRS008_COST2_PROXY_FRAGILE,6
HOLD_A7LS3HRS006_COST2_PROXY_FRAGILE,6
HOLD_A7LS3HRS002_ONE_BAR_LAG_FRAGILE,6
A7LS3HRS015_RANK_LABEL_DIAGNOSTIC_CLUE,4
A7LS3HRS005_NUMERIC_CLUE,4
A7LS3HRS002_RANK_LABEL_DIAGNOSTIC_CLUE,4
HOLD_A7LS3HRS005_ONE_BAR_LAG_FRAGILE,4
