blocker_family,rows,share
pre_may_unstable,24886,0.7477764423076924
control_dominated,6186,0.18587740384615384
lag_fragile,1524,0.04579326923076923
numeric_clue,462,0.013882211538461538
rank_label_diagnostic_clue,202,0.006069711538461539
other,20,0.0006009615384615385
