shard_id,rows,start_row,end_row_exclusive,semantic_pair_count,motif_count,skeleton_count
a7ls29_prod_s000,512,0,512,1,3,49
a7ls29_prod_s001,512,512,1024,1,3,53
a7ls29_prod_s002,512,1024,1536,1,4,42
a7ls29_prod_s003,512,1536,2048,1,2,18
a7ls29_prod_s004,512,2048,2560,2,4,40
a7ls29_prod_s005,512,2560,3072,1,1,17
a7ls29_prod_s006,512,3072,3584,1,1,17
a7ls29_prod_s007,512,3584,4096,2,2,45
a7ls29_prod_s008,512,4096,4608,1,1,40
a7ls29_prod_s009,512,4608,5120,2,2,70
a7ls29_prod_s010,512,5120,5632,1,2,28
a7ls29_prod_s011,512,5632,6144,1,2,23
