feature,source,weight
premay_split_consistency,A7AA1 primitive response map,0.3
control_margin,1 - max wrong-lag/stale/random control ratio,0.25
one_bar_lag_survival,A7AA1 one_bar_lag_recent_oriented,0.2
nonoverlap_robust_tstat,minimum oriented pre-May non-overlap statistic,0.15
seed_family_diversity,field family cap,0.1
