followup_family,rows,semantic_pair_count,motif_count,skeleton_count,source_seed_count
basis_followup,249,1,3,46,1
listing_lifecycle_followup,106,2,2,66,1
oi_positioning_control_probe,96,2,2,60,1
volatility_relative_followup,80,2,2,39,1
