blueprint_id,expression,semantic_pair,motif,label_family,label_horizon_h,decision,shard,score_no_may,control_ratio_premay_max,robust_min_tstat_floor,cost10_recent_oriented,one_bar_lag_recent_oriented,skeleton_key,finite_share,nonzero_share,shortlist_score,source_stage,orientation_from_train,premay_positive_split_count,premay_all_positive,lag_ok,robust_median_tstat_floor,robust_ok,cost2_recent_oriented,cost5_recent_oriented,avg_n_obs_recent,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate
a7ls1_5b62d6fed83d1c18,"Mul(mark_index_basis_bps,Sign(mark_trade_basis_bps))",basis_premium_like,gated_sign,L0_raw_forward_return,1,A7LS3HRS013_NUMERIC_CLUE,s013,,0.3435523633969466,2.712760904439397,-0.0011481811036294,0.0004034243351594,,,,,A7LS4R,-1.0,3.0,True,True,2.712760904439397,True,0.0004518188963705,-0.0001481811036294,95.86666666666666,719.0,-0.0001197996117782,-0.6325656953018277,-0.6325656953018277,-0.6325656953018277,0.4909596662030598,717.0,-0.00063931436442,-4.923272669380083,-4.923272669380083,-4.923272669380083,0.3863319386331938,719.0,-0.0008939105418578,-5.326827243305021,-5.326827243305021,-5.326827243305021,0.3991655076495132,718.0,-0.0008518188963705,-2.712760904439397,-2.712760904439397,-2.712760904439397,0.4582172701949861
a7ls1_5b62d6fed83d1c18,"Mul(mark_index_basis_bps,Sign(mark_trade_basis_bps))",basis_premium_like,gated_sign,L1_cross_sectional_relative_return,1,A7LS3HRS013_NUMERIC_CLUE,s013,,0.3163919807385451,2.712760904439397,-0.0011481811036294,0.0004034243351594,,,,,A7LS4R,-1.0,3.0,True,True,2.712760904439397,True,0.0004518188963705,-0.0001481811036294,95.86666666666666,719.0,-0.0001197996117782,-0.6325656953018273,-0.6325656953018273,-0.6325656953018273,0.4909596662030598,717.0,-0.00063931436442,-4.923272669380083,-4.923272669380083,-4.923272669380083,0.3863319386331938,719.0,-0.0008939105418578,-5.326827243305021,-5.326827243305021,-5.326827243305021,0.3991655076495132,718.0,-0.0008518188963705,-2.712760904439397,-2.712760904439397,-2.712760904439397,0.4582172701949861
a7ls1_3c36d00c9e737a31,"ZScore(Mean(age_x_volatility,168))",listing_age_like,single,L1_cross_sectional_relative_return,8,A7LS3HRS007_NUMERIC_CLUE,s007,,0.9513298362218212,0.8059507540881063,-0.0008648254704773,0.0011595799944793,,,,,A7LS4R,-1.0,3.0,True,True,0.5878813793155089,True,0.0007351745295226,0.0001351745295226,94.93333333333334,689.0,-0.00174376155723,-2.6090628953523227,-0.947402113559358,-1.1821017478644722,0.420899854862119,712.0,-0.0012185918190168,-2.9510406209617104,-1.0668350025086548,-1.1351301128284392,0.4550561797752809,712.0,-0.0009963639400911,-2.5024554512483044,-0.8721063277614022,-0.9614090133080612,0.449438202247191,712.0,-0.0011351745295226,-1.716365316973724,-0.5878813793155089,-0.8059507540881063,0.4143258426966292
a7ls1_5b62d6fed83d1c18,"Mul(mark_index_basis_bps,Sign(mark_trade_basis_bps))",basis_premium_like,gated_sign,L3_liquidity_tier_relative_return,1,A7LS3HRS013_NUMERIC_CLUE,s013,,0.2693636647473313,3.032388881885577,-0.0011054425150114,0.0003242662036749,,,,,A7LS4R,-1.0,3.0,True,True,3.032388881885577,True,0.0004945574849885,-0.0001054425150114,95.86666666666666,719.0,-0.0001758890843044,-1.0093836116607875,-1.0093836116607875,-1.0093836116607875,0.4853963838664812,717.0,-0.0006218623354355,-5.15137452535379,-5.15137452535379,-5.15137452535379,0.403068340306834,719.0,-0.0008893436988837,-5.708913217561758,-5.708913217561758,-5.708913217561758,0.3866481223922114,718.0,-0.0008945574849885,-3.032388881885577,-3.032388881885577,-3.032388881885577,0.4554317548746518
a7ls1_0ae05ed6c819473c,"Mul(mark_index_basis_bps,Sign(ZScore(Mean(premium_close_bps,72))))",basis_premium_like,gated_sign,L3_liquidity_tier_relative_return,1,A7LS3HRS003_NUMERIC_CLUE,s003,6.171683773934723,0.8283162260652769,2.013623286860745,-0.0010546860341215,0.0002992313748147,skel_c80f62c274b367a9,0.993105429474289,0.9873445183685275,-0.3265243130670896,A7LS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a7ls1_b6803784df87ed01,"ZScore(Mean(age_x_volatility,72))",listing_age_like,single,L3_liquidity_tier_relative_return,8,A7LS3HRS007_NUMERIC_CLUE,s007,,0.9722783649818392,0.8176317238501619,-0.0002213832596767,0.0016465555259785,,,,,A7LS4R,-1.0,3.0,True,True,0.7687314286262912,True,0.0013786167403232,0.0007786167403232,94.93333333333334,689.0,-0.0011061635556673,-2.020797083992462,-0.7244988693079869,-1.0081981464592338,0.4005805515239477,712.0,-0.0012445223381076,-3.011968032142198,-1.0481366950404816,-1.280343192993972,0.4480337078651685,712.0,-0.0008547806011392,-2.146457700643248,-0.7687314286262912,-0.8176317238501619,0.4578651685393258,712.0,-0.0017786167403232,-2.772528330690074,-0.9662121938890448,-1.1662457471945826,0.4171348314606741
a7ls1_52d7953e8b29bf33,"Mul(Mean(open_interest_last,4),Sign(Delta(open_interest_mean,8)))",open_interest_like,gated_sign,L3_liquidity_tier_relative_return,8,A7LS3HRS005_NUMERIC_CLUE,s005,7.142560191914563,0.864118369237264,-0.2031781182316065,6.678561151827241e-06,0.0018709161906541,skel_3afee12eb6a9078f,0.997701809824763,1.0,-11.155697783988751,A7LS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a7ls1_4a98a63b7c1e3dca,"Mean(realized_vol_168h,72)",volatility_like,single,L3_liquidity_tier_relative_return,8,A7LS3HRS007_NUMERIC_CLUE,s007,,0.991222477555718,0.7950818736956576,-0.0002195211917432,0.001649077464258,,,,,A7LS4R,-1.0,3.0,True,True,0.7313568202867018,True,0.0013804788082567,0.0007804788082567,94.93333333333334,689.0,-0.0012922255049855,-2.3295526588968936,-0.8497272164574987,-1.1269710068951435,0.4005805515239477,712.0,-0.001237044171924,-2.9946706634418923,-1.0197840217539982,-1.2378589685588175,0.449438202247191,712.0,-0.0008194460645528,-2.05632423533066,-0.7313568202867018,-0.7950818736956576,0.4620786516853932,712.0,-0.0017804788082567,-2.775839704082812,-0.9779946891894912,-1.1878584354632291,0.4185393258426966
a7ls1_09b48e96ad2d0f9d,"Mul(Delta(mark_index_basis_bps,4),Sign(Mean(mark_trade_basis_bps,168)))",basis_premium_like,gated_sign,L5_vol_adjusted_return,1,A7LS3HRS000_NUMERIC_CLUE,s000,91.87147797988952,0.2832469275218533,4.202543558317895,0.0841547249074114,0.0305558299360856,skel_3afee12eb6a9078f,0.993105429474289,0.9983517741779964,107.21925722104191,A7LS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a7ls1_0bb7b0b8b56eb2c3,"Mul(Delta(mark_index_basis_bps,1),Sign(Mean(premium_close_bps,12)))",basis_premium_like,gated_sign,L5_vol_adjusted_return,8,A7LS3HRS002_NUMERIC_CLUE,s002,91.4556215465997,0.5714381676159255,-0.5246669937468605,0.0840270597142156,0.0357776144518366,skel_3afee12eb6a9078f,0.9965527147371444,0.9805029066974152,77.40352322554689,A7LS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
