company_numeric_shard,rows,family_count,semantic_pair_count,motif_count
a7ls5_s000,64,1,1,3
a7ls5_s001,64,1,1,3
a7ls5_s002,64,1,1,3
a7ls5_s003,64,2,3,3
a7ls5_s004,64,1,2,2
a7ls5_s005,64,2,4,2
a7ls5_s006,64,1,2,2
a7ls5_s007,64,2,3,2
a7ls5_s008,19,1,2,2
