semantic_pair,decision,count
funding_state_like,HOLD_A7LS18a7ls18_s053_PRE_MAY_UNSTABLE,8925
listing_age_like|liquidity_like,HOLD_A7LS18a7ls18_s105_PRE_MAY_UNSTABLE,8890
taker_flow_like|listing_age_like,HOLD_A7LS18a7ls18_s090_PRE_MAY_UNSTABLE,8842
listing_age_like|basis_premium_like,HOLD_A7LS18a7ls18_s100_PRE_MAY_UNSTABLE,8625
funding_state_like|basis_premium_like,HOLD_A7LS18a7ls18_s096_PRE_MAY_UNSTABLE,8554
funding_state_like|basis_premium_like,HOLD_A7LS18a7ls18_s095_PRE_MAY_UNSTABLE,8460
positioning_like|taker_flow_like,HOLD_A7LS18a7ls18_s130_PRE_MAY_UNSTABLE,8443
open_interest_like|positioning_like,HOLD_A7LS18a7ls18_s112_PRE_MAY_UNSTABLE,8434
basis_premium_like|listing_age_like,HOLD_A7LS18a7ls18_s014_PRE_MAY_UNSTABLE,8374
open_interest_like|funding_state_like,HOLD_A7LS18a7ls18_s107_PRE_MAY_UNSTABLE,8372
taker_flow_like,HOLD_A7LS18a7ls18_s088_PRE_MAY_UNSTABLE,8344
positioning_like|taker_flow_like,HOLD_A7LS18a7ls18_s131_PRE_MAY_UNSTABLE,8340
basis_premium_like|positioning_like,HOLD_A7LS18a7ls18_s020_PRE_MAY_UNSTABLE,8324
listing_age_like|basis_premium_like,HOLD_A7LS18a7ls18_s099_PRE_MAY_UNSTABLE,8313
open_interest_like|funding_state_like,HOLD_A7LS18a7ls18_s109_PRE_MAY_UNSTABLE,8309
positioning_like|taker_flow_like,HOLD_A7LS18a7ls18_s127_PRE_MAY_UNSTABLE,8275
open_interest_like|taker_flow_like,HOLD_A7LS18a7ls18_s119_PRE_MAY_UNSTABLE,8268
listing_age_like|liquidity_like,HOLD_A7LS18a7ls18_s103_PRE_MAY_UNSTABLE,8266
funding_state_like|basis_premium_like,HOLD_A7LS18a7ls18_s097_PRE_MAY_UNSTABLE,8211
positioning_like|taker_flow_like,HOLD_A7LS18a7ls18_s128_PRE_MAY_UNSTABLE,8200
positioning_like|taker_flow_like,HOLD_A7LS18a7ls18_s129_PRE_MAY_UNSTABLE,8162
liquidity_like|listing_age_like,HOLD_A7LS18a7ls18_s061_PRE_MAY_UNSTABLE,8096
open_interest_like|funding_state_like,HOLD_A7LS18a7ls18_s108_PRE_MAY_UNSTABLE,8086
basis_premium_like|volatility_like,HOLD_A7LS18a7ls18_s031_PRE_MAY_UNSTABLE,8056
positioning_like|basis_premium_like,HOLD_A7LS18a7ls18_s124_PRE_MAY_UNSTABLE,8042
basis_premium_like|positioning_like,HOLD_A7LS18a7ls18_s019_PRE_MAY_UNSTABLE,8007
basis_premium_like,HOLD_A7LS18a7ls18_s000_PRE_MAY_UNSTABLE,7993
basis_premium_like|positioning_like,HOLD_A7LS18a7ls18_s022_PRE_MAY_UNSTABLE,7982
basis_premium_like|liquidity_like,HOLD_A7LS18a7ls18_s009_PRE_MAY_UNSTABLE,7963
basis_premium_like|listing_age_like,HOLD_A7LS18a7ls18_s017_PRE_MAY_UNSTABLE,7947
listing_age_like|liquidity_like,HOLD_A7LS18a7ls18_s102_PRE_MAY_UNSTABLE,7942
basis_premium_like,HOLD_A7LS18a7ls18_s001_PRE_MAY_UNSTABLE,7929
positioning_like|basis_premium_like,HOLD_A7LS18a7ls18_s125_PRE_MAY_UNSTABLE,7926
listing_age_like|liquidity_like,HOLD_A7LS18a7ls18_s101_PRE_MAY_UNSTABLE,7860
basis_premium_like|volatility_like,HOLD_A7LS18a7ls18_s030_PRE_MAY_UNSTABLE,7856
open_interest_like|taker_flow_like,HOLD_A7LS18a7ls18_s120_PRE_MAY_UNSTABLE,7853
positioning_like|basis_premium_like,HOLD_A7LS18a7ls18_s123_PRE_MAY_UNSTABLE,7833
basis_premium_like|listing_age_like,HOLD_A7LS18a7ls18_s015_PRE_MAY_UNSTABLE,7789
basis_premium_like|price_like,HOLD_A7LS18a7ls18_s024_PRE_MAY_UNSTABLE,7783
basis_premium_like|listing_age_like,HOLD_A7LS18a7ls18_s013_PRE_MAY_UNSTABLE,7782
open_interest_like|positioning_like,HOLD_A7LS18a7ls18_s111_PRE_MAY_UNSTABLE,7775
basis_premium_like|liquidity_like,HOLD_A7LS18a7ls18_s008_PRE_MAY_UNSTABLE,7771
basis_premium_like|listing_age_like,HOLD_A7LS18a7ls18_s016_PRE_MAY_UNSTABLE,7771
listing_age_like|liquidity_like,HOLD_A7LS18a7ls18_s104_PRE_MAY_UNSTABLE,7732
positioning_like|basis_premium_like,HOLD_A7LS18a7ls18_s126_PRE_MAY_UNSTABLE,7714
