shard_id,has_manifest,decision,blockers,input_blueprint_count,materialized_activity_ok_count,label_response_rows,non_l7_numeric_clue_rows,rank_label_diagnostic_clue_rows,selected_portfolio_queue_count,queue_rows,lane_count,semantic_pair_count,motif_count,skeleton_count
a7ls18_s000,True,PASS_A7LS18a7ls18_s000_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,504,10080,76,36,13,512,1,1,3,48
a7ls18_s001,True,PASS_A7LS18a7ls18_s001_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,506,10120,68,56,21,512,1,1,3,45
a7ls18_s002,True,PASS_A7LS18a7ls18_s002_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,506,10120,140,86,23,512,1,1,4,49
a7ls18_s003,True,PASS_A7LS18a7ls18_s003_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,507,10140,126,60,9,512,1,1,2,21
a7ls18_s004,True,PASS_A7LS18a7ls18_s004_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,504,10080,101,75,18,512,1,1,3,45
a7ls18_s005,True,PASS_A7LS18a7ls18_s005_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,507,10140,152,318,12,512,1,4,8,31
a7ls18_s006,True,PASS_A7LS18a7ls18_s006_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,465,9300,4,117,8,512,1,4,6,13
a7ls18_s007,True,PASS_A7LS18a7ls18_s007_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,506,10120,46,32,8,512,1,2,5,42
a7ls18_s008,True,PASS_A7LS18a7ls18_s008_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,504,10080,99,59,13,512,1,1,3,42
a7ls18_s009,True,PASS_A7LS18a7ls18_s009_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,508,10160,80,52,17,512,1,1,3,43
