decision,label_family,count
HOLD_A7LS18a7ls18_s101_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1979
HOLD_A7LS18a7ls18_s101_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1967
HOLD_A7LS18a7ls18_s101_PRE_MAY_UNSTABLE,L0_raw_forward_return,1967
HOLD_A7LS18a7ls18_s101_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1967
HOLD_A7LS18a7ls18_s101_PRE_MAY_UNSTABLE,L7_ranked_future_return,1963
HOLD_A7LS18a7ls18_s045_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1935
HOLD_A7LS18a7ls18_s040_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1919
HOLD_A7LS18a7ls18_s040_PRE_MAY_UNSTABLE,L0_raw_forward_return,1919
HOLD_A7LS18a7ls18_s036_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1917
HOLD_A7LS18a7ls18_s038_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1916
HOLD_A7LS18a7ls18_s105_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1877
HOLD_A7LS18a7ls18_s105_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1877
HOLD_A7LS18a7ls18_s105_PRE_MAY_UNSTABLE,L0_raw_forward_return,1877
HOLD_A7LS18a7ls18_s036_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1864
HOLD_A7LS18a7ls18_s036_PRE_MAY_UNSTABLE,L0_raw_forward_return,1864
HOLD_A7LS18a7ls18_s053_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1853
HOLD_A7LS18a7ls18_s105_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1853
HOLD_A7LS18a7ls18_s090_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1853
HOLD_A7LS18a7ls18_s053_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1848
HOLD_A7LS18a7ls18_s053_PRE_MAY_UNSTABLE,L0_raw_forward_return,1848
HOLD_A7LS18a7ls18_s055_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1848
HOLD_A7LS18a7ls18_s043_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1842
HOLD_A7LS18a7ls18_s090_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1840
HOLD_A7LS18a7ls18_s090_PRE_MAY_UNSTABLE,L0_raw_forward_return,1840
HOLD_A7LS18a7ls18_s043_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1839
HOLD_A7LS18a7ls18_s053_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1830
HOLD_A7LS18a7ls18_s035_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1827
HOLD_A7LS18a7ls18_s144_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1822
HOLD_A7LS18a7ls18_s044_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1822
HOLD_A7LS18a7ls18_s039_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1821
HOLD_A7LS18a7ls18_s064_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1821
HOLD_A7LS18a7ls18_s038_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1819
HOLD_A7LS18a7ls18_s059_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1818
HOLD_A7LS18a7ls18_s061_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1816
HOLD_A7LS18a7ls18_s054_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1816
HOLD_A7LS18a7ls18_s146_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1814
HOLD_A7LS18a7ls18_s038_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1814
HOLD_A7LS18a7ls18_s038_PRE_MAY_UNSTABLE,L0_raw_forward_return,1814
HOLD_A7LS18a7ls18_s088_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1814
HOLD_A7LS18a7ls18_s088_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1814
HOLD_A7LS18a7ls18_s088_PRE_MAY_UNSTABLE,L0_raw_forward_return,1814
HOLD_A7LS18a7ls18_s090_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1813
HOLD_A7LS18a7ls18_s106_PRE_MAY_UNSTABLE,L0_raw_forward_return,1810
HOLD_A7LS18a7ls18_s106_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1810
HOLD_A7LS18a7ls18_s036_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1809
HOLD_A7LS18a7ls18_s100_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1801
HOLD_A7LS18a7ls18_s100_PRE_MAY_UNSTABLE,L0_raw_forward_return,1801
HOLD_A7LS18a7ls18_s046_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1800
HOLD_A7LS18a7ls18_s103_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1799
HOLD_A7LS18a7ls18_s087_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1798
HOLD_A7LS18a7ls18_s057_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1794
HOLD_A7LS18a7ls18_s055_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1792
HOLD_A7LS18a7ls18_s093_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1792
HOLD_A7LS18a7ls18_s043_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1792
HOLD_A7LS18a7ls18_s043_PRE_MAY_UNSTABLE,L0_raw_forward_return,1792
HOLD_A7LS18a7ls18_s087_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1791
HOLD_A7LS18a7ls18_s087_PRE_MAY_UNSTABLE,L0_raw_forward_return,1791
HOLD_A7LS18a7ls18_s145_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1790
HOLD_A7LS18a7ls18_s104_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1788
HOLD_A7LS18a7ls18_s130_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1786
HOLD_A7LS18a7ls18_s106_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1782
HOLD_A7LS18a7ls18_s064_PRE_MAY_UNSTABLE,L0_raw_forward_return,1780
HOLD_A7LS18a7ls18_s064_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1780
HOLD_A7LS18a7ls18_s106_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1780
HOLD_A7LS18a7ls18_s063_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1779
HOLD_A7LS18a7ls18_s100_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1778
HOLD_A7LS18a7ls18_s055_PRE_MAY_UNSTABLE,L0_raw_forward_return,1777
HOLD_A7LS18a7ls18_s055_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1777
HOLD_A7LS18a7ls18_s054_PRE_MAY_UNSTABLE,L0_raw_forward_return,1775
HOLD_A7LS18a7ls18_s054_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1775
HOLD_A7LS18a7ls18_s102_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1774
HOLD_A7LS18a7ls18_s045_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1773
HOLD_A7LS18a7ls18_s131_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1773
HOLD_A7LS18a7ls18_s096_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1771
HOLD_A7LS18a7ls18_s035_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1771
HOLD_A7LS18a7ls18_s035_PRE_MAY_UNSTABLE,L0_raw_forward_return,1771
HOLD_A7LS18a7ls18_s064_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1770
HOLD_A7LS18a7ls18_s014_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1768
HOLD_A7LS18a7ls18_s014_PRE_MAY_UNSTABLE,L0_raw_forward_return,1768
HOLD_A7LS18a7ls18_s130_PRE_MAY_UNSTABLE,L0_raw_forward_return,1767
HOLD_A7LS18a7ls18_s130_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1767
HOLD_A7LS18a7ls18_s057_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1766
HOLD_A7LS18a7ls18_s054_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1766
HOLD_A7LS18a7ls18_s098_PRE_MAY_UNSTABLE,L0_raw_forward_return,1762
HOLD_A7LS18a7ls18_s074_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1762
HOLD_A7LS18a7ls18_s096_PRE_MAY_UNSTABLE,L0_raw_forward_return,1762
HOLD_A7LS18a7ls18_s119_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1762
HOLD_A7LS18a7ls18_s096_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1762
HOLD_A7LS18a7ls18_s098_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1762
HOLD_A7LS18a7ls18_s040_PRE_MAY_UNSTABLE,L7_ranked_future_return,1759
HOLD_A7LS18a7ls18_s017_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1758
HOLD_A7LS18a7ls18_s044_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1756
HOLD_A7LS18a7ls18_s109_PRE_MAY_UNSTABLE,L0_raw_forward_return,1756
HOLD_A7LS18a7ls18_s109_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1756
HOLD_A7LS18a7ls18_s129_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1755
HOLD_A7LS18a7ls18_s076_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1754
HOLD_A7LS18a7ls18_s112_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1753
HOLD_A7LS18a7ls18_s096_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1751
HOLD_A7LS18a7ls18_s061_PRE_MAY_UNSTABLE,L0_raw_forward_return,1751
HOLD_A7LS18a7ls18_s061_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1751
HOLD_A7LS18a7ls18_s062_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1749
HOLD_A7LS18a7ls18_s099_PRE_MAY_UNSTABLE,L0_raw_forward_return,1748
HOLD_A7LS18a7ls18_s099_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1748
HOLD_A7LS18a7ls18_s041_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1744
HOLD_A7LS18a7ls18_s103_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1744
HOLD_A7LS18a7ls18_s107_PRE_MAY_UNSTABLE,L0_raw_forward_return,1744
HOLD_A7LS18a7ls18_s107_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1744
HOLD_A7LS18a7ls18_s060_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1744
HOLD_A7LS18a7ls18_s098_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1743
HOLD_A7LS18a7ls18_s089_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1742
HOLD_A7LS18a7ls18_s109_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1741
HOLD_A7LS18a7ls18_s057_PRE_MAY_UNSTABLE,L0_raw_forward_return,1739
HOLD_A7LS18a7ls18_s095_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1739
HOLD_A7LS18a7ls18_s128_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1739
HOLD_A7LS18a7ls18_s057_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1739
HOLD_A7LS18a7ls18_s103_PRE_MAY_UNSTABLE,L0_raw_forward_return,1737
HOLD_A7LS18a7ls18_s102_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1737
HOLD_A7LS18a7ls18_s007_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1737
HOLD_A7LS18a7ls18_s007_PRE_MAY_UNSTABLE,L0_raw_forward_return,1737
HOLD_A7LS18a7ls18_s103_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1737
HOLD_A7LS18a7ls18_s102_PRE_MAY_UNSTABLE,L0_raw_forward_return,1737
HOLD_A7LS18a7ls18_s112_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1736
HOLD_A7LS18a7ls18_s095_PRE_MAY_UNSTABLE,L0_raw_forward_return,1736
HOLD_A7LS18a7ls18_s095_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1736
HOLD_A7LS18a7ls18_s098_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1736
HOLD_A7LS18a7ls18_s088_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1736
HOLD_A7LS18a7ls18_s112_PRE_MAY_UNSTABLE,L0_raw_forward_return,1736
HOLD_A7LS18a7ls18_s058_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1735
HOLD_A7LS18a7ls18_s107_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1735
HOLD_A7LS18a7ls18_s006_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1734
HOLD_A7LS18a7ls18_s095_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1734
HOLD_A7LS18a7ls18_s014_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1730
HOLD_A7LS18a7ls18_s120_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1730
HOLD_A7LS18a7ls18_s058_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1729
HOLD_A7LS18a7ls18_s041_PRE_MAY_UNSTABLE,L0_raw_forward_return,1729
HOLD_A7LS18a7ls18_s041_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1729
