split,rows,active_hours,mean_ic,net_sum_10bps,net_sum_20bps,lag1_net_sum_10bps,turnover_mean,gross_exposure_mean,candidate_id,base_candidate_id,object_type,control_mode,lane,production_family,expression,horizon,orientation,base_train_ic
train_2024,8784,8751,-0.005377841464458017,-3.7790882482431445,-4.918754914909808,-3.3721273839941452,0.1297434729811779,0.9962431693989071,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_6950a9e4714e,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_6950a9e4714e,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(latest_known_funding_rate))",24,-1.0,-0.005377841464458017
validation_2025H1,4344,4344,-0.029248572045041263,0.3210035403571265,-0.36499645964287364,0.33979101540697343,0.15791896869244937,1.0,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_6950a9e4714e,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_6950a9e4714e,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(latest_known_funding_rate))",24,-1.0,-0.005377841464458017
recent_oos_2025H2_2026Apr,7296,7294,-0.01685693251707671,-0.2700535173705809,-1.1977201840372473,-0.12135304106541023,0.1271472953216374,0.9997258771929824,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_6950a9e4714e,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_6950a9e4714e,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(latest_known_funding_rate))",24,-1.0,-0.005377841464458017
fresh_may_2026,505,480,-0.042270593669614207,0.08289086362285597,0.03789086362285593,0.08012446363076953,0.08910891089108909,0.9504950495049505,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_6950a9e4714e,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_6950a9e4714e,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(latest_known_funding_rate))",24,-1.0,-0.005377841464458017
train_2024,8784,8751,-0.0024908242254830758,-5.31768263492329,-6.457349301589957,-5.243521362037885,0.1297434729811779,0.9962431693989071,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_4df2bb11cadf,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_4df2bb11cadf,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(latest_known_funding_rate))",48,-1.0,-0.0024908242254830758
validation_2025H1,4344,4344,-0.03719139976046047,0.7010825890714192,0.015082589071418795,0.7515129537737193,0.15791896869244937,1.0,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_4df2bb11cadf,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_4df2bb11cadf,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(latest_known_funding_rate))",48,-1.0,-0.0024908242254830758
recent_oos_2025H2_2026Apr,7296,7294,-0.004915430059383936,-1.0416378467769767,-1.969304513443644,-1.0117803815874056,0.1271472953216374,0.9997258771929824,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_4df2bb11cadf,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_4df2bb11cadf,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(latest_known_funding_rate))",48,-1.0,-0.0024908242254830758
fresh_may_2026,505,456,-0.04712611949454053,0.34028632812973125,0.29778632812973127,0.31045732054572794,0.08415841584158415,0.902970297029703,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_4df2bb11cadf,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_4df2bb11cadf,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(latest_known_funding_rate))",48,-1.0,-0.0024908242254830758
train_2024,8784,8751,-0.00613698285677242,-6.837387397261496,-8.889387397261498,-6.576876378824814,0.2336065573770492,0.9962431693989071,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_b03d7c15bfc6,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_b03d7c15bfc6,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(mark_index_ratio))",24,-1.0,-0.00613698285677242
validation_2025H1,4344,4344,-0.024041702318080223,-0.22337525490154397,-1.4020419215682105,-0.13862064547070307,0.27133210558624926,1.0,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_b03d7c15bfc6,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_b03d7c15bfc6,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(mark_index_ratio))",24,-1.0,-0.00613698285677242
recent_oos_2025H2_2026Apr,7296,7294,-0.016322425616709397,-0.2590931068396358,-1.9999264401729682,-0.07938261374444999,0.23860105994152045,0.9997258771929824,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_b03d7c15bfc6,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_b03d7c15bfc6,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(mark_index_ratio))",24,-1.0,-0.00613698285677242
fresh_may_2026,505,480,-0.031665197021782235,0.20764402372277058,0.09514402372277037,0.25422259467122504,0.22277227722772278,0.9504950495049505,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_b03d7c15bfc6,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_b03d7c15bfc6,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(mark_index_ratio))",24,-1.0,-0.00613698285677242
train_2024,8784,8751,-0.0012841689221531041,-9.537204408447122,-11.589204408447122,-9.51919612086442,0.2336065573770492,0.9962431693989071,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_dc061411a297,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_dc061411a297,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(mark_index_ratio))",48,-1.0,-0.0012841689221531041
validation_2025H1,4344,4344,-0.03369650607219663,0.4772341548300889,-0.7014325118365774,0.5778162431378333,0.27133210558624926,1.0,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_dc061411a297,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_dc061411a297,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(mark_index_ratio))",48,-1.0,-0.0012841689221531041
recent_oos_2025H2_2026Apr,7296,7294,-0.0077427371093397495,-0.48874218050996115,-2.2295755138432938,-0.5448353896761069,0.23860105994152045,0.9997258771929824,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_dc061411a297,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_dc061411a297,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(mark_index_ratio))",48,-1.0,-0.0012841689221531041
fresh_may_2026,505,456,-0.03557845663108812,0.48558728601301276,0.38125395267967943,0.4794342898304521,0.2066006600660066,0.902970297029703,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_dc061411a297,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_dc061411a297,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(mark_index_ratio))",48,-1.0,-0.0012841689221531041
train_2024,8784,8751,-0.005752626608453112,-6.971495234882359,-9.228161901549026,-6.452315167275768,0.25690649666059506,0.9962431693989071,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_1abb8dedbf63,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_1abb8dedbf63,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(premium_index))",24,-1.0,-0.005752626608453112
validation_2025H1,4344,4344,-0.02551065939113383,-0.443550193230684,-1.7102168598973502,-0.5206800585340221,0.29158993247391035,1.0,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_1abb8dedbf63,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_1abb8dedbf63,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(premium_index))",24,-1.0,-0.005752626608453112
recent_oos_2025H2_2026Apr,7296,7294,-0.015527176634042872,-0.6101179499337321,-2.479284616600398,-0.622053654924577,0.25619060672514615,0.9997258771929824,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_1abb8dedbf63,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_1abb8dedbf63,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(premium_index))",24,-1.0,-0.005752626608453112
fresh_may_2026,505,480,-0.035651511985079445,0.3471686172145301,0.24250195054786344,0.4140594754574801,0.20726072607260723,0.9504950495049505,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_1abb8dedbf63,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_1abb8dedbf63,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(premium_index))",24,-1.0,-0.005752626608453112
train_2024,8784,8751,-0.0022391047416758275,-9.580345294093197,-11.837011960759867,-9.44947197353433,0.25690649666059506,0.9962431693989071,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_4460d86335bc,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_4460d86335bc,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(premium_index))",48,-1.0,-0.0022391047416758275
validation_2025H1,4344,4344,-0.03429535473734366,0.08009855636723451,-1.186568110299431,0.20900773199630507,0.29158993247391035,1.0,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_4460d86335bc,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_4460d86335bc,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(premium_index))",48,-1.0,-0.0022391047416758275
recent_oos_2025H2_2026Apr,7296,7294,-0.007619060402169755,-0.8876313796679456,-2.7567980463346125,-1.00313110345722,0.25619060672514615,0.9997258771929824,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_4460d86335bc,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_4460d86335bc,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(premium_index))",48,-1.0,-0.0022391047416758275
fresh_may_2026,505,456,-0.04373456625390102,0.6438333987270871,0.5466667320604206,0.6343479483276699,0.1924092409240924,0.902970297029703,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_4460d86335bc,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_48_4460d86335bc,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(premium_index))",48,-1.0,-0.0022391047416758275
train_2024,8784,8751,-0.004000256575006231,-4.030018353915824,-5.14068502058249,-3.4240758706921675,0.12644201578627806,0.9962431693989071,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_913d2346106c,a7y1_core12_metrics_F0_metrics_crowding_state_interaction_24_913d2346106c,candidate,original,core12_metrics,F0_metrics_crowding_state_interaction,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(realized_vol_24))",24,-1.0,-0.004000256575006231
