in_motif_pack,enforcement_status,count
True,OK_DIAGNOSTIC_OR_REGIME,19
True,OK_RISK_DEFENSE_OR_NEUTRALIZER,5
True,HOLD_WEAK_RESPONSE,3
True,OK_ORDINARY_ALPHA,1
False,HOLD_UNCLASSIFIED,31
False,FORBID,10
False,HOLD_WEAK_RESPONSE,5
False,OK_DIAGNOSTIC_OR_REGIME,4
False,OK_RISK_DEFENSE_OR_NEUTRALIZER,3
